t0,V,family,rung,charge,spin_odd,rung_pair,leg_pair_right
1.2,0.2,stripe_weak_other,1,1.0009337693256222,-0.23145890130483812,-2.2824647161272836e-13,1.0694202954293398e-13
1.2,0.2,stripe_weak_other,2,0.9971982037163917,0.27817660855907367,-1.543530000956699e-12,1.8953200509757747e-12
1.2,0.2,stripe_weak_other,3,0.9951128726066074,-0.2920665727093082,-1.0466479977569292e-11,1.843023375181985e-11
1.2,0.2,stripe_weak_other,4,0.9882504164242416,0.29735571873467664,-2.992556425327151e-11,-5.352351392331705e-12
1.2,0.2,stripe_weak_other,5,0.9748518681567243,-0.2889710030906455,9.9806914915296e-12,-8.989078695831823e-12
1.2,0.2,stripe_weak_other,6,0.9526661444092953,0.2667100322175521,1.836067864898084e-11,-2.346914209589861e-11
1.2,0.2,stripe_weak_other,7,0.9216226013728862,-0.2277416231753235,-6.095350478041536e-12,5.2208485237211745e-11
1.2,0.2,stripe_weak_other,8,0.8865678539387193,0.1687374869632054,-1.2192830761930992e-10,-1.3343294110100127e-10
1.2,0.2,stripe_weak_other,9,0.8577605405609869,-0.09001345899042301,-2.8560798428895563e-11,6.09566262348622e-11
1.2,0.2,stripe_weak_other,10,0.8466942724906321,-0.0010298871870319812,-2.2183362245521387e-11,-1.4804431766661687e-11
1.2,0.2,stripe_weak_other,11,0.858398024539159,0.09189529891556582,-1.673987243394302e-11,2.884828243428767e-11
1.2,0.2,stripe_weak_other,12,0.8875490901505594,-0.1703391700212624,-3.297710329828501e-11,1.4738357792384013e-11
1.2,0.2,stripe_weak_other,13,0.9225656547140316,0.22938571495091295,-4.2897884868789305e-11,2.9747113225626115e-11
1.2,0.2,stripe_weak_other,14,0.9533099862989675,-0.26900553754715173,-4.992341231456929e-11,2.0403478177302313e-11
1.2,0.2,stripe_weak_other,15,0.9750084645292493,0.2930661890733277,-7.301736726696905e-11,4.0510841337742457e-11
1.2,0.2,stripe_weak_other,16,0.9873910194107812,-0.30578648215924276,-2.920805777332477e-11,-5.904339762422723e-12
1.2,0.2,stripe_weak_other,17,0.9921262096564203,0.3104853321233608,5.5285082573872675e-11,-6.621360118362183e-11
1.2,0.2,stripe_weak_other,18,0.9904248645699115,-0.3088090113590082,1.7605486136002833e-10,-1.5021965245110515e-10
1.2,0.2,stripe_weak_other,19,0.9817919779310277,0.30010898443373174,3.034502363991956e-10,-2.0233410499208944e-10
1.2,0.2,stripe_weak_other,20,0.964521698656186,-0.2817381234674113,4.2057048457152134e-10,-2.807910212574409e-10
1.2,0.2,stripe_weak_other,21,0.9376764427204706,0.24980373516885723,4.821963257331983e-10,-2.7750764535761226e-10
1.2,0.2,stripe_weak_other,22,0.9036956339960442,-0.20001141333480396,4.6126625040793993e-10,-2.537052501804177e-10
1.2,0.2,stripe_weak_other,23,0.8704032813719675,0.13012232411120656,4.5505978899708365e-10,-2.817735993092089e-10
1.2,0.2,stripe_weak_other,24,0.8495406147034574,-0.04374848563961113,4.948073808745662e-10,-2.95210549797389e-10
1.2,0.2,stripe_weak_other,25,0.8501985507682501,-0.048780384479453306,5.068938103363324e-10,-2.9765729321295485e-10
1.2,0.2,stripe_weak_other,26,0.8720507857688875,0.13440456343000914,4.874654110533624e-10,-2.7324147701029434e-10
1.2,0.2,stripe_weak_other,27,0.9056275335836119,-0.20313786784161217,4.3205581899153174e-10,-2.3502851360557927e-10
1.2,0.2,stripe_weak_other,28,0.9393145413232069,0.25181852323343484,4.3600803680808164e-10,-2.606371594755799e-10
1.2,0.2,stripe_weak_other,29,0.9656563977465692,-0.28295782311630785,4.4604885033609855e-10,-2.426598658397058e-10
1.2,0.2,stripe_weak_other,30,0.9825415177163769,0.3009118352916699,8.1004971154819e-10,-5.101942437811573e-10
1.2,0.2,stripe_weak_other,31,0.9911432952504987,-0.30960930350904414,5.275008479000413e-10,-9.322075471205833e-11
1.2,0.2,stripe_weak_other,32,0.9933705680730245,0.31181591888321397,1.7721112906750101e-10,-1.624692260557818e-10
1.2,0.2,stripe_weak_other,33,0.9899413775266295,-0.30840726139092156,1.835682879088009e-10,-2.8127985878947906e-11
1.2,0.2,stripe_weak_other,34,0.9797826324752397,0.29804930821278686,-1.4527102776215866e-11,-6.533787184451396e-12
1.2,0.2,stripe_weak_other,35,0.9609467691478631,-0.2776733022836277,2.8689641174094364e-11,-9.363993585322702e-12
1.2,0.2,stripe_weak_other,36,0.932742849763104,0.24317172547883248,-1.3269248442243344e-11,2.66830965044668e-11
1.2,0.2,stripe_weak_other,37,0.8983010706103235,-0.19030618489048512,-4.718980599291155e-11,2.1927166897727436e-11
