t0,V,family,job_id,iteration,energy_per_site,spin_rms,pair_rms,central_spin_rms,charge_std,density,global_relative_residual
1.2,0.2,stripe_weak_other,58394103,1,-0.3338165104953424,0.2380008296081082,0.00019539266760029865,0.2509704219267151,0.05264865808140873,0.9375004894815959,0.09779766582950568
1.2,0.2,stripe_weak_other,58394103,2,-0.3338785611611526,0.23500604346143183,2.0451702604398227e-05,0.2478635406297691,0.05188886500351614,0.9375000036527608,0.014961441496986104
1.2,0.2,stripe_weak_other,58394103,3,-0.3337834639234563,0.23407354478251252,2.2716539486881842e-06,0.24694527362816315,0.05167453407447413,0.9374999980715479,0.005203408150431359
1.2,0.2,stripe_weak_other,58394103,4,-0.33375691782923583,0.23376553895748228,2.557294710258224e-07,0.24666240463056724,0.05159170801783681,0.9374999943107035,0.002248735280687189
1.2,0.2,stripe_weak_other,58394103,5,-0.3337479257941185,0.23365534777686026,2.8508059103394405e-08,0.24657148374728305,0.0515562506157927,0.9374999962765072,0.001495696424780234
1.2,0.2,stripe_weak_other,58394103,6,-0.33374486086749955,0.23360965340898482,3.164005811090204e-09,0.24654006220999233,0.051537749880735874,0.9374999988779438,0.0013467210930709684
1.2,0.2,stripe_weak_other,58394103,7,-0.33374376610123785,0.23358569317088249,5.928512789317721e-08,0.24652743368334507,0.05152486229718037,0.9374999978502918,0.0012996820605829624
1.2,0.2,stripe_weak_other,58394103,8,-0.33374342736744866,0.23356938781445763,7.353370217811588e-08,0.24652064919855923,0.05151442030545118,0.9374999969486552,0.0012748928037627685
1.2,0.2,stripe_weak_other,58394103,9,-0.33374330497509624,0.23355605837263183,2.27044151511169e-08,0.24651589669449583,0.05150520953495735,0.9374999972438454,0.0012494502035378953
1.2,0.2,stripe_weak_other,58394103,10,-0.33374331328740653,0.23354405114473012,1.9063333079393277e-09,0.2465121006993502,0.05149662840764714,0.9374999987942906,0.0012185072502314677
1.2,0.2,stripe_weak_other,58394103,11,-0.3337433338958708,0.23353216344600597,2.4883870317501166e-08,0.2465078827346722,0.05148800316958854,0.9374999983530992,0.001199687326102125
1.2,0.2,stripe_weak_other,58394103,12,-0.33374331573335214,0.23352118397875443,1.709453752683589e-09,0.24650387113971003,0.05147944697078423,0.9374999988884082,0.001171063286358032
1.2,0.2,stripe_weak_other,58394103,13,-0.3337433441693956,0.23351077238946782,2.344869391699663e-09,0.24650025991982163,0.0514714754604492,0.9374999974744164,0.001151147974807952
1.2,0.2,stripe_weak_other,58394103,14,-0.33374338650948776,0.23350061633362693,7.577840754667532e-09,0.24649660539796814,0.051464194994242485,0.9374999970663951,0.0011341063566472028
1.2,0.2,stripe_weak_other,58394103,15,-0.33374340609131414,0.23349078449602295,9.686956333004704e-09,0.2464927589463674,0.05145660862201877,0.937499999020021,0.0011211263024505837
1.2,0.2,stripe_weak_other,58394103,16,-0.33374341712034256,0.23348171852782168,8.192698787170601e-10,0.2464896897069769,0.05145012301381706,0.9374999993595305,0.0011040539513301338
