block,dimension,participation_rank,k90,leading_eigenvalue
charge even,64,56.023642107878224,50,0.14868707696547945
charge odd,64,62.622284519967,56,0.26117126939493907
spin even,64,48.00474432590047,42,0.11154861698772739
spin odd,64,54.364661174733726,54,0.72123183118708
pair rung,64,63.37605621180608,57,1.8921412675799203
pair leg 0,63,62.183168718794576,56,1.1690449512064278
pair leg 1,63,62.18316112044484,56,1.1690459274548646
pair onsite 0,64,61.34425333236613,55,0.21108112760166692
pair onsite 1,64,61.34424650078349,55,0.2110811368410631
