stage,chi,spin_gap,charge_gap,hole_pair_binding,particle_pair_binding,chemical_potential,all_sectors_converged
001_pre_relax_chi200,200,-0.18606251922962258,-0.1683889395354754,-0.13905156495084725,-0.5064742138546308,1.5900300696327783,False
002_chi400,400,0.15893712320053055,0.010849124740261118,-0.14633906377912353,-0.14821573528951149,1.6784675675404621,True
003_chi800,800,0.154753812321772,0.010861494857238085,-0.14654313936355834,-0.14856051625625355,1.6789096688435947,False
004_chi1200,1200,0.15336133201522273,0.010858301056572373,-0.14651022120352764,-0.14854274842502946,1.6789771120085781,True
