channel,window,edge_fraction,exponent,r2,points,reported_estimate,window_uncertainty
Charge,001,0.15,1.2157937792577231,0.7072538945378073,22,1.2157937792577231,0.0830418856435865
Charge,002,0.2,1.2689675260759652,0.657963814561912,19,1.2157937792577231,0.0830418856435865
Charge,003,0.25,1.1028837547887922,0.5265170371396022,15,1.2157937792577231,0.0830418856435865
Rung pair,001,0.15,0.7702813815844819,0.9823686561172558,22,0.761360607199044,0.02146002378814932
Rung pair,002,0.2,0.761360607199044,0.9727894733899894,19,0.761360607199044,0.02146002378814932
Rung pair,003,0.25,0.7273613340081833,0.9532684268867144,15,0.761360607199044,0.02146002378814932
