lineage,L,rung,inserted,pair_d,charge_even,staggered_spin_odd
pairing,64,1,False,0.0011314956419706786,-0.00018759541801320674,1.071379020589508e-07
pairing,64,2,False,0.0016316694965727288,-0.0006250516560869213,1.5695552826021104e-07
pairing,64,3,False,0.0025936462135968713,-0.0013518426810173287,1.7270164010950873e-07
pairing,64,4,False,0.003478227223087462,-0.002346903445499155,1.6966736857203062e-07
pairing,64,5,False,0.004159550309151344,-0.0034262801606496345,1.513691867060466e-07
pairing,64,6,False,0.004519450960908709,-0.004362004710136575,1.2453038306342416e-07
pairing,64,7,False,0.0046193691267476895,-0.005008039272348868,9.737571599619313e-08
pairing,64,8,False,0.0045609153316341884,-0.005336971232304706,7.589893371304571e-08
pairing,64,9,False,0.004429957224242406,-0.005401799145859023,6.895677367156107e-08
pairing,64,10,False,0.004292788590187634,-0.00528835770691283,7.20011187258212e-08
pairing,64,11,False,0.00419139187439096,-0.005085449998265117,7.583098443771606e-08
pairing,64,12,False,0.004143162048303197,-0.004867399340051556,8.472067621100379e-08
pairing,64,13,False,0.004146559259359715,-0.0046854911781776445,8.489209386646455e-08
pairing,64,14,False,0.004188376592461653,-0.004566079212871081,7.59471079595387e-08
pairing,64,15,False,0.004250582959855005,-0.004513601836850646,6.061657806862714e-08
pairing,64,16,False,0.004315929558550634,-0.004516714208681763,4.1331864542460545e-08
pairing,64,17,False,0.0043716557845500156,-0.0045557879943256725,2.078087951826353e-08
pairing,64,18,False,0.004410973556454721,-0.0046099433850542056,1.6398248557647488e-09
pairing,64,19,False,0.004432623959223869,-0.004662090087200268,-2.1742421219776015e-08
pairing,64,20,False,0.004439329644132689,-0.004701438078013047,-3.0379489601457116e-08
pairing,64,21,False,0.004435868075578589,-0.004723775065028172,-4.263955667369035e-08
pairing,64,22,False,0.004427353360756852,-0.00473013946533053,-3.985536701557081e-08
pairing,64,23,False,0.004418046461019076,-0.004724766253963935,-3.5168393562991576e-08
pairing,64,24,False,0.004410751511253014,-0.004713047949480605,-2.7093254643907258e-08
pairing,64,25,False,0.004406762938882573,-0.004699936330579494,-2.1076813665242902e-08
pairing,64,26,False,0.004406145145839142,-0.004688988135108679,-1.3537379121115675e-08
pairing,64,27,False,0.0044081716386289395,-0.0046820345794506375,-1.2805406999312138e-08
pairing,64,28,False,0.004411775167681115,-0.004679329882375828,-1.553186242705777e-08
pairing,64,29,False,0.004415879597122799,-0.0046799823808568695,-2.5095283185923647e-08
pairing,64,30,False,0.004419615681902534,-0.004682491343652473,-4.1126970384613645e-08
pairing,64,31,False,0.004422391083938947,-0.004685259651526649,-6.46844168590479e-08
pairing,64,32,False,0.004423854842839596,-0.00468699915155033,-9.31371419452074e-08
pairing,64,33,False,0.004423852078786827,-0.004686999679975054,-1.2606723607698142e-07
pairing,64,34,False,0.004422384573829795,-0.004685261885490586,-1.60834229097611e-07
pairing,64,35,False,0.0044196101067385495,-0.0046824967967816515,-1.9238497304908606e-07
pairing,64,36,False,0.004415874938394535,-0.004679993576772673,-2.2113685415117712e-07
pairing,64,37,False,0.0044117716774163115,-0.004679348482183701,-2.3826996947977526e-07
pairing,64,38,False,0.004408173969940413,-0.004682059601580468,-2.4425505385059117e-07
pairing,64,39,False,0.004406154051422156,-0.004689017365230451,-2.3579326587216606e-07
pairing,64,40,False,0.004406776940948977,-0.00469996507758059,-2.050692692982803e-07
pairing,64,41,False,0.004410769506981062,-0.0047130699118526935,-1.5378140631652076e-07
pairing,64,42,False,0.0044180693019684365,-0.00472477568132652,-7.612656597526073e-08
pairing,64,43,False,0.004427376443749571,-0.0047301295601443446,2.570305913528366e-08
pairing,64,44,False,0.004435882306984259,-0.00472374038345558,1.5124550481904891e-07
pairing,64,45,False,0.0044393308898093235,-0.00470138163876908,2.958363187488284e-07
pairing,64,46,False,0.0044326143052852394,-0.004662016507429928,4.507092657549984e-07
pairing,64,47,False,0.00441095980701001,-0.0046098649284384155,6.048961223754923e-07
pairing,64,48,False,0.00437163750332346,-0.0045557164022270915,7.478907226075946e-07
pairing,64,49,False,0.0043158988291746555,-0.004516657775210868,8.629402030696075e-07
pairing,64,50,False,0.004250533251056572,-0.004513571422948259,9.369917205596153e-07
pairing,64,51,False,0.004188302042201701,-0.004566083293253672,9.534350636278537e-07
