run_id,selection,geometry,V,t0,distance,count,mean,mean_abs,std
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,33,15,0.011712739785342248,0.011712739785342248,7.357195556847168e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,34,14,0.011706147881526208,0.011706147881526208,6.843651865691948e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,35,13,0.011698856198954749,0.011698856198954749,6.023527328778476e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,36,12,0.011690435027099615,0.011690435027099615,4.986797127177634e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,37,11,0.011679909103966775,0.011679909103966775,3.973505079975525e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,38,10,0.011666334519798871,0.011666334519798871,3.611422730309333e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,39,9,0.011648854795272508,0.011648854795272508,4.5565286108286214e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,40,8,0.011626257221131784,0.011626257221131784,6.205448798006284e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,41,7,0.011598295408246211,0.011598295408246211,7.773555267597309e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,42,6,0.01156597284597761,0.01156597284597761,8.604612865556027e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,43,5,0.011533515510737178,0.011533515510737178,8.302802688962237e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,44,4,0.011509063950031638,0.011509063950031638,6.631176762722246e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,45,3,0.011505869838143279,0.011505869838143279,3.5947064339661935e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,46,2,0.011543685693417908,0.011543685693417908,2.1336292785776798e-06
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,47,1,0.011632979839846977,0.011632979839846977,0.0
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,1,47,0.06105044755076492,0.06105044755076492,1.8792663202783922e-05
