t0,V,family,job_id,iteration,energy_per_site,spin_rms,pair_rms,central_spin_rms,charge_std,density,global_relative_residual
1.4,-0.05,stripe,58387972,1,-0.7242825551128232,0.20074105707779946,0.0008450499285733667,0.2123944079459692,0.05811563595306834,0.9375093237062813,0.2807349104648261
1.4,-0.05,stripe,58387972,2,-0.724564269185366,0.17999249464876158,0.00043466639826246506,0.1911567901036583,0.051103555211847375,0.9375017530627879,0.09313879844565913
1.4,-0.05,stripe,58387972,3,-0.7243449110576453,0.16825198086686616,0.0002617844649912548,0.17937807194472646,0.048356736038276726,0.9375003648297418,0.05593656955295208
1.4,-0.05,stripe,58387972,4,-0.7242657094662913,0.16087598303443182,0.000178957441903875,0.17209440845972837,0.04641368238533532,0.9375000796268763,0.03727807890987218
1.4,-0.05,stripe,58387972,5,-0.724219570590011,0.15597509395356196,0.0001342555816551766,0.16731860267761045,0.04514464056740443,0.937500010455208,0.026027685025320615
1.4,-0.05,stripe,58387972,6,-0.7241916688718876,0.1526018699218643,0.00010810781928467557,0.16407070346749966,0.04427394772205956,0.9374999917435386,0.018831777686889765
1.4,-0.05,stripe,58387972,7,-0.7241734379980977,0.15022954294842034,9.163520913974284e-05,0.1618104122253075,0.043669056431116925,0.937499986651991,0.014001693019796452
1.4,-0.05,stripe,58387972,8,-0.7241610903289637,0.1485355272118555,8.072226929876894e-05,0.16021083951936751,0.043241089173679824,0.9374999851068857,0.010690793206434316
1.4,-0.05,stripe,58387972,9,-0.7241524517411054,0.14731389340226853,7.3199667172767e-05,0.1590664043421409,0.04293622789002019,0.9374999856446667,0.00838224366994171
1.4,-0.05,stripe,58387972,10,-0.7241462630482449,0.1464307996263436,6.765274060652135e-05,0.15824384428188756,0.04272113844419397,0.9374999861887575,0.006741873174579339
1.4,-0.05,stripe,58387972,11,-0.7241417960956524,0.1457901302400252,6.363153327003227e-05,0.157650070304916,0.04256777451832722,0.9374999867404993,0.005571061321073286
1.4,-0.05,stripe,58387972,12,-0.7241385051571829,0.14532592736764077,6.054998853389804e-05,0.15722011317160245,0.04245946654267802,0.9374999872155195,0.004727478844734088
1.4,-0.05,stripe,58387972,13,-0.7241360603511697,0.14499190294963596,5.8228502173781086e-05,0.1569107887115526,0.04238500204767545,0.9374999876118616,0.004099916150808477
1.4,-0.05,stripe,58387972,14,-0.7241341971288401,0.14475440407835136,5.643930985778258e-05,0.15668870849742744,0.04233587124395511,0.9374999879028258,0.003636798936336181
1.4,-0.05,stripe,58387972,15,-0.7241328558449129,0.14458736308547881,5.489891104047655e-05,0.15652878098212863,0.04230345239378308,0.9374999856207898,0.003324835850122324
1.4,-0.05,stripe,58387972,16,-0.7241318205710683,0.14447283306204375,5.371448499872546e-05,0.1564165966179922,0.04228465937985059,0.9374999865816076,0.00302078485035264
1.4,-0.05,stripe,58387972,17,-0.7241310193209795,0.14439773065920522,5.255844241693543e-05,0.15633785053166882,0.04227641735017343,0.9374999891017421,0.00283549017948932
1.4,-0.05,stripe,58387972,18,-0.7241304089129544,0.14435266111864695,5.165493951909968e-05,0.15628551365448987,0.04227590564841034,0.9374999889288632,0.002659749460527807
1.4,-0.05,stripe,58387972,19,-0.7241300082782731,0.14432577002412614,5.0831939905382984e-05,0.1562488894689789,0.042276352018702716,0.9374999894017847,0.002489400909034092
1.4,-0.05,stripe,58387972,20,-0.7241296643758697,0.14431495238011258,5.002851460283824e-05,0.15622589869223555,0.04228277588929596,0.9374999897858496,0.00239984440095244
1.4,-0.05,stripe,58387972,21,-0.7241294076547514,0.144315189810715,4.925378988116464e-05,0.15621359828461645,0.042291285138019184,0.9374999898620785,0.0022588008004445896
1.4,-0.05,stripe,58387972,22,-0.7241292147900981,0.14432297324899213,4.856923800802194e-05,0.15620802716391669,0.04230056879179498,0.9374999899059199,0.0021482618344058784
1.4,-0.05,stripe,58387972,23,-0.7241290559084457,0.1443369960432273,4.796657073571104e-05,0.15620759069757614,0.042312604776046696,0.937499990202304,0.0020731344384599466
1.4,-0.05,stripe,58387972,24,-0.7241289498264444,0.14435438367316153,4.749218163744528e-05,0.1562109897507845,0.042323357718544584,0.937499990510785,0.0019704758288912045
1.4,-0.05,stripe,58387972,25,-0.7241288779439042,0.1443740207071811,4.725082645694899e-05,0.15621663159201124,0.04233546947751124,0.9374999905392009,0.0019215069659977706
1.4,-0.05,stripe,58387972,26,-0.7241288313331464,0.14439350918632765,4.696614588257661e-05,0.15622306939023375,0.04234492395770582,0.9374999903099291,0.001840994419302259
1.4,-0.05,stripe,58387972,27,-0.7241288106712841,0.1444127181238605,4.652748938259669e-05,0.15622914959442644,0.04235474832659218,0.9374999904997785,0.0017748038079890888
1.4,-0.05,stripe,58387972,28,-0.7241287460088434,0.14443359622651686,4.598537228706675e-05,0.1562384435599287,0.04236626596122573,0.9374999911130316,0.0017111192878757574
1.4,-0.05,stripe,58387972,29,-0.7241287179782813,0.14445401616121675,4.5445752578957644e-05,0.15624739970441395,0.04237623974946408,0.937499991365433,0.0016545346861298136
1.4,-0.05,stripe,58387972,30,-0.7241287281956584,0.14447326073449437,4.493405299510747e-05,0.15625549789677926,0.042384811596951226,0.9374999915485018,0.0015870687879151974
1.4,-0.05,stripe,58387972,31,-0.7241287324929531,0.1444918633120888,4.4459226292966335e-05,0.1562629561634493,0.04239329718093457,0.9374999916777416,0.0015524494138961626
1.4,-0.05,stripe,58387972,32,-0.7241287270887804,0.14450953857755441,4.398350541466924e-05,0.15626980061094775,0.04240149320226438,0.9374999918766594,0.001486557172762426
1.4,-0.05,stripe,58387972,33,-0.7241287465708325,0.14452699251693937,4.36603238917594e-05,0.1562764908269773,0.0424099969983536,0.9374999919572933,0.0014439281257271799
1.4,-0.05,stripe,58387972,34,-0.7241287481626981,0.14454278130310746,4.393810225203636e-05,0.15628237436432518,0.04241661141486356,0.937499991517457,0.0014058159703750077
1.4,-0.05,stripe,58387972,35,-0.7241287733138193,0.144557171294075,4.3766258791622633e-05,0.15628761028059815,0.042422819315920283,0.9374999913929996,0.0013626524840839372
1.4,-0.05,stripe,58387972,36,-0.7241287842250682,0.1445705595114563,4.337926629693705e-05,0.15629247655585163,0.04242910037327584,0.9374999919477031,0.0013230825346596197
1.4,-0.05,stripe,58387972,37,-0.724128846390405,0.14458119409286035,4.3094166308888405e-05,0.15629428276835566,0.04243270056731157,0.9374999919856425,0.0012929379640775648
1.4,-0.05,stripe,58387972,38,-0.7241288247512925,0.14459212093946158,4.266198364025599e-05,0.1562975943182223,0.04243860101464724,0.9374999921712558,0.0012542426245895763
1.4,-0.05,stripe,58387972,39,-0.7241288148595166,0.14460306100775014,4.2284617889996245e-05,0.15630155566368678,0.042443801362223615,0.9374999922148706,0.0012190856573891702
1.4,-0.05,stripe,58387972,40,-0.7241288518653546,0.14461177665363384,4.190543207048228e-05,0.1563039273887625,0.042446658316523674,0.9374999922354188,0.0011844270010931952
1.4,-0.05,stripe,58387972,41,-0.7241288730499449,0.14461866962604855,4.154671007496875e-05,0.15630484251743404,0.04244902087553189,0.9374999924174919,0.0011663477341389468
1.4,-0.05,stripe,58387972,42,-0.7241288907325186,0.14462496677970235,4.1347255434113994e-05,0.15630505346808016,0.04245149117311421,0.9374999918621474,0.001165425432484476
1.4,-0.05,stripe,58387972,43,-0.7241288906792218,0.14463136405945967,4.1232121001154315e-05,0.15630657638187503,0.042454863389031226,0.9374999924334663,0.0011319241804812284
1.4,-0.05,stripe,58387972,44,-0.7241289127688154,0.14463696617787536,4.1116236462836525e-05,0.15630743023316856,0.04245690026795154,0.9374999926847493,0.0011097328938822735
1.4,-0.05,stripe,58387972,45,-0.7241289039732222,0.1446427539852273,4.0936473522644505e-05,0.15630903775300817,0.04245990868491128,0.9374999924134744,0.0011001284494681597
1.4,-0.05,stripe,58387972,46,-0.7241289184237427,0.14464812179000258,4.061642034527849e-05,0.15630995759850722,0.04246252002199234,0.9374999928490985,0.0011082941638125541
