cut,coordinate,t0,V,family,sampling,phase_observation,target_corrected_energy_per_site,canonical_energy_per_site,density_correction_per_site,target_corrected_energy_total,canonical_energy_total,sites,final10_energy_range_per_site,segment_iterations,cumulative_iterations,accepted,ep_signed,coupling,job_id,source,source_sha256,config_sha256
t0,1.2,1.2,-0.4,stripe,coarse,S,-1.091389341347923,-1.09138934443752,3.0895967551014536e-09,-139.69783569253414,-139.69783608800256,128,4.3127199944592576e-07,40,40,False,-0.25124588461187614,0.03980164696209043,58172803,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__stripe_weak_other_t012_vm04_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T064933_273999_9bc2a45ffc54/state.h5,40a1fe9803d61578acdfa15419469f37b06b79a3b5558ba9b48ad472c36ca4cd,aef4d80522254a458cee9994ecf2cb78888e7d8cb2816e91a3202af0c2994da1
t0,1.2,1.2,-0.4,pairing,coarse,S,-1.091386727865563,-1.091386729027914,1.1623510141303529e-09,-139.69750116679205,-139.697501315573,128,0.00015582427995175507,40,40,False,-0.25124588461187614,0.03980164696209043,58172804,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__pairing_weak_other_t012_vm04_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T070450_1576258_9bc2a45ffc54/state.h5,52067a103397353854e7280480a542db2b11a6521165ad627a27dadf0ba66372,d6794bf2b03ab126bdf49c856e3375b45a0d795d6c4b57b459f9f5ed948d0a50
t0,1.25,1.25,-0.4,stripe,fine,S,-1.1083805765537325,-1.1083805771444086,5.906760658544062e-10,-141.87271379887775,-141.8727138744843,128,1.3506585494482692e-07,60,60,False,-0.2508405031610721,0.03986597010443208,58387978,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01250_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043415_865277_e1b89e251272/state.h5,2bc813ff5e6d6ab47bdf4c4f8e47901dbb29473dc9ac04b56931941896b226fc,36559d6e9e3ed74fea662eec859e2cd755dbe9b8bd1bee868577ebafa14bfeb3
t0,1.25,1.25,-0.4,pairing,fine,D,-1.1084124678784717,-1.108412888900178,4.2102170622514145e-07,-141.87679588844438,-141.8768497792228,128,2.2383511266710343e-08,60,60,False,-0.2508405031610721,0.03986597010443208,58387979,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01250_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T044602_976793_e1b89e251272/state.h5,464e3840f3f1f12747e8fe35bd4c3e4c08ded7e7109a7de56bb1ff760438443a,613b9de768974bc712baa88107890ed65dd5980dcebf50913b26de163bf34ade
t0,1.3,1.3,-0.4,stripe,fine,D,-1.126855289681961,-1.1268601493044954,4.859622534097471e-06,-144.237477079291,-144.2380991109754,128,2.4553921118553035e-08,60,60,False,-0.25043512171026805,0.03993050148760342,58387980,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01300_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043414_1093607_c5e3add0ce6d/state.h5,fdc24facc2aed2b8157355bd3a87ef7c65cf2010b46c6803095c026f8aef9b9b,4df878903be503960d14dc419bbaf86af86ee5ac3e585fd1e4d7f16887f4874f
t0,1.3,1.3,-0.4,pairing,fine,D,-1.1268553074455672,-1.1268598159854737,4.508539906446428e-06,-144.2374793530326,-144.23805644614063,128,2.3082627365056396e-08,60,60,False,-0.25043512171026805,0.03993050148760342,58387981,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01300_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T054853_879910_c5e3add0ce6d/state.h5,736e38683aee25faa4fe841d381ccee47e77046ce07034c5372a270162151718,147c5833935752db9f9cd6bcecf839af0a71b4290deb52c2201f221efaa7116f
t0,1.35,1.35,-0.4,stripe,fine,D,-1.1465173651278324,-1.1465196603454797,2.2952176474872623e-06,-146.75422273636255,-146.7545165242214,128,3.3856937253773367e-09,60,60,False,-0.250029740259464,0.03999524212448757,58387982,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01350_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T070132_825366_c79dd64fd5ba/state.h5,2664c17513a1486927dfdba5f52f88b1c274fbf61759edf2395ba07e6f4ffdc5,7bb84ff4b261af0965e6bdc09b54d62557c992edcc7540fe149ab3880c8a8198
t0,1.35,1.35,-0.4,pairing,fine,D,-1.1465173667513793,-1.146518819885361,1.4531339819793908e-06,-146.75422294417655,-146.75440894532622,128,5.305271555400282e-09,60,60,False,-0.250029740259464,0.03999524212448757,58387983,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01350_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T080349_1087473_c79dd64fd5ba/state.h5,26d679258dd2d574c429534afe8def69bb44449b258c7895e924ec01b40001d5,2b8c9e6081c75bf64292b578f55272b2bf5874d0d207cc09c5cdac797c5ee9ec
t0,1.4,1.4,-0.4,stripe,coarse,D,-1.1674048007866273,-1.1674091140138898,4.313227262557733e-06,-149.4278145006883,-149.4283665937779,128,6.963305931861896e-09,80,80,False,-0.24962435880865996,0.04006019303454725,58093799,output/phase1_gpu/20260908_square_two_basin_95_5_80_anchors/results/square__stripe_weak_other_t014_vm04_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260909T231851_497480_e93552440b67/state.h5,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,311fbdb0aabf255bc289a95fe7038b3022a14c47157f70168b25ae55420eaf4c
t0,1.4,1.4,-0.4,pairing,coarse,D,-1.1674048082719386,-1.1674077539945797,2.9457226410983705e-06,-149.42781545880814,-149.4281925113062,128,1.1345931305584145e-08,80,80,False,-0.24962435880865996,0.04006019303454725,58093800,output/phase1_gpu/20260908_square_two_basin_95_5_80_anchors/results/square__pairing_weak_other_t014_vm04_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260910T084630_1156171_e93552440b67/state.h5,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,51f8b04b206598da83e09edf1d919dcd74bdb4147545d5107794fe4f7f97face
