source,geometry,L,U,V,t0,tp,density_target,branch,status,stored_iteration,canonical_energy_per_site,corrected_canonical_energy_per_site,correction_kind,density,global_relative_residual
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,13,-1.1674089813072928,-1.1674048068609582,stored,0.9374923719214323,0.0022549441723622404
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,14,-1.1674090199125573,-1.1674048001194897,stored,0.9374922890581217,0.0013841019905111095
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,15,-1.1674090845560208,-1.1674048009900009,stored,0.937492172524083,0.0008496130563933874
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,16,-1.167409081403283,-1.167404800477289,stored,0.9374921773482738,0.0005218422242965873
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,17,-1.1674090979081055,-1.1674048007526907,stored,0.9374921476918147,0.0003202148342244189
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,18,-1.167409104002725,-1.167404800671502,stored,0.9374921364065937,0.00019679190384270807
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,19,-1.1674089980164055,-1.1674047993416914,stored,0.9374923276482596,0.00012077011677799935
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,20,-1.1674091288281958,-1.1674048024798196,stored,0.9374920943467278,7.483386364048787e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,21,-1.1674091022152147,-1.1674048003864737,stored,0.9374921391521196,4.6094174858395093e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,22,-1.1674090927817735,-1.1674048005268916,stored,0.9374921566466905,3.244974153389045e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,23,-1.1674088922441328,-1.1674047967139396,stored,0.9374925161270296,2.099316153152597e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,24,-1.167409127387335,-1.1674048039583238,stored,0.9374920996813619,1.8635033360770127e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,25,-1.1674091053544304,-1.1674048004626825,stored,0.937492133555004,1.4554434872337476e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,26,-1.1674091151916282,-1.167404800758957,stored,0.9374921161206179,1.0417988771978426e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,27,-1.1674091087430292,-1.1674048005928188,stored,0.9374921276007273,1.4084233326580195e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,28,-1.1674090982381768,-1.1674048004006077,stored,0.9374921464452955,3.838153172870435e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,29,-1.1674091091655838,-1.1674048007427498,stored,0.9374921271025549,5.636570114362824e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,30,-1.167409092430366,-1.1674048003968311,stored,0.9374921570511641,5.3419955835913785e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,31,-1.1674088997068208,-1.1674047968918935,stored,0.9374925028154377,1.1362456131783984e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,32,-1.1674091358454948,-1.167404803917181,stored,0.9374920841503569,1.492116809878616e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,33,-1.1674090934004342,-1.167404800323005,stored,0.9374921551436279,4.873707877278904e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,34,-1.1674089982147957,-1.167404799499411,stored,0.9374923275739406,1.0416550194167017e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,35,-1.1674088950208386,-1.1674047981649105,stored,0.9374925137044781,1.1179579808451543e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,36,-1.1674091295934805,-1.167404804011807,stored,0.9374920957477441,9.715102552782141e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,37,-1.1674091052723745,-1.1674048005271451,stored,0.9374921338227413,2.505276964510672e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,38,-1.1674090918020779,-1.1674048004395856,stored,0.9374921582773784,5.02334722031323e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,39,-1.1674091062234644,-1.1674048007666753,stored,0.9374921325224888,5.525320699222824e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,40,-1.1674090964708925,-1.16740480053033,stored,0.937492149911747,9.923000053078967e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,41,-1.1674088990472231,-1.1674047968502554,stored,0.9374925039446523,9.740308108154834e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,42,-1.1674091345512239,-1.167404803932107,stored,0.937492086542688,1.0409419438611296e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,43,-1.167409096729985,-1.1674048003508266,stored,0.9374921491102889,1.2469164509860963e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,44,-1.1674091031014755,-1.1674048007289068,stored,0.9374921381583686,9.536631681743791e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,45,-1.1674091020710373,-1.1674048006056623,stored,0.9374921398161082,1.3053387034719349e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,46,-1.1674091051009208,-1.1674048006709552,stored,0.9374921343988314,6.416365534082486e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,47,-1.1674090993590285,-1.167404800621361,stored,0.9374921448005219,1.0933525040567282e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,48,-1.1674091102702846,-1.1674048007757738,stored,0.9374921251442512,1.769189415130613e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,49,-1.1674091058228409,-1.1674048005845816,stored,0.9374921329218149,8.088362012576745e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,50,-1.1674090973419045,-1.167404800540097,stored,0.9374921483379711,5.435945634843069e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,51,-1.167409100505052,-1.167404800580885,stored,0.9374921426323992,5.7286901181141e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,52,-1.1674089027775933,-1.1674047967178423,stored,0.9374924968860837,9.285900752832789e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,53,-1.1674091327753102,-1.1674048038424554,stored,0.9374920896240397,1.054377850135473e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,54,-1.1674090955361776,-1.167404800407868,stored,0.9374921513959987,1.649614153258237e-05
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,55,-1.1674091211983568,-1.167404800986572,stored,0.9374921055602868,7.505220657318544e-06
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,56,-1.1674091020436344,-1.167404800424807,stored,0.9374921395357002,1.454433658021663e-05
