family,iteration,leg_pairing_field_bulk_rms,spin_odd_field_bulk_rms,signed_projection_onto_initial_stripe
stripe,1,0.00010960359281622657,0.012386586329476165,0.6215851478388987
stripe,2,0.00028865952986907573,0.008465196560143148,0.4231450204167268
stripe,3,0.0016065376139484666,0.005730135615504446,0.2851624430269583
stripe,4,0.002549553195473634,0.0035858369091427917,0.17814120194327424
stripe,5,0.00276546773051611,0.0022128276585595204,0.10974888372687971
stripe,6,0.0028093082199502606,0.0013598299858370057,0.0673290515400282
stripe,7,0.002819419687740637,0.0008352572894136708,0.04128202359224886
stripe,8,0.002822217000056012,0.0005130859569220222,0.025311256056464306
stripe,9,0.0028230964426054416,0.00031525741739896104,0.015521675225336871
stripe,10,0.002823430572224314,0.00019374733350648252,0.009519933554376955
stripe,11,0.002823555219479252,0.00011908970657896457,0.005839508322876455
stripe,12,0.0028236235987809215,7.321178576107174e-05,0.0035824302535467888
stripe,13,0.002823625232404528,4.501624718684826e-05,0.0021981564179957176
stripe,14,0.0028236301507291316,2.767847633483371e-05,0.0013487045805815339
stripe,15,0.0028236309022506173,1.7018617991162332e-05,0.0008275482481118968
stripe,16,0.002823631927293077,1.0465282944440054e-05,0.0005077420931192154
stripe,17,0.0028236309546585355,6.437305495492748e-06,0.00031160010402736234
stripe,18,0.0028236302391097664,3.961210119423795e-06,0.00019135222291432463
stripe,19,0.00282363828343259,2.4384872637327916e-06,0.000117554804758301
stripe,20,0.0028236326184479213,1.5040547498754708e-06,7.22515451355401e-05
stripe,21,0.0028236325083457283,9.287910695361703e-07,4.440070575606042e-05
stripe,22,0.0028236309312843475,5.73022331702382e-07,2.7281789983722693e-05
stripe,23,0.002823644930846747,3.4821603821145093e-07,1.6477737690387947e-05
stripe,24,0.002823635366291251,2.229086253716301e-07,1.0307565902135993e-05
stripe,25,0.0028236320748700476,1.418035253466497e-07,6.4067344700718325e-06
stripe,26,0.0028236333951301993,9.745605867187619e-08,4.213344574669852e-06
stripe,27,0.002823630955095358,7.451918023192966e-08,2.55707196963871e-06
stripe,28,0.0028236304654807322,6.456342785596849e-08,1.5010026776640855e-06
stripe,29,0.0028236305981113783,5.7314989181428456e-08,9.71708974321954e-07
stripe,30,0.0028236310581453653,5.724001814874245e-08,6.125502817038172e-07
stripe,31,0.002823643296882001,6.125654891614708e-08,-6.584238052632522e-08
stripe,32,0.00282363284688633,4.085091146254526e-08,-5.83654848262341e-08
stripe,33,0.0028236323411509473,4.858778755151006e-08,-1.2333846198037774e-08
stripe,34,0.0028236379653967555,5.2728678749831395e-08,-7.963000017469286e-08
stripe,35,0.0028236478799161216,4.682960178323764e-08,-2.4734020530973315e-07
stripe,36,0.0028236352263233517,3.812706846958412e-08,-5.147752268215413e-08
stripe,37,0.0028236342246898056,3.4239050367458664e-08,5.3791532117919334e-08
stripe,38,0.002823634837004762,2.523983374721702e-08,7.689674928139014e-08
stripe,39,0.0028236352407262516,2.371413782570822e-08,1.8194418992207483e-07
stripe,40,0.0028236340622662484,3.048014985792102e-08,7.717136179237221e-08
stripe,41,0.0028236463603653326,4.279172054085703e-08,-1.4284643675393508e-07
stripe,42,0.0028236349378337965,3.7468167341588964e-08,-1.2549166685333914e-07
stripe,43,0.002823635016303171,3.153600254172993e-08,-5.920812937062633e-08
stripe,44,0.002823635269477648,3.679948755614046e-08,-1.2555725273982614e-07
stripe,45,0.002823636043779621,2.010581949899921e-08,6.757487378600231e-08
stripe,46,0.0028236357948472767,2.1169700676238607e-08,1.1615556099184256e-07
stripe,47,0.0028236377283375347,2.9083106473035754e-08,1.5291477418019966e-07
stripe,48,0.002823635555190444,2.851725598362558e-08,1.6219954902023042e-08
stripe,49,0.0028236324591728182,4.123940752120299e-08,-1.7436923444363713e-07
stripe,50,0.0028236324756703247,5.169948916336842e-08,-2.0533275988196634e-07
stripe,51,0.00282363191757689,4.9780474770056934e-08,-2.3747484091110565e-07
stripe,52,0.0028236455272299113,3.963934404936165e-08,-5.360400060949105e-07
stripe,53,0.0028236333574474244,5.2495357232965195e-08,-3.236071926851997e-07
stripe,54,0.0028236352680440606,3.613663685657026e-08,-1.1096556474233319e-07
stripe,55,0.0028236344217616445,3.2001126647303846e-08,1.4602891421745469e-10
stripe,56,0.0028236328459939615,3.6522192663092135e-08,-7.935475579584435e-08
stripe,57,0.0028236452472495325,4.725782187625759e-08,-4.543965002724921e-07
stripe,58,0.0028236455527747353,5.587568878731917e-08,-6.482057329623531e-07
stripe,59,0.0028236323707050634,5.3515767090633124e-08,-5.33984053950029e-07
stripe,60,0.002823632099680812,3.5038063021925206e-08,-4.3481295891887505e-07
stripe,61,0.0028236336119829993,3.273827129632393e-08,-2.1723016825618548e-07
stripe,62,0.0028236353856292036,2.5379177053164462e-08,3.640165968989042e-08
stripe,63,0.002823632961357713,3.8125702576149195e-08,-1.3155666938897361e-08
stripe,64,0.0028236324819405833,4.992691460572982e-08,-1.482748885343438e-07
stripe,65,0.0028236343406770554,2.9767193556453434e-08,-8.251866262298266e-08
stripe,66,0.0028236333422424404,3.261685427489148e-08,-1.6300712961284725e-07
stripe,67,0.0028236347524431514,3.036819005498467e-08,-4.501437246776686e-08
stripe,68,0.002823633775432366,2.999597989705466e-08,-1.212437411774272e-07
stripe,69,0.0028236347330687435,3.7697850672434975e-08,-1.2543839999080503e-08
stripe,70,0.002823634360929477,4.406855653915598e-08,-4.089567909583084e-08
stripe,71,0.002823631843720289,4.881254223381194e-08,-2.417437055211698e-07
