family,iteration,channel,absolute,applied_rms,contraction,cosine,factor,measured_rms,passes,relative
stripe,1,charge_modulation,0.0004863521540694111,0.0020883656002361087,nan,nan,1.0,0.0019093759417568791,0,0.0994412977395556
stripe,2,charge_modulation,0.0013408783539001355,0.0019093759417568791,3.1152519120000406,0.9695886599656952,inf,0.001314276948096018,0,0.34945198508057235
stripe,3,charge_modulation,0.0009314316426914685,0.001314276948096018,0.6643712608061201,0.922486770563804,2.9794826342994964,0.0008956180241370394,0,0.3656307879058509
stripe,4,charge_modulation,0.0008309450370685878,0.0008956180241370394,0.9671113228825156,0.947511756552069,30.405601186931747,0.0005522140001332987,0,0.547644442172145
stripe,5,charge_modulation,0.00021063054580828253,0.0005522140001332987,0.20284928626124174,0.9132307242244156,1.254467922771903,0.0004950264431169176,0,0.19729090562607576
stripe,6,charge_modulation,7.36062639446278e-05,0.0004950264431169176,0.37114059269439115,0.9532730475819615,1.590180552891096,0.00048042064175131264,0,0.08568547797016655
stripe,7,charge_modulation,2.521134361479051e-05,0.00048042064175131264,0.31897829404226047,0.9958798614322661,1.468381978506357,0.00047671980477503786,0,0.028279266714945232
stripe,8,charge_modulation,9.689452466488113e-06,0.00047671980477503786,0.3840370509843799,0.9966679995138039,1.6234742716231803,0.00047559189220225916,0,0.010981185302353272
stripe,9,charge_modulation,3.6402714200869934e-06,0.00047559189220225916,0.36637852225689804,0.9990193638244906,1.5782293295389902,0.00047521695645629495,0,0.0040367706253945455
stripe,10,charge_modulation,1.3684206279043244e-06,0.00047521695645629495,0.3767371628205704,0.9980953658768427,1.60445953191352,0.00047507645708195795,0,0.0015249057789560889
stripe,11,charge_modulation,5.196856462190945e-07,0.00047507645708195795,0.36691168306080724,0.9787351909798246,1.5795584490244963,0.0004750415825184191,0,0.0005718310933977587
stripe,12,charge_modulation,3.279378342126854e-07,0.0004750415825184191,0.5209870982402546,0.9476956423871044,2.0876264424743236,0.0004750119199111206,0,0.00031438204405581085
stripe,13,charge_modulation,1.1729810859336526e-07,0.0004750119199111206,-0.12465882163956982,-0.4388094753338151,1.0,0.00047502243265762703,1,8.931455966504573e-05
stripe,14,charge_modulation,5.055575416895025e-08,0.00047502243265762703,-0.22951304184740226,-0.39932303634257915,1.0,0.0004750189207991203,1,5.133401883782128e-05
stripe,15,charge_modulation,1.0550802489930206e-08,0.0004750189207991203,0.10261077911428773,0.5828575269461784,1.0,0.0004750184180298433,1,9.03730734706579e-06
stripe,16,charge_modulation,1.2114375780520117e-08,0.0004750184180298433,0.26164215732840523,0.2753384294958359,1.0,0.00047501900902623205,1,8.587759274579073e-06
stripe,17,charge_modulation,5.923660955850507e-09,0.00047501900902623205,-0.15280643196418442,-0.31006231201445633,1.0,0.000475018287156183,1,4.232261717943257e-06
stripe,18,charge_modulation,7.69465255921753e-09,0.000475018287156183,-0.30811530531820674,-0.2579588138656766,1.0,0.0004750182279436691,1,5.055173628508126e-06
stripe,19,charge_modulation,5.3232467055013e-08,0.0004750182279436691,-1.8330398734235571,-0.20230880980938426,1.0,0.00047501298914030186,1,4.5802928661105446e-05
stripe,20,charge_modulation,5.779193542210931e-08,0.00047501298914030186,-1.1132978075472975,-0.9978928913253968,1.0,0.0004750183657527229,1,5.1099958429798673e-05
stripe,21,charge_modulation,8.794591410156427e-09,0.0004750183657527229,-0.1509470068835893,-0.9383225478108814,1.0,0.0004750178419517301,1,8.22039904598837e-06
stripe,22,charge_modulation,7.432745562259424e-09,0.0004750178419517301,0.02270964160479901,0.04926330226452807,1.0,0.0004750185208560244,1,3.7894791182449413e-06
stripe,23,charge_modulation,1.1704779480283672e-07,0.0004750185208560244,-6.910816611763389,-0.2546215920352971,1.0,0.0004750070731614781,0,0.0001028522170133444
stripe,24,charge_modulation,1.331028778072188e-07,0.0004750070731614781,-1.1389579175733848,-0.9986171792177191,1.0,0.00047501987071889366,0,0.00011730622750779334
stripe,25,charge_modulation,2.0028271399859243e-08,0.00047501987071889366,-0.13883834789159963,-0.9391009174489539,1.0,0.0004750177050115552,1,1.7342761062166065e-05
