label,records,raw_records,first_available_gate_pass,first_pass_by_40,source_sha256,source,terminal_identity_pass,terminal_effective_pass
anchor_stripe,80,80,35,true,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,output/phase1_gpu/20260908_square_two_basin_95_5_80_anchors/results/square__stripe_weak_other_t014_vm04_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260909T231851_497480_e93552440b67/state.h5,true,true
anchor_pairing,80,80,30,true,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,output/phase1_gpu/20260908_square_two_basin_95_5_80_anchors/results/square__pairing_weak_other_t014_vm04_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260910T084630_1156171_e93552440b67/state.h5,true,true
square__legacy_pairing_mixed_chi200_loose,6,6,0,false,b26694b3c8e6414ba4f5b7132cdbd1fd39fbca58e845b430972f7a44de9be26d,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__legacy_pairing_mixed_chi200_loose/square__legacy_pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_legacy_pairing_m000/20260902T234004_396550_75954fd2eaab/state.h5,true,true
square__pairing_dwave_m000_chi200_loose,6,6,0,false,09136f2860547305573031383fd85ce51e49e6719c4d8cb2a35f4a25def4e4d2,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__pairing_dwave_m000_chi200_loose/square__pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_pairing_m000/20260902T230658_727249_75954fd2eaab/state.h5,true,true
square__stripe_m004_chi200_loose,6,6,0,false,02ce3ec545f38854969426c247797481254b4b9d78110fce125ebcac2a9d9471,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_m004_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m004/20260903T014952_181603_75954fd2eaab/state.h5,true,true
square__stripe_m005_chi200_loose,28,21,0,false,85c3704fedcd9675c1c2c21fe33d9af5dfeebb1bca97b1b204809e5aed62d819,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_m005_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m005/20260903T022716_1694688_75954fd2eaab/state.h5,true,true
square__stripe_pairing_m004_chi200_loose,25,21,0,false,9e7e1680ad0891495df6916908d7230b7e85d065dec96ef4aace701e9d3b20c6,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_pairing_m004_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m004/20260903T041433_1712511_75954fd2eaab/state.h5,true,true
square__stripe_pairing_m005_chi200_loose,25,21,0,false,3879fc9f2200be41a5ef03567c6a4201d37ee7c118019837bb4dd052be6d4220,output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_pairing_m005_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m005/20260903T050833_725956_75954fd2eaab/state.h5,true,true
