t0,V,family,iteration,energy_per_site,spin_field_rms,pairing_field_rms,global_relative_residual,density
1.4,-0.4,stripe,1,-1.166870551258377,0.012386586329476165,0.00010960359281622657,0.3805870136533854,0.9374951826581716
1.4,-0.4,stripe,2,-1.1672431952527067,0.008465196560143148,0.00028865952986907573,0.24577676220042866,0.9374983608465663
1.4,-0.4,stripe,3,-1.1672390723925161,0.005730135615504446,0.0016065376139484666,0.21599122831110557,0.9374998644515277
1.4,-0.4,stripe,4,-1.1673247065928924,0.0035858369091427917,0.002549553195473634,0.18301877900887,0.9374996807868635
1.4,-0.4,stripe,5,-1.1673847290326784,0.0022128276585595204,0.00276546773051611,0.10972986985376025,0.9375000160282717
1.4,-0.4,stripe,6,-1.1674003129737383,0.0013598299858370057,0.0028093082199502606,0.0683252094221413,0.9374967749910507
1.4,-0.4,stripe,7,-1.1674036248576456,0.0008352572894136708,0.002819419687740637,0.04218904498966736,0.9375013078382815
1.4,-0.4,stripe,8,-1.167404460679441,0.0005130859569220222,0.002822217000056012,0.025943087470922332,0.9375002091536806
1.4,-0.4,stripe,9,-1.167404689371445,0.00031525741739896104,0.0028230964426054416,0.015921060436404257,0.9375000111163331
1.4,-0.4,stripe,10,-1.1674047572017565,0.00019374733350648252,0.002823430572224314,0.009766334029833451,0.9374999912519181
1.4,-0.4,stripe,11,-1.1674048144942972,0.00011908970657896457,0.002823555219479252,0.005991139317749476,0.9374943907393514
1.4,-0.4,stripe,12,-1.1674047957792135,7.321178576107174e-05,0.0028236235987809215,0.0036753647140255873,0.9374937060780231
1.4,-0.4,stripe,13,-1.1674048068609582,4.501624718684826e-05,0.002823625232404528,0.0022549441723622404,0.9374923719214323
1.4,-0.4,stripe,14,-1.1674048001194897,2.767847633483371e-05,0.0028236301507291316,0.0013841019905111095,0.9374922890581217
1.4,-0.4,stripe,15,-1.1674048009900009,1.7018617991162332e-05,0.0028236309022506173,0.0008496130563933874,0.937492172524083
1.4,-0.4,stripe,16,-1.167404800477289,1.0465282944440054e-05,0.002823631927293077,0.0005218422242965873,0.9374921773482738
1.4,-0.4,stripe,17,-1.1674048007526907,6.437305495492748e-06,0.0028236309546585355,0.0003202148342244189,0.9374921476918147
1.4,-0.4,stripe,18,-1.167404800671502,3.961210119423795e-06,0.0028236302391097664,0.00019679190384270807,0.9374921364065937
1.4,-0.4,stripe,19,-1.1674047993416914,2.4384872637327916e-06,0.00282363828343259,0.00012077011677799935,0.9374923276482596
1.4,-0.4,stripe,20,-1.1674048024798196,1.5040547498754708e-06,0.0028236326184479213,7.483386364048787e-05,0.9374920943467278
1.4,-0.4,stripe,21,-1.1674048003864737,9.287910695361703e-07,0.0028236325083457283,4.6094174858395093e-05,0.9374921391521196
1.4,-0.4,stripe,22,-1.1674048005268916,5.73022331702382e-07,0.0028236309312843475,3.244974153389045e-05,0.9374921566466905
1.4,-0.4,stripe,23,-1.1674047967139396,3.4821603821145093e-07,0.002823644930846747,2.099316153152597e-05,0.9374925161270296
1.4,-0.4,stripe,24,-1.1674048039583238,2.229086253716301e-07,0.002823635366291251,1.8635033360770127e-05,0.9374920996813619
1.4,-0.4,stripe,25,-1.1674048004626825,1.418035253466497e-07,0.0028236320748700476,1.4554434872337476e-05,0.937492133555004
1.4,-0.4,stripe,26,-1.167404800758957,9.745605867187619e-08,0.0028236333951301993,1.0417988771978426e-05,0.9374921161206179
1.4,-0.4,stripe,27,-1.1674048005928188,7.451918023192966e-08,0.002823630955095358,1.4084233326580195e-05,0.9374921276007273
1.4,-0.4,stripe,28,-1.1674048004006077,6.456342785596849e-08,0.0028236304654807322,3.838153172870435e-06,0.9374921464452955
1.4,-0.4,stripe,29,-1.1674048007427498,5.7314989181428456e-08,0.0028236305981113783,5.636570114362824e-06,0.9374921271025549
1.4,-0.4,stripe,30,-1.1674048003968311,5.724001814874245e-08,0.0028236310581453653,5.3419955835913785e-06,0.9374921570511641
