t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.4,-0.4,stripe,1,0.9830264564553972,1.7629543633268518e-07,-0.022986541831509045
1.4,-0.4,stripe,2,0.9727638036689538,-2.771570462023476e-07,-0.04172191465300551
1.4,-0.4,stripe,3,0.9580309380188572,1.4872444363545068e-07,-0.04712064355080198
1.4,-0.4,stripe,4,0.9453678485689859,1.1100788943618767e-07,-0.0512693658916792
1.4,-0.4,stripe,5,0.9352041733274862,4.834607447157246e-07,-0.05398330422224753
1.4,-0.4,stripe,6,0.9286549395646848,-2.337026927673458e-07,-0.0545031550156782
1.4,-0.4,stripe,7,0.9257390439243646,1.7393120558262254e-06,-0.053847672708188896
1.4,-0.4,stripe,8,0.9255586841060018,-5.699418197807615e-07,-0.05278597032782639
1.4,-0.4,stripe,9,0.9271408277313131,-6.952658840320147e-07,-0.051764511461271395
1.4,-0.4,stripe,10,0.9295935805149449,1.7246772286844125e-06,-0.05106728285660752
1.4,-0.4,stripe,11,0.9321713045926789,-2.3543736167586093e-07,-0.05080207971556124
1.4,-0.4,stripe,12,0.9343587686739767,8.792908227917007e-08,-0.05093661636255658
1.4,-0.4,stripe,13,0.9358868319681171,1.1399622272534327e-07,-0.05136530612248687
1.4,-0.4,stripe,14,0.9366959835806642,2.0532092238900734e-07,-0.05195206341219774
1.4,-0.4,stripe,15,0.9368799053762231,-1.3854180461181365e-07,-0.05257042410704371
1.4,-0.4,stripe,16,0.9366176223091954,4.164215473834165e-07,-0.0531255251293648
1.4,-0.4,stripe,17,0.9361112764160725,-4.3705780314318154e-07,-0.05356001327614911
1.4,-0.4,stripe,18,0.9355388464905393,3.3636631181777066e-07,-0.05385363850394982
1.4,-0.4,stripe,19,0.9350281479614091,-4.171009456016561e-07,-0.05401730495416204
1.4,-0.4,stripe,20,0.9346497559551985,2.0850726792365215e-07,-0.0540778483357733
1.4,-0.4,stripe,21,0.9344228769692143,-1.8294514045336108e-07,-0.05406971418062865
1.4,-0.4,stripe,22,0.9343313984489114,3.9569733489841497e-08,-0.05402610109487741
1.4,-0.4,stripe,23,0.9343395711305758,-6.612717814991065e-08,-0.053972971612493925
1.4,-0.4,stripe,24,0.9344063514131916,-2.9815650504083635e-08,-0.05392717549759984
1.4,-0.4,stripe,25,0.9344954322648751,-2.1826459889462413e-08,-0.05389703357222517
1.4,-0.4,stripe,26,0.9345805355850835,-5.08779050140129e-08,-0.05388424028365874
1.4,-0.4,stripe,27,0.9346467333823163,-1.3671853704710912e-08,-0.05388618619794404
1.4,-0.4,stripe,28,0.9346891144426446,-4.958363210294525e-08,-0.05389811031341084
1.4,-0.4,stripe,29,0.9347100372414883,-1.8308327770499844e-08,-0.053914755943719195
1.4,-0.4,stripe,30,0.9347159490748158,-4.241356342526981e-08,-0.05393142677442053
1.4,-0.4,stripe,31,0.9347144364847786,-2.564751222511319e-08,-0.05394451175259747
1.4,-0.4,stripe,32,0.9347118794499415,-3.490560715468938e-08,-0.053951640828146144
1.4,-0.4,stripe,33,0.9347118662168992,-3.31978329132232e-08,-0.05395165666994413
1.4,-0.4,stripe,34,0.9347144036444694,-2.7353250345307778e-08,-0.05394455692428311
1.4,-0.4,stripe,35,0.934715916955508,-4.2014139362001046e-08,-0.053931493804256214
1.4,-0.4,stripe,36,0.9347100386756279,-1.8436138629618348e-08,-0.05391483115969454
1.4,-0.4,stripe,37,0.9346891925148537,-5.27532817012899e-08,-0.05389817251126288
1.4,-0.4,stripe,38,0.9346469371584409,-8.696174544353674e-09,-0.05388620560441636
1.4,-0.4,stripe,39,0.9345809129851277,-6.156518875255479e-08,-0.05388417831891955
1.4,-0.4,stripe,40,0.9344960192507507,-6.153235795891554e-09,-0.0538968444474761
1.4,-0.4,stripe,41,0.9344071568110106,-5.320042953393944e-08,-0.053926811029238055
1.4,-0.4,stripe,42,0.9343405538279506,-3.209694278416553e-08,-0.053972389877894135
1.4,-0.4,stripe,43,0.9343324368899928,2.048867006609889e-09,-0.054025289733107884
1.4,-0.4,stripe,44,0.934423769799127,-1.2030618190550513e-07,-0.05406875225992005
1.4,-0.4,stripe,45,0.9346503005032522,1.7272331834239374e-07,-0.0540769800730285
1.4,-0.4,stripe,46,0.9350283522211605,-4.4724943393248395e-07,-0.05401695324841162
1.4,-0.4,stripe,47,0.9355384523910523,5.077682908444237e-07,-0.053854107316434294
1.4,-0.4,stripe,48,0.9361106648146649,-4.01206062330961e-07,-0.05356087677724122
