id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,diagnostic,diagnostic_sha256,source_sha256
backfill_11,square,1.2,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm02_chi200_raw,7.687758204106198e-05,one_ladder,0.048295021708255136,0.20210549624820603,0.9311504027922949,1.3055482347893157e-09,0.010901843446260408,0.010901843446260408,3.224999404963796e-05,3.2249994049637786e-05,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_vm02_chi200_raw/diagnostics.h5,8cc05f5d9494cc59781f3702e27da74ac644c66714ca73e3b21054488d645ffc,09879e9b48727e0b3236492c1db73d9ac34cc69247c8756e224dca839f82766c
backfill_12,square,1.2,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm02_chi200_raw,4.369901561225521e-05,one_ladder,0.048309916823279425,0.2022447391002995,0.9312596012642674,2.888132406791859e-08,0.010878534458005684,0.010878534458005424,3.173800780835922e-05,3.173800780832173e-05,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_vm02_chi200_raw/diagnostics.h5,21db952b410030cc2c36f1ff1e73f281208bac3247ea55f49ef409dc53d9e85a,9b6b07dabf7d4228cc763e8507d4be9af3388daa628914ee1fb640cec548a414
backfill_13,square,1.2,0.0,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_v000_chi200_raw,6.867746931557193e-05,one_ladder,0.05177205213131164,0.21981760934136937,0.9283402538382252,7.171746283117951e-08,0.009016095194046912,0.009016095194042999,7.470320099873393e-06,7.470320098363729e-06,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_v000_chi200_raw/diagnostics.h5,74a0e0e1fcd8d4e3ebe987e8c3ed4fad5a5b72b365b50c97edd6e22612cf620b,fc60608b1122577ea5ddab083bcf43125be52f09cea565479abe1a5bf1913242
backfill_14,square,1.2,0.0,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_v000_chi200_raw,4.5860471600558516e-05,one_ladder,0.05180047341832729,0.2198051910114257,0.9283398543422493,6.142537611865835e-08,0.009014001255914969,0.009014001255912594,7.5111730855937395e-06,7.5111730851857084e-06,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_v000_chi200_raw/diagnostics.h5,a9783cef194cc82875f7f8bd80136c699fa48313f9bac9eaadf1721b9509be91,005f43a840ed2f192f0db141415952cbc62e6bffe0bf592ea8073807f55116ec
backfill_15,square,1.4,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t014_vm02_chi200_raw,5.18294669876523e-07,one_ladder,0.0032095554320102984,3.3257085740142943e-06,0.9313706518709983,0.1000507760600974,0.022007722402886377,0.011963453385340637,0.010296065668849441,0.00024755539947320056,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t014_vm02_chi200_raw/diagnostics.h5,39cf0b7fd9862601e7eb38be6d2c55ff7619412ace1b4ae8e8282e2e339caf39,5419cad001eb8a343e9064d10768e1670d585c05778cd41e9f6575c9b1c2fa25
backfill_16,square,1.4,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t014_vm02_chi200_raw,3.9349478411342814e-08,one_ladder,0.003209611982184812,1.183242563456406e-06,0.9313676400359551,0.1000508804673739,0.0220084225594134,0.01196412071368455,0.010296085157321689,0.0002475537910917326,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t014_vm02_chi200_raw/diagnostics.h5,b9eaaf3079a9cae9f6d1c52f9ad883794cc866d233b9dc3c9147d1181f452342,b6e42277e91da2d4049d974b87fed64bc9ea745a9bf1d7e3194790c220ab5590
backfill_17,square,1.4,0.0,200,False,maximum_iterations,20,,square__stripe_weak_other_t014_v000_chi200_raw_finish20,4.4803123717012706e-05,one_ladder,0.052161377790855286,0.1809862973392189,0.9312047542611012,3.0647229938514274e-09,0.014068186403755458,0.014068186403755449,8.187273907322939e-05,8.187273907322172e-05,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_t014_v000_two_basin_finish20/square__stripe_weak_other_t014_v000_chi200_raw_finish20/diagnostics.h5,ec466a63c6b5f2a08d2cfb949be913eb2accb5f5b2a5dadf6efcf2c3d1ca5cf8,c28197eafcdd7e536e2e881a5dd99aa8774e839da8aa52ba2c8e1a23e9e6376e
backfill_18,square,1.4,0.0,200,False,maximum_iterations,20,,square__pairing_weak_other_t014_v000_chi200_raw_finish20,0.00022325784584434783,one_ladder,0.05183792548617585,0.1757987118300787,0.9271792656105863,1.3032827857776054e-07,0.01509021850020479,0.015090218500187914,9.814315602787558e-05,9.81431560114252e-05,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_t014_v000_two_basin_finish20/square__pairing_weak_other_t014_v000_chi200_raw_finish20/diagnostics.h5,f8c380d1b3b068dff61d63d6e07d4b181b3afc9558f8e305484f9afe2625e819,44286c39b6e62f7b30c3e4e7700ca4bd4f61bfd3a766fa95ecffa3e4e365d14a
backfill_19,cubic_unfrustrated,1.0,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t010_vm04_chi200_raw,9.63177278519604e-06,one_ladder,0.08600650217333311,0.33989326890167054,0.9245206606985619,3.66704653559402e-11,0.004372630410816834,0.004372630410816834,4.6392293629359354e-11,4.63922936293639e-11,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t010_vm04_chi200_raw/diagnostics.h5,41a905b8fdb857eb84f2f0039c8f353b612b46afcd5273ef2fd3b9d4bb141aa1,2046e3196ff680b10a9fa2a56e89ff20ed7526c0e3820c40825fc9e8d2582930
backfill_20,cubic_unfrustrated,1.0,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t010_vm04_chi200_raw,1.3136398365996404e-05,one_ladder,0.08585601695066493,0.3410962398155629,0.9256576051181069,1.1628124244555366e-11,0.004264253574370984,0.004264253574370984,4.059257114805795e-11,4.059257114804804e-11,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t010_vm04_chi200_raw/diagnostics.h5,2fbb296fc6e872e984bf3cbc64fbb81ccd50f08962eb6515c1d799edf798104a,905b4410e72206ebc2d020758fac912e6fea85fb1b9000773d7527c00939aafd
backfill_21,cubic_unfrustrated,1.0,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t010_vm02_chi200_raw,1.6726426596384847e-06,one_ladder,0.08770246835266671,0.3467488730800072,0.9242678627092978,2.6994828713108296e-12,0.00372765954522528,0.00372765954522528,9.095542009184052e-12,9.09554200918515e-12,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t010_vm02_chi200_raw/diagnostics.h5,91b68168a85f9c5b1206f0c0d63360abacec66ab97d7e9d8891d58f2c3fb869e,d02ebcc202ee11021e6ace3ef8ad9487949c7c58e077596227f5edb551d65873
backfill_22,cubic_unfrustrated,1.0,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t010_vm02_chi200_raw,3.5940129714388033e-06,one_ladder,0.08770574594912596,0.3469588345785667,0.9244693614775702,1.4501612543533999e-11,0.0037092840056244395,0.0037092840056244395,8.905632754306962e-12,8.90563275431967e-12,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t010_vm02_chi200_raw/diagnostics.h5,b4f23bb074fc92aebf0a62b340377bee7967eefb46994c976a09ca2db821532f,c22584014119ab4a959d7e18f55dbd613c302dcaaac2a587d9a43753104d05d6
backfill_23,cubic_unfrustrated,1.0,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t010_v000_chi200_raw,3.1479620751749537e-06,one_ladder,0.08986209516866625,0.35403272542669495,0.9239876954454874,6.108496983956084e-12,0.003172283670988909,0.003172283670988909,1.858574217019858e-12,1.8585742170220856e-12,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t010_v000_chi200_raw/diagnostics.h5,f742123a40ceaa39c3ee2d7c4063f83867e8b209497a6112406ff041c75ab954,9bcff315ee31291671048d5c79ebf02cafc089b1b7523b835cba978bc76c806e
backfill_24,cubic_unfrustrated,1.0,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t010_v000_chi200_raw,3.0414112511031183e-06,one_ladder,0.08990764451323933,0.3537978560718177,0.9237575818471478,7.761835475532544e-12,0.003188294635534457,0.003188294635534457,1.8934774334300103e-12,1.8934774334298027e-12,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t010_v000_chi200_raw/diagnostics.h5,95949e354084beff892b88f26170d3a48d495113d47346f7903d189245755321,65ae965e704f7d45b63e42ea3d2ea03f3d399e31b6761f4e06121e3e0e886244
backfill_25,cubic_unfrustrated,1.2,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_vm04_chi200_raw,3.1782160965673246e-05,one_ladder,0.07970003569125221,0.30650664469705535,0.9255058250400259,7.561514131333008e-12,0.007219400116957372,0.007219400116957372,8.041290914576017e-09,8.041290914576015e-09,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t012_vm04_chi200_raw/diagnostics.h5,45bce2610a53e4e7a592f125abdb20d8f4193876a885ef436320963402e741d1,f9fda0d1a8de5656eb1a4a6d4a0ef12a6d44b97e7f53883d516983e40ef2a166
backfill_26,cubic_unfrustrated,1.2,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_vm04_chi200_raw,4.055503177838055e-05,one_ladder,0.07956756245366338,0.30756491556148874,0.9264906109491579,8.542876865441603e-12,0.007073479580001875,0.007073479580001875,7.367152792864405e-09,7.367152792864411e-09,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t012_vm04_chi200_raw/diagnostics.h5,00ad944c4d3496ae144b54f24b46022186271f631e18a83a3ea270eb06e78888,3cc095fb798b84365159f2c82f2ec6b79b82832a60b2bd770f5e6b6fb401ace7
backfill_27,cubic_unfrustrated,1.2,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_vm02_chi200_raw,7.274907722150739e-06,one_ladder,0.08129009970493582,0.3151401664236153,0.9251200766408862,2.321734560467139e-11,0.005981985992118141,0.005981985992118141,1.2027367449369672e-09,1.2027367449368772e-09,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t012_vm02_chi200_raw/diagnostics.h5,9b61313058d411690b66576c5e0783b536fa75319928c09987e2df726e487597,c4099d897f5fd54ce18bbfa17b212774d22e67ee9fec7ba8ac9d284b01cba402
