id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,pair_uniform,pair_uniform_weight_fraction,state_group,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,charge_short_connected_abs,charge_short_connected_signed,charge_long_connected_abs,charge_long_connected_signed,charge_stripe_q_connected,charge_stripe_q_contact,charge_stripe_q_offsite,spin_short_connected_abs,spin_short_connected_signed,spin_long_connected_abs,spin_long_connected_signed,spin_stripe_q_connected,spin_stripe_q_contact,spin_stripe_q_offsite,diagnostic,diagnostic_sha256,source_sha256
backfill_3,square,1.0,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm04_chi200_raw,0.00034828288086929753,one_ladder,0.0531757071406601,0.2545538892184178,0.9347956358200645,4.0627974622355953e-10,1.1326376236572677e-10,0.07771979074272607,stripe,0.006309959411408169,0.006309959411408169,1.0411316305430032e-06,1.0411316305430079e-06,0.0021274309856211915,-0.002110799616986209,5.522139821723732e-07,-5.522139821723732e-07,0.027330039843220476,0.05514298853414188,-0.027812948690921404,0.008391334401209427,0.004341615936949874,1.1531359430149553e-06,-1.3922300315832543e-07,0.21223689019231443,0.09717351532199758,0.11506337487031684,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_vm04_chi200_raw/diagnostics.h5,23ca2e2e2dd2bd5b7d223db377c8490c2c7f84deaa8e0d99028c77d1d7c1bafa,f3e6b660c55215ca5b7e7b83fe6da9364f172522f47b43fb92e9129766968ba3
backfill_4,square,1.0,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm04_chi200_raw,0.00033243394149019053,one_ladder,0.05213502837092308,0.26104761746680416,0.9392671069103642,8.637935298041376e-08,2.9173172527141255e-08,0.11406369273037467,stripe,0.005885302101300189,0.0058853021012991455,8.841761041037146e-07,8.841761042826454e-07,0.0019281474880641547,-0.001910631564824356,4.594404247337725e-07,-4.594404247337725e-07,0.026374149858691447,0.05345552615769447,-0.027081376299003024,0.007935283035603886,0.004115187882544483,9.043715875725868e-07,-7.222004595402308e-08,0.2066907189788928,0.09584311258946195,0.11084760638943085,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_vm04_chi200_raw/diagnostics.h5,17789043d5003dca7b905a4211b3e8df2622ae9eb6c44ddde24f65d60d067d59,d1b962e15d313a57b58102f0e84400c98edff533885d9d2140befea2be2b72b1
backfill_5,square,1.0,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm02_chi200_raw,6.0156213213480066e-05,one_ladder,0.05468808421511347,0.25507378665776015,0.9291905046687808,9.167455359875356e-09,3.5864589975990513e-09,0.15305028140550542,stripe,0.005853559493927908,0.005853559493927847,4.19874969614079e-07,4.1987496961847343e-07,0.002327849321048046,-0.00232256523344728,6.736319535960213e-07,-6.736319535960213e-07,0.026639197092059985,0.057351550373294424,-0.03071235328123444,0.008191185462232119,0.004342362666060975,1.5567224941116287e-06,-2.6416829358855255e-07,0.2060186144888979,0.09427597999356511,0.1117426344953328,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_vm02_chi200_raw/diagnostics.h5,6f2160ccb3fa4ba8589a549743321f0497fe77acbcea664a31857d9cac2855b6,99e0d6b8e413aad770ee01b551bdee77401343b5015673e8bea5a568892ee710
backfill_6,square,1.0,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm02_chi200_raw,4.698762382743466e-05,one_ladder,0.054759136655766365,0.25574499930495587,0.9296340285991179,1.504948255171489e-08,6.624565984765043e-09,0.19376339041247384,stripe,0.005802480454505592,0.005802480454505501,4.0588495890293873e-07,4.058849589003041e-07,0.002297635747914295,-0.002291729491911055,6.470016754975977e-07,-6.470016754975977e-07,0.02652908397683151,0.0571783335710139,-0.03064924959418239,0.008130363680420001,0.0043129525771687304,1.5008499138831077e-06,-2.485833116922572e-07,0.2053572940580161,0.09414213727640015,0.11121515678161593,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_vm02_chi200_raw/diagnostics.h5,3117b9d104431d5450cefe543a3de251988eede30a54637ce2dd2dba4cb87d25,48b59eaa180a18ea547d5cb38584afac04709f72e77b7d231feab660588c0f52
backfill_7,square,1.0,0.0,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_v000_chi200_raw,6.08744383791903e-05,one_ladder,0.05563088056201811,0.2618196179421099,0.9277596256645416,1.4611171280221676e-09,3.507807629946797e-10,0.057637013990019005,stripe,0.005138808467047604,0.005138808467047603,1.396088401052775e-07,1.3960884010531483e-07,0.0023256162661193804,-0.0023253183216192038,6.513207864334529e-07,-6.513207864334529e-07,0.02521949855123078,0.05798677296343774,-0.03276727441220696,0.007573162221196044,0.0041221230088135,1.522380128059142e-06,-2.7511180430484796e-07,0.1948239479910109,0.09028991197116347,0.10453403601984744,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_v000_chi200_raw/diagnostics.h5,5482d4c4fac80658b10e0c210d8834172e24d6eaf1322733248fb6d7488a05bb,33018eda464eb220e8b95b08f993bf10fc1ec119ea03b465636a154fd495f81c
backfill_8,square,1.0,0.0,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_v000_chi200_raw,4.799859866870147e-05,one_ladder,0.05565021988988003,0.26154068276437353,0.92758541855271,6.744270489861616e-09,2.1072262345330667e-09,0.09762304931006623,stripe,0.00515454580231748,0.005154545802317465,1.400862569286292e-07,1.4008625692854433e-07,0.002334126903408192,-0.0023338751488128323,6.63382601441333e-07,-6.63382601441333e-07,0.02524255874657319,0.05804988598654933,-0.03280732723997614,0.007592576874366727,0.004132002862701659,1.5496431992015446e-06,-2.800361902962471e-07,0.19506246651993267,0.09034881574276303,0.10471365077716964,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_v000_chi200_raw/diagnostics.h5,8b8bf28e6e1c53c4699f2308b203b754cddd747f954a3ad8ab37a778e8d2b9bc,36e1c71f0e70f5f0f17da919dc0eb935c47da71c4734ecd5f560dacb00e4d04a
backfill_9,square,1.2,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm04_chi200_raw,8.179686185841013e-05,one_ladder,0.04216872303258338,0.185285607929093,0.9397414873248531,3.6811634735607277e-07,1.992582709939519e-07,0.2929965501983436,stripe,0.012226663905603272,0.012226663905518426,0.00010965945676091394,0.0001096594567428936,0.0018395596356349587,-0.0017711100100742106,3.407611582095507e-06,-3.4035614621492973e-06,0.034798482637323686,0.0515910930375175,-0.016792610400193815,0.011307292491707057,0.005448003144648373,3.7038347809005086e-06,-6.916470307134393e-07,0.27959809869025115,0.13615345221913386,0.1434446464711173,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_vm04_chi200_raw/diagnostics.h5,46a364db5c509d86387a0e3ab22233dbbed09c6eb062a0c20c6fe78de104c7cd,3a7517a78e398ce7aff87c4c4e34d2813100b80ded04c1da2490a97df39dcb3f
backfill_10,square,1.2,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm04_chi200_raw,0.00014567703055642011,one_ladder,0.042224452719565576,0.18397893445187533,0.9389760241996733,3.277761823218367e-06,3.1772444180136023e-06,0.9396074802065156,stripe,0.012367749654503319,0.012367749643817186,0.00011257384742223829,0.00011257383720657682,0.0018711065143870048,-0.0018011548910251592,3.7274594589021375e-06,-3.7274594589021375e-06,0.03504804123078021,0.05189811976320239,-0.01685007853242218,0.011355391520929587,0.005473031261904136,4.095408100622068e-06,-7.699892080675683e-07,0.2802628802163486,0.13633449868428768,0.14392838153206092,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_vm04_chi200_raw/diagnostics.h5,2580f300897b86e26fd2092cbf7bf068553a1b4fe5b7393c8e75bf15dc7463bc,ff38cea3ce77a4d34db98ff9550de422467a191595b9bfc142ed41ee57bb4052
backfill_11,square,1.2,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm02_chi200_raw,7.687758204106198e-05,one_ladder,0.048295021708255136,0.20210549624820603,0.9311504027922949,1.3055482347893157e-09,6.875683191402719e-10,0.27736130463583775,stripe,0.010901843446260408,0.010901843446260408,3.224999404963796e-05,3.2249994049637786e-05,0.0022396650589417096,-0.002186097747659159,2.765023664089679e-06,-2.7331153231680356e-06,0.032791056228903874,0.05473184885834892,-0.021940792629445045,0.01009067893832779,0.0050620271375299885,3.94291955947491e-06,-8.132751730053093e-07,0.2544298159465594,0.125988015430016,0.1284418005165434,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_vm02_chi200_raw/diagnostics.h5,8cc05f5d9494cc59781f3702e27da74ac644c66714ca73e3b21054488d645ffc,09879e9b48727e0b3236492c1db73d9ac34cc69247c8756e224dca839f82766c
backfill_12,square,1.2,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm02_chi200_raw,4.369901561225521e-05,one_ladder,0.048309916823279425,0.2022447391002995,0.9312596012642674,2.888132406791859e-08,1.1585534538824438e-08,0.160915527505455,stripe,0.010878534458005684,0.010878534458005424,3.173800780835922e-05,3.173800780832173e-05,0.0022306047140262866,-0.002177326723103313,2.7216846629899445e-06,-2.68937774611894e-06,0.03275798922378978,0.05468871827637836,-0.021930729052588582,0.010082072295953965,0.005057759807483393,3.893248429928991e-06,-8.015980689043348e-07,0.25434465883169605,0.12597499686999458,0.12836966196170146,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_vm02_chi200_raw/diagnostics.h5,21db952b410030cc2c36f1ff1e73f281208bac3247ea55f49ef409dc53d9e85a,9b6b07dabf7d4228cc763e8507d4be9af3388daa628914ee1fb640cec548a414
