family,rung,holes,staggered_sz,pair_rung,pair_leg_to_next
stripe_weak_other,1,0.0014978166055377162,-0.310029237611268,-0.0011550437262389892,0.0012882640839945282
stripe_weak_other,2,0.00338860241570349,-0.3150939304209146,-0.0020981612185873647,0.0015227438162686742
stripe_weak_other,3,0.007759121754103093,-0.32278011816494523,-0.0023648708952077103,0.0016312974839967683
stripe_weak_other,4,0.01642080810975477,-0.31976569354627227,-0.0025692664520249983,0.0017652314317365184
stripe_weak_other,5,0.03208765455658513,-0.3028105409434124,-0.0027070939035001925,0.0018123681906712574
stripe_weak_other,6,0.05729718263754413,-0.2707461136142183,-0.002727250637201985,0.0017981790851251574
stripe_weak_other,7,0.09069961915994207,-0.2195053648832947,-0.002693999771345981,0.001766819565619654
stripe_weak_other,8,0.12512055581434478,-0.14755581878849186,-0.0026419612794753005,0.0017299422506027147
stripe_weak_other,9,0.14872860959749368,-0.05887827503282671,-0.0025908918720661317,0.0016997542258723635
stripe_weak_other,10,0.15126223527934424,0.03734021661117899,-0.002554950430886262,0.0016820124530023404
stripe_weak_other,11,0.1314398752007544,0.12885028754794275,-0.002541386192866311,0.0016824427203680418
stripe_weak_other,12,0.09819943168452872,0.20502362412739694,-0.002549847764713615,0.0016935897130568173
stripe_weak_other,13,0.0638133741971666,0.2611467550785412,-0.0025739595350209176,0.0017116187840603397
stripe_weak_other,14,0.036856111011840165,0.2978136729537223,-0.0026003365263400245,0.0017333307296754212
stripe_weak_other,15,0.01993056672763749,0.3187693396820081,-0.0026335623517266837,0.0017525395574162685
stripe_weak_other,16,0.011605970856009895,0.32865016435489414,-0.002661116169640967,0.001770213156759552
stripe_weak_other,17,0.009761111157402191,0.3308415046602993,-0.0026878427750027306,0.0017796575797401097
stripe_weak_other,18,0.01372509120615395,0.326226551662122,-0.0026964516064105033,0.0017873892109995446
stripe_weak_other,19,0.024786693994982123,0.31297113839647883,-0.0027037007296191705,0.0017922536808673668
stripe_weak_other,20,0.04513783475776734,0.2871222222720893,-0.0027076784835189274,0.001791676905900478
stripe_weak_other,21,0.07519531956357683,0.2440257161919984,-0.002703730220370279,0.0017898932954473093
stripe_weak_other,22,0.11031644027374043,0.18080642283850587,-0.0027014634431102866,0.0017867797063358141
stripe_weak_other,23,0.1401466263516724,0.09847349286263747,-0.0026982861539297954,0.0017849070749815187
stripe_weak_other,24,0.15263353993700735,0.004023909619281382,-0.0026953227506836784,0.0017835992091155028
stripe_weak_other,25,0.14196307343103842,-0.0909299005419295,-0.0026950969004567492,0.0017834782936776462
stripe_weak_other,26,0.11314568990392304,-0.174588539909996,-0.0026950810633888586,0.001783868833426355
stripe_weak_other,27,0.07802813680903076,-0.23948083354676586,-0.0026968270280107454,0.0017825483882114085
stripe_weak_other,28,0.04731472309133056,-0.2841979811042141,-0.0026971837340909926,0.001781581569493092
stripe_weak_other,29,0.026061518374837278,-0.31146138228064857,-0.0026944004806513967,0.0017834507100784806
stripe_weak_other,30,0.014081374747822673,-0.32591523459680305,-0.0026945286121782654,0.001785658317787194
stripe_weak_other,31,0.008969798665263706,-0.33194428577236496,-0.0026960589936422673,0.0017851966650877492
stripe_weak_other,32,0.008885654002798615,-0.3320434777455705,-0.002689541200426592,0.001785500723857334
stripe_weak_other,33,0.013795012834689202,-0.32622576940518977,-0.0026998627915488433,0.0017860621053007676
stripe_weak_other,34,0.02547335156669117,-0.31215041090134354,-0.002699549790340419,0.0017853842280301764
stripe_weak_other,35,0.04634773969850725,-0.2854418263938382,-0.002696868384790805,0.0017846765384845927
stripe_weak_other,36,0.07674510906295429,-0.24140362363087006,-0.0026918801904297126,0.001780649932131377
stripe_weak_other,37,0.11182322645091658,-0.1772458432863605,-0.0026882275384892632,0.0017801230514278526
stripe_weak_other,38,0.14105453096956588,-0.09418138319239112,-0.0026849602401723006,0.001777407528484537
stripe_weak_other,39,0.15248682817327652,0.0004931724277566635,-0.002684383861813248,0.0017793572667552464
stripe_weak_other,40,0.14081536095420533,0.09513467101249004,-0.0026855109446048075,0.0017785606362512691
stripe_weak_other,41,0.11149546755772466,0.17797799411393464,-0.0026885193784753946,0.0017834992643174564
stripe_weak_other,42,0.07642497667640424,0.2419122950870493,-0.0026969787181468684,0.001786668951706045
stripe_weak_other,43,0.046133960530002405,0.28571553552057416,-0.002700668552135449,0.001787625791220192
stripe_weak_other,44,0.025313241256679442,0.31237692078166757,-0.002699625191622615,0.001790362492844647
stripe_weak_other,45,0.013518837646812831,0.3266443458056249,-0.0026992916876977064,0.0017895672894801531
stripe_weak_other,46,0.008152082319072607,0.33304579445841487,-0.0026994850064951054,0.0017850944057610561
