rung,density,holes,staggered_sz_leg_odd,pair_rung,pair_leg_to_next
1,1.0000328023527794,-3.280235277935972e-05,0.2477650788786898,0.001281950529748147,-0.0014916872553365629
2,0.9939431162164969,0.006056883783503109,0.28849248675907946,0.003439730072048602,-0.0026450853332634495
3,0.9868997812250742,0.013100218774925843,0.2961094561292152,0.006438831250711652,-0.005002538646437422
4,0.971919650103177,0.028080349896822954,0.28905290709497544,0.011633407747959342,-0.008776320457199616
5,0.9489433799828685,0.051056620017131515,0.26156604071106837,0.019013014613261225,-0.013849877704288334
6,0.9199356972167165,0.08006430278328347,0.21001917471928416,0.028707072814413537,-0.020338242538627
7,0.8921279729032936,0.1078720270967064,0.13103604071615035,0.03881022652751644,-0.025860550335987095
8,0.8768984539770663,0.12310154602293366,0.02933828008615423,0.044625036583735206,-0.02720085019781439
9,0.8818820860500719,0.1181179139499281,-0.07829939583931445,0.04261006777975125,-0.023491462247530903
10,0.9043487450933192,0.0956512549066808,-0.17079416556252297,0.03412750651622787,-0.01716467921796894
11,0.9335193450194491,0.06648065498055089,-0.23685058798570902,0.02401795372378827,-0.011452513731550908
12,0.9586848530258876,0.04131514697411243,-0.2770255930726575,0.01617013347071567,-0.007797944610430162
13,0.9740239896782205,0.02597601032177954,-0.29711690076410585,0.011794045152780977,-0.00625443606735179
14,0.977436341401348,0.022563658598651948,-0.301268414464512,0.010890877691081588,-0.006728945392129192
15,0.9685383798010334,0.03146162019896659,-0.2902087805573438,0.013411654284046837,-0.009244947279748223
16,0.9483491502592332,0.051650849740766835,-0.2617350829898097,0.019443512791988055,-0.013916953530820581
17,0.9203475605338305,0.07965243946616951,-0.21052309652454376,0.028636629396257836,-0.0202199947325193
18,0.8927283380157881,0.1072716619842119,-0.13212356636182954,0.038627878813451075,-0.025789805324504412
19,0.8771904249323801,0.12280957506761991,-0.031036547020671768,0.044625099287115055,-0.02729714028696873
20,0.8816423767773833,0.11835762322261667,0.07615894271282336,0.04287200899782523,-0.02373167820426163
21,0.9037162052208598,0.09628379477914017,0.16889571257694394,0.034534534978636774,-0.017430683159421895
22,0.9328438314261129,0.06715616857388707,0.23556751130158424,0.024398962882728966,-0.01165257489331249
23,0.9582285209076788,0.04177147909232115,0.2763966878062978,0.016409230756974477,-0.007894858090898571
24,0.9739433952681719,0.026056604731828137,0.29703422654070305,0.011844645860371818,-0.006223209969915408
25,0.9778242115964191,0.02217578840358092,0.30177146476254696,0.010706510206740457,-0.006552283235752963
26,0.969451925931416,0.030548074068583952,0.29153496528544576,0.012945708666314549,-0.008869307089209308
27,0.9496942735521544,0.05030572644784559,0.2642638153401447,0.018608658167540447,-0.013295357302933034
28,0.9217857416838537,0.07821425831614626,0.21471349414997754,0.027434442296677485,-0.01941412966942519
29,0.8935673769466945,0.10643262305330548,0.13833891747280125,0.03725913009280275,-0.02498915288167244
30,0.8766363941846108,0.12336360581538919,0.038790888946196506,0.043522515144003016,-0.026810720865133062
31,0.8794637561854237,0.12053624381457628,-0.06818030525902567,0.042375049493103334,-0.023639766836758436
32,0.9005239201273241,0.09947607987267593,-0.16223844119232503,0.03458943342183719,-0.01758781114989156
33,0.9297373487341224,0.07026265126587761,-0.2310671364983301,0.024668548897616355,-0.011810653469645827
34,0.9563064602167197,0.04369353978328028,-0.2743670431985388,0.016518919501684326,-0.00785234274136832
35,0.9742650096713066,0.02573499032869342,-0.2979446966940542,0.011441640453751189,-0.00576857745835177
36,0.9816542887133254,0.018345711286674615,-0.30672947727888783,0.009370486402433015,-0.0053998897599916796
37,0.9780703879791226,0.021929612020877398,-0.30256078419829313,0.010169160699683748,-0.006712157693230664
38,0.9636507508726992,0.03634924912730075,-0.28465607668008497,0.013861237459644231,-0.0097936970511159
39,0.9395128772094954,0.06048712279050461,-0.24923707937420989,0.020580938362370137,-0.014734425470263275
40,0.9098553476858395,0.09014465231416047,-0.190293505590478,0.029685253548776852,-0.020671750129922832
41,0.8840094654816868,0.1159905345183132,-0.10529256644124999,0.03831486371098884,-0.024998313284878546
42,0.8732699733830825,0.12673002661691746,-0.001928482218789912,0.042008082251264754,-0.025024669261436035
43,0.883031630376842,0.11696836962315804,0.10169273629631426,0.038428571683967225,-0.020774921909154198
44,0.9082862649809847,0.09171373501901525,0.18728582901248708,0.02987449924479114,-0.014854373001979424
45,0.9379822660083139,0.062017733991686086,0.2473349913458771,0.020728423987217526,-0.009839747989580646
46,0.9630296286151472,0.03697037138485282,0.28443574464371424,0.01373893464593007,-0.006508798950835658
47,0.9796877020647772,0.020312297935222823,0.3050904243718585,0.009359857744482935,-0.0046349387022471406
48,0.9876532032036313,0.012346796796368742,0.3141861113869733,0.007257549040080704,-0.004003268181135517
49,0.9874898173877916,0.012510182612208376,0.31400191867080235,0.007200836628094722,-0.004575099507748284
50,0.9791766763555884,0.02082332364441164,0.30452223684127555,0.009206229086085253,-0.006372553450693273
51,0.9621368723729914,0.03786312762700861,0.28341939061508786,0.013430640437210612,-0.0095985650849893
52,0.9367020386637241,0.06329796133627585,0.24573587521916151,0.020173539018687858,-0.014437429770934481
