campaign,family,t0,V,segment_iteration,cumulative_iteration,corrected_energy_per_site,spin_rms,pair_rms
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,44,44,-1.0452511649332554,0.3415376977538477,8.232841183231424e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,45,45,-1.0452511627361893,0.3415377529080884,5.003797745697441e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,46,46,-1.0452511632537744,0.3415378079006533,4.195778143812441e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,47,47,-1.0452511660275075,0.34153784525069925,6.392664216549708e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,48,48,-1.045251162607497,0.34153790352715374,1.5074334297586943e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,49,49,-1.045251163792989,0.3415379538332686,6.339095237061862e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,50,50,-1.0452511635707566,0.3415380066318673,3.403418553650622e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,51,51,-1.0452511631602541,0.34153806247793744,1.3461151336601098e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,52,52,-1.0452511635114408,0.34153811045077215,1.6914609831048438e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,53,53,-1.0452511643944742,0.3415381631410508,1.992106426226186e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,54,54,-1.0452511644551026,0.34153820829760173,7.270980534816902e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,55,55,-1.0452511619247116,0.34153826831854855,2.0064800570693018e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,56,56,-1.0452511638320297,0.34153832000994866,2.255839194656157e-12
