stored_iteration,plotted_iteration,update_mode,spin_applied_bulk_rms,spin_measured_bulk_rms,pairing_measured_bulk_rms,spin_projection_gain,spin_input_output_cosine,spin_channel_relative_residual,middle_sdw_measured,density_error,corrected_energy_per_site,global_relative_residual
1,2,initial,0.00047091006707018936,0.0005399162439365176,0.0033863067190871986,1.1460546361876354,0.9940426089662538,0.16711561604333938,0.0014930633694875254,0.0005063977334415215,-0.6639666111012382,0.9971088498177172
2,3,unmixed_probe,0.0005399162439365176,0.0005512894386385677,0.004309175627597649,1.0457651436652473,0.9980309177085808,0.07643229773723646,0.001475861425724154,0.00028815647258351174,-0.6606775201397651,0.0738391205865583
3,4,unmixed_probe,0.0005512894386385677,0.0005666506987191545,0.004461419504749916,1.054092833354247,0.9985806740996676,0.07390938363243643,0.0014723542598881149,0.0005609509403453616,-0.660861595253351,0.01073546787976788
4,5,unmixed_probe,0.0005666506987191545,0.000581461549952697,0.004488380204330299,1.055537965711789,0.9986322363921837,0.0741249624543984,0.0014617921111474159,0.0005124954240045554,-0.6608608695305922,0.003515724469831728
5,6,unmixed_probe,0.000581461549952697,0.0005990689236533676,0.004491893981536467,1.0614394080466603,0.998738290611726,0.07657565784268994,0.0014533160645038012,0.000517151175201902,-0.660863785135969,0.002625089406181711
6,7,unmixed_probe,0.0005990689236533676,0.0006193606981737342,0.0044925587823489484,1.06648646007366,0.9988307923902411,0.07883171289632106,0.0014445498867364471,0.0005149926347502998,-0.6608638590447987,0.00282415304983262
7,8,unmixed_probe,0.0006193606981737342,0.0006428778788374846,0.00449246498183521,1.0713860516904712,0.9989366541616622,0.08096685470645808,0.001436252653420918,0.0005122849967329479,-0.6608639420800835,0.0031073725209026268
8,9,unmixed_probe,0.0006428778788374846,0.0006699892301555664,0.004492346118392889,1.0757884508951816,0.9990490639260939,0.08279266245657455,0.0014279938806380944,0.0005093804918876454,-0.6608639428115299,0.003420505099938023
9,10,unmixed_probe,0.0006699892301555664,0.0007011834376302675,0.004492222885648449,1.0797618347549762,0.9991643014276618,0.0843702289338949,0.001420322382552886,0.0005054110592765948,-0.6608639328349499,0.0037664778017036504
10,11,unmixed_probe,0.0007011834376302675,0.0007369010467786906,0.0044920431399218365,1.0832249319455964,0.9992754583326838,0.08569109852488802,0.0014131047674518305,0.000500785970421469,-0.6608639370956154,0.004146192651409805
11,12,unmixed_probe,0.0007369010467786906,0.0007776213785515984,0.00449183628995992,1.0862100531992123,0.9993779444978346,0.08680512681608096,0.001406118648758412,0.000495194835066104,-0.6608639364905127,0.004564308978181564
12,13,unmixed_probe,0.0007776213785515984,0.0008238584645820749,0.004491600968767226,1.0887348977482596,0.9994715253332215,0.08770604651500327,0.0013994418751307946,0.0004883091376118864,-0.6608639301514934,0.005022497908073265
13,14,unmixed_probe,0.0008238584645820749,0.0008761445991903666,0.00449126900991848,1.0908119058631969,0.9995544849526009,0.08840529902822908,0.0013928741903045895,0.00048025024120812443,-0.6608639538715315,0.005523386186026325
14,15,unmixed_probe,0.0008761445991903666,0.0009350627501593321,0.004490879039713743,1.0925350500608135,0.999627576027631,0.08895528743921637,0.0013866355942777605,0.00047021911574318676,-0.660863955956246,0.00607243189715712
15,16,unmixed_probe,0.0009350627501593321,0.0010012579988980326,0.0044903693701640966,1.0939001651825861,0.9996902777409484,0.08934906393981834,0.0013807250846961869,0.00045845260572840996,-0.6608639820425493,0.0066715508035938365
16,17,unmixed_probe,0.0010012579988980326,0.001075549212299284,0.004489779990999671,1.0949954713557999,0.9997456513704351,0.08961639403329115,0.0013752522461940942,0.00044354860109319105,-0.6608639841260848,0.007325747948843445
17,18,unmixed_probe,0.001075549212299284,0.0011586221259226154,0.004489085458048231,1.0957963787844063,0.9997917245957113,0.08975453928236299,0.001370211475378331,0.00042587188268849996,-0.6608640054083156,0.008037175548518809
18,19,unmixed_probe,0.0011586221259226154,0.0012512721210233202,0.004488256830814761,1.0963384333377462,0.9998303785888649,0.08976770379282895,0.0013657226582710954,0.0004043889633322806,-0.6608640280895355,0.008808379088417553
19,20,unmixed_probe,0.0012512721210233202,0.0013543780775782442,0.004487304478755269,1.0966409821485557,0.9998627847827948,0.08965609350354561,0.0013619906562104163,0.00037813066927216976,-0.6608640410505866,0.009641155746022438
20,21,unmixed_probe,0.0013543780775782442,0.0014688415413256167,0.004486116223234805,1.0967105687842595,0.9998892743942834,0.08941953073279695,0.0013588065385717702,0.0003468925804865908,-0.6608640852069362,0.010536640354673544
21,22,unmixed_probe,0.0014688415413256167,0.0015956969255728063,0.004484729969086575,1.0965516756392888,0.999911033027088,0.0890471637468132,0.0013564234586989814,0.00030914707182660983,-0.6608641131933569,0.011493504782635153
22,23,linear,0.0015321745529236822,0.0016657450784934443,0.004483879574556232,1.0963912782129144,0.999920482872287,0.08880975717997369,0.0013556384498764886,0.00028747473760581954,-0.6608641546577853,0.012006196085170454
23,24,anderson,0.00039609993035826804,0.0003881994505845,0.004495478570463504,1.0060461127401947,0.9985393711016217,0.0543611658055922,0.0013666277116426801,0.00048019210365124465,-0.660863882949315,0.0046516373853978865
24,25,anderson,0.0003950685880741313,0.0003872332534458565,0.004495323845837464,1.0036049108535468,0.9986372603258369,0.052311464711831096,0.0013650505722083619,0.00048639304494657587,-0.6608639583628549,0.004151380779183033
25,26,anderson,0.0003911420060921743,0.0003845736654136113,0.004494452272229467,0.9918289822655537,0.9993208043626813,0.037475475329408446,0.0013539763440418495,0.0005118252487621433,-0.6608640703542282,0.0018425065211997251
