t0_label,t0,V,log10_dwave_to_sdw,dominant_order,corr_dwave,corr_sdw
1.2,1.2,-0.4,3.040002143626842,d-wave dominant,0.09128605255278605,8.325345748070395e-05
1.4,1.4,-0.4,3.5034220254397637,d-wave dominant,0.1106972767066826,3.4730808938753556e-05
1.6,1.6,-0.4,3.6410847828648665,d-wave dominant,0.12131287483616339,2.772184277619039e-05
1.2,1.2,-0.2,2.599583893619099,d-wave dominant,0.08644480957471029,0.00021734768876204136
1.4,1.4,-0.2,3.230015657526494,d-wave dominant,0.10743247168166525,6.325864763780255e-05
1.6,1.6,-0.2,2.166771966846722,d-wave dominant,0.12544723781161424,0.0008544548825777725
0.8,0.8,0.0,-5.771475022571317,SDW dominant,1.2770198036013038e-06,0.7545238895700161
1.0,1.0,0.0,-2.2369257483166556,SDW dominant,0.002066793958436342,0.3566341537660594
1.2,1.2,0.0,2.3845415537339765,d-wave dominant,0.08158778372417941,0.00033657633802469536
1.4,1.4,0.0,2.9354036129251955,d-wave dominant,0.10669973446231437,0.0001238111399370639
