id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spin_rms,short_raw_mean,short_raw_abs,short_connected_mean,short_connected_abs,long_raw_mean,long_raw_abs,long_connected_mean,long_connected_abs,rung_anomalous_rms,leg0_mean_2_8,leg0_negative_fraction_2_8,leg1_mean_2_8,leg1_negative_fraction_2_8,rung_leg0_mean_2_8,rung_leg0_negative_fraction_2_8,rung_leg1_mean_2_8,rung_leg1_negative_fraction_2_8
backfill_1,square,1.4,-0.4,200,False,maximum_iterations,80,,square__stripe_weak_other_t014_vm04_chi200_raw,2.2854337627421784e-07,4.84051170331831e-07,0.02318890458585962,0.02318890458585962,0.011816318662429642,0.011816318662429642,0.011660888606997308,0.011660888606997308,0.0003036075135236697,0.0003036075135236697,0.10639077329873514,0.0034945320769378687,0.0,0.0034949809617736624,0.0,-0.005979259779867177,1.0,-0.005988836687865218,1.0
backfill_2,square,1.4,-0.4,200,False,maximum_iterations,80,,square__pairing_weak_other_t014_vm04_chi200_raw,4.0769982992872636e-07,3.111948076772536e-07,0.023188374014131926,0.023188374014131926,0.011815947097374982,0.011815947097374982,0.011660748960442844,0.011660748960442844,0.00030361322927313427,0.00030361322927313427,0.10639004259443137,0.003494426150459243,0.0,0.0034948717140432083,0.0,-0.005979108334467995,1.0,-0.005988681708689052,1.0
backfill_3,square,1.0,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm04_chi200_raw,0.00034828288086929753,0.24690303980523942,0.006309959411408169,0.006309959411408169,0.006309959411408169,0.006309959411408169,1.0411316305430032e-06,1.0411316305430032e-06,1.0411316305430079e-06,1.0411316305430079e-06,4.0627974622355953e-10,7.756271014570704e-05,0.1899159663865546,7.65068175475615e-05,0.1865546218487395,-0.0023455095765646376,1.0,-0.002368120832809833,1.0
backfill_4,square,1.0,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm04_chi200_raw,0.00033243394149019053,0.249779584763969,0.005885302101300189,0.005885302101300189,0.0058853021012991455,0.0058853021012991455,8.841761041037146e-07,8.841761041037146e-07,8.841761042826454e-07,8.841761042826454e-07,8.637935298041376e-08,5.819026452151574e-05,0.18319327731092436,5.760658740951617e-05,0.18319327731092436,-0.002207710996427767,1.0,-0.0022291265601837532,1.0
backfill_5,square,1.0,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm02_chi200_raw,6.0156213213480066e-05,0.25279138657074207,0.005853559493927908,0.005853559493927908,0.005853559493927847,0.005853559493927847,4.19874969614079e-07,4.19874969614079e-07,4.1987496961847343e-07,4.1987496961847343e-07,9.167455359875356e-09,-0.00010315711904780444,0.2,-0.00010278316943185576,0.2,-0.002187283382852409,1.0,-0.0022113644470181304,0.9966386554621849
backfill_6,square,1.0,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm02_chi200_raw,4.698762382743466e-05,0.25292375388683347,0.005802480454505592,0.005802480454505592,0.005802480454505501,0.005802480454505501,4.0588495890293873e-07,4.0588495890293873e-07,4.058849589003041e-07,4.058849589003041e-07,1.504948255171489e-08,-0.00010582375159490978,0.20336134453781513,-0.00010485188356044667,0.20336134453781513,-0.002167935977253018,0.9983193277310924,-0.002192290533389167,0.9966386554621849
backfill_7,square,1.0,0.0,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_v000_chi200_raw,6.08744383791903e-05,0.2611730127828637,0.005138808467047604,0.005138808467047604,0.005138808467047603,0.005138808467047603,1.396088401052775e-07,1.396088401052775e-07,1.3960884010531483e-07,1.3960884010531483e-07,1.4611171280221676e-09,-0.00025726322192562353,0.21680672268907564,-0.00025812444791264,0.21680672268907564,-0.0019573888961999827,0.9647058823529412,-0.001980636395185129,0.9630252100840336
backfill_8,square,1.0,0.0,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_v000_chi200_raw,4.799859866870147e-05,0.26108177900782703,0.00515454580231748,0.00515454580231748,0.005154545802317465,0.005154545802317465,1.400862569286292e-07,1.400862569286292e-07,1.4008625692854433e-07,1.4008625692854433e-07,6.744270489861616e-09,-0.0002576543836932387,0.22016806722689075,-0.0002577438660721693,0.22016806722689075,-0.001962690205075656,0.9630252100840336,-0.0019852712014681653,0.9613445378151261
backfill_9,square,1.2,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm04_chi200_raw,8.179686185841013e-05,0.1761717171679434,0.012226663905603272,0.012226663905603272,0.012226663905518426,0.012226663905518426,0.00010965945676091394,0.00010965945676091394,0.0001096594567428936,0.0001096594567428936,3.6811634735607277e-07,0.0024371209260574483,0.020168067226890758,0.0024387979683934877,0.01680672268907563,-0.005466429756323778,1.0,-0.005494302799806325,1.0
backfill_10,square,1.2,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm04_chi200_raw,0.00014567703055642011,0.1751945548818715,0.012367749654503319,0.012367749654503319,0.012367749643817186,0.012367749643817186,0.00011257384742223829,0.00011257384742223829,0.00011257383720657682,0.00011257383720657682,3.277761823218367e-06,0.0024613281440383863,0.01680672268907563,0.002462199961205441,0.01680672268907563,-0.005516335893726192,1.0,-0.005545445152487978,1.0
