id,kind,channel,r,mean,mean_absolute,p10,p90
backfill_1,raw,rung,1,0.06054466667057312,0.06054466667057312,0.06031331685626411,0.060601354289886736
backfill_1,raw,rung,2,0.027022196130714153,0.027022196130714153,0.026317375882553673,0.02719272374777515
backfill_1,raw,rung,3,0.021892589679290295,0.021892589679290295,0.021256497884779946,0.022108372627767364
backfill_1,raw,rung,4,0.02050714912523033,0.02050714912523033,0.019835765970094454,0.020756752436968198
backfill_1,raw,rung,5,0.019397733598819588,0.019397733598819588,0.018808960999987526,0.019672413040328053
backfill_1,raw,rung,6,0.018125946963978363,0.018125946963978363,0.0175136240796558,0.018411868001721173
backfill_1,raw,rung,7,0.016895139937520613,0.016895139937520613,0.01628592184885066,0.01718375484051562
backfill_1,raw,rung,8,0.015795977141693306,0.015795977141693306,0.015240851777490029,0.016083623535999104
backfill_1,raw,rung,9,0.014858982253637257,0.014858982253637257,0.014331047559061236,0.01514407332985331
backfill_1,raw,rung,10,0.014090236500311382,0.014090236500311382,0.013567432146294982,0.014371262512171138
backfill_1,raw,rung,11,0.01347776275526631,0.01347776275526631,0.012965378739114639,0.013754334111519568
backfill_1,raw,rung,12,0.013000314353880679,0.013000314353880679,0.012502818007015566,0.013273080268387909
backfill_1,raw,rung,13,0.012633636600156713,0.012633636600156713,0.012154526952999293,0.012903823529703406
backfill_1,raw,rung,14,0.0123543067502251,0.0123543067502251,0.011895212668411651,0.012623250892786262
backfill_1,raw,rung,15,0.012141783547305302,0.012141783547305302,0.011700149961522629,0.012410480839081242
backfill_1,raw,rung,16,0.011979162950626312,0.011979162950626312,0.01155337940713654,0.01224843964165158
backfill_1,raw,rung,17,0.011853174877444849,0.011853174877444849,0.011442121265402734,0.012125874485374836
backfill_1,raw,rung,18,0.011753784602948547,0.011753784602948547,0.01135648464790936,0.012033244748553502
backfill_1,raw,rung,19,0.011673628365640664,0.011673628365640664,0.011289117059155746,0.01196370104861244
backfill_1,raw,rung,20,0.01160742425881848,0.01160742425881848,0.011234781504911345,0.011913640819571476
backfill_1,raw,rung,21,0.011551437834127301,0.011551437834127301,0.011189841325431722,0.011875373657442697
backfill_1,raw,rung,22,0.011503038970339639,0.011503038970339639,0.01115186970164687,0.011842434593303922
backfill_1,raw,rung,23,0.01146035842243625,0.01146035842243625,0.011119371434058143,0.011823425975244045
backfill_1,raw,rung,24,0.011422035753848427,0.011422035753848427,0.01109154427348773,0.011785255927820008
backfill_1,raw,rung,25,0.011387041910164382,0.011387041910164382,0.011068127506444696,0.011773960667515595
backfill_1,raw,rung,26,0.011354556779260961,0.011354556779260961,0.01104930825525712,0.011721661375925304
backfill_1,raw,rung,27,0.011323882609470792,0.011323882609470792,0.011035533442791463,0.011709239506844021
backfill_1,raw,rung,28,0.011294376764632031,0.011294376764632031,0.011024160815503562,0.011639478629084472
backfill_1,raw,rung,29,0.011265391292569094,0.011265391292569094,0.011014175075808789,0.011612013067391298
backfill_1,raw,rung,30,0.011236211972400274,0.011236211972400274,0.011007764070821211,0.011540008620600704
backfill_1,raw,rung,31,0.011205995940223963,0.011205995940223963,0.011004078053868946,0.011469637897094561
backfill_1,raw,rung,32,0.01117371472290183,0.01117371472290183,0.011002014791573261,0.011396496568690087
backfill_1,raw,leg0,1,0.051814709806950236,0.051814709806950236,0.05140338115068365,0.05202386668262581
backfill_1,raw,leg0,2,0.010127090148218337,0.010127090148218337,0.009837995449309933,0.010224793853710955
backfill_1,raw,leg0,3,0.009714480270249239,0.009714480270249239,0.009423240467704676,0.009829847026887882
backfill_1,raw,leg0,4,0.008732613512901987,0.008732613512901987,0.008486591160452348,0.008849929604681483
backfill_1,raw,leg0,5,0.008419899498239845,0.008419899498239845,0.008133325276223353,0.008545678295323208
backfill_1,raw,leg0,6,0.007854525146293275,0.007854525146293275,0.0076000504320828995,0.007980744284509083
backfill_1,raw,leg0,7,0.007324975906153554,0.007324975906153554,0.0070825801826168286,0.007451189678121351
backfill_1,raw,leg0,8,0.006858830726234597,0.006858830726234597,0.006601801425695029,0.00698554624995506
backfill_1,raw,leg0,9,0.006458035303011263,0.006458035303011263,0.00620734835964778,0.006582991560156998
backfill_1,raw,leg0,10,0.006131750963450117,0.006131750963450117,0.005890022302775209,0.0062546571203651
backfill_1,raw,leg0,11,0.005871707501726688,0.005871707501726688,0.00563693490657815,0.005993321262798186
backfill_1,raw,leg0,12,0.00566952750482916,0.00566952750482916,0.005443066931858614,0.0057900945737181814
backfill_1,raw,leg0,13,0.005514446037197741,0.005514446037197741,0.005297467843980842,0.0056339472048904955
backfill_1,raw,leg0,14,0.005396484378085174,0.005396484378085174,0.0051875634292119395,0.005515401288770979
backfill_1,raw,leg0,15,0.005306822873485298,0.005306822873485298,0.005104897244272135,0.005425544736868523
backfill_1,raw,leg0,16,0.005238231669638267,0.005238231669638267,0.005042693792611812,0.005357240739935492
backfill_1,raw,leg0,17,0.005185052787274488,0.005185052787274488,0.004995607525911458,0.005305135424712844
backfill_1,raw,leg0,18,0.005143022097460883,0.005143022097460883,0.004959549026761667,0.005264848371392062
backfill_1,raw,leg0,19,0.00510902627527907,0.00510902627527907,0.00493138032102051,0.005234103348702795
backfill_1,raw,leg0,20,0.005080843091666589,0.005080843091666589,0.004908855826941204,0.005213576156247481
backfill_1,raw,leg0,21,0.005056909310847713,0.005056909310847713,0.004890378211945176,0.005197650880224738
backfill_1,raw,leg0,22,0.005036128314685665,0.005036128314685665,0.0048748501923248375,0.005186836315990815
backfill_1,raw,leg0,23,0.005017722202593038,0.005017722202593038,0.0048615259314171546,0.005172183966541922
backfill_1,raw,leg0,24,0.005001123745322763,0.005001123745322763,0.004849919022877634,0.005166599588912075
backfill_1,raw,leg0,25,0.004985900425795397,0.004985900425795397,0.004839777696980512,0.005147880290258281
backfill_1,raw,leg0,26,0.004971701495793044,0.004971701495793044,0.004831042865456947,0.005143687696574212
backfill_1,raw,leg0,27,0.0049582194272961705,0.0049582194272961705,0.004823231139665071,0.005118522847554629
backfill_1,raw,leg0,28,0.00494515856163846,0.00494515856163846,0.004816948556509,0.005109941198482698
backfill_1,raw,leg0,29,0.004932205863642548,0.004932205863642548,0.004813362378907228,0.005083736023494152
backfill_1,raw,leg0,30,0.004919001382780408,0.004919001382780408,0.004812685919790457,0.0050583067271406205
backfill_1,raw,leg0,31,0.004905109292263271,0.004905109292263271,0.004814464967907959,0.005032056426455525
