id,excluded_edge_rungs,short_connected_abs,long_connected_abs,long_raw_abs
backfill_1,4,0.012300274833283983,0.00031765406626939075,0.011728881266463773
backfill_1,8,0.011816318662429642,0.0003036075135236697,0.011660888606997308
backfill_1,12,0.011595729470281927,0.00030860032102153674,0.011796235561451133
backfill_2,4,0.012299842313939784,0.0003176684750699024,0.011728750726130263
backfill_2,8,0.011815947097374982,0.00030361322927313427,0.011660748960442844
backfill_2,12,0.011595205936983558,0.0003086003772857767,0.011796072589982972
backfill_3,4,0.0073760621743749,1.0754568628458343e-06,1.0754568628458252e-06
backfill_3,8,0.006309959411408169,1.0411316305430079e-06,1.0411316305430032e-06
backfill_3,12,0.0059078874179916965,1.137338539792919e-06,1.1373385397929177e-06
backfill_4,4,0.007196174188942796,8.83093466682244e-07,8.830934665501896e-07
backfill_4,8,0.0058853021012991455,8.841761042826454e-07,8.841761041037146e-07
backfill_4,12,0.005862072733872338,1.059076698245236e-06,1.0590766979900646e-06
backfill_5,4,0.006397992883412145,4.533363059352112e-07,4.533363059319488e-07
backfill_5,8,0.005853559493927847,4.1987496961847343e-07,4.19874969614079e-07
backfill_5,12,0.005093214775279769,3.7518696922939026e-07,3.7518696922295445e-07
backfill_6,4,0.00639395550035046,4.3525017406482447e-07,4.3525017403028824e-07
backfill_6,8,0.005802480454505501,4.058849589003041e-07,4.0588495890293873e-07
backfill_6,12,0.005078275304503542,3.6565944242056143e-07,3.656594424162958e-07
backfill_7,4,0.005491233618704557,1.510341698671614e-07,1.510341698671497e-07
backfill_7,8,0.005138808467047603,1.3960884010531483e-07,1.396088401052775e-07
backfill_7,12,0.004387758671298224,1.15137719439797e-07,1.1513771943974532e-07
backfill_8,4,0.005495492430875422,1.495228533615348e-07,1.4952285336164374e-07
backfill_8,8,0.005154545802317465,1.4008625692854433e-07,1.400862569286292e-07
backfill_8,12,0.004389239055703013,1.124625490298113e-07,1.1246254902991589e-07
backfill_9,4,0.014420565928586582,0.0001226173587821252,0.00012261735880772268
