cut,t0,V,axis,lower,upper,lower_ep,upper_ep,weight,ep_signed,ep_denominator,tp2_over_ep,cubic_diagnostic_ep,cubic_vs_linear_coupling_fraction
t0_1p4,1.4,-0.15,V,-0.2,0.0,-0.2068002629740704,-0.14653773091916378,0.25000000000000006,-0.19173462996034374,0.19173462996034374,0.052155419196147766,-0.19149659197452146,0.0012430403244667598
t0_1p4,1.4,-0.1,V,-0.2,0.0,-0.2068002629740704,-0.14653773091916378,0.5,-0.17666899694661709,0.17666899694661709,0.05660302697604399,-0.17585217526379354,0.0046449336301825905
t0_1p4,1.4,-0.05,V,-0.2,0.0,-0.2068002629740704,-0.14653773091916378,0.7500000000000001,-0.16160336393289043,0.16160336393289043,0.061879900001046595,-0.16061616939447737,0.006146296117849115
V_m0p4,1.25,-0.4,t0,1.2,1.4,-0.25124588461187614,-0.24962435880865996,0.2500000000000003,-0.2508405031610721,0.2508405031610721,0.039865970104432075,-0.26021207236942745,-0.03601512075523683
V_m0p4,1.3,-0.4,t0,1.2,1.4,-0.25124588461187614,-0.24962435880865996,0.5000000000000006,-0.25043512171026805,0.25043512171026805,0.039930501487603416,-0.26357863328552256,-0.049865618511712784
V_m0p4,1.35,-0.4,t0,1.2,1.4,-0.25124588461187614,-0.24962435880865996,0.7500000000000009,-0.250029740259464,0.250029740259464,0.039995242124487566,-0.26037343841399035,-0.039726395355581534
