geometry	block	rank	eigenvalue_real	eigenvalue_imag	abs_eigenvalue	critical_tp	residual_norm	unstable	recurrence_character
cubic_frustrated	normal	1	-1.187909018699175	0	1.187909018699175	0.09175049378540545	1.008559634222176e-15	true	oscillatory
cubic_frustrated	normal	2	-1.146911455663119	0	1.146911455663119	0.09337595459433057	9.409157654158463e-16	true	oscillatory
cubic_frustrated	normal	3	-1.015439070678111	0	1.015439070678111	0.09923687167815459	1.591333044176074e-15	true	oscillatory
cubic_frustrated	normal	4	-0.986048212026437	0	0.986048212026437	0.1007049747795868	3.889174580280368e-16	false	subcritical
cubic_frustrated	normal	5	-0.5657772755669402	0	0.5657772755669402	0.1329466045592816	3.740601095588347e-16	false	subcritical
cubic_frustrated	normal	6	-0.366674526945803	0	0.366674526945803	0.165142794685081	3.587485161204897e-16	false	subcritical
cubic_frustrated	normal	7	-0.1158340477214435	0	0.1158340477214435	0.2938203580752249	3.197665357235252e-16	false	subcritical
cubic_frustrated	normal	8	-0.0132975765554867	0	0.0132975765554867	0.8671889800549053	2.247035591983512e-16	false	subcritical
cubic_frustrated	normal	9	-0.006144622156986103	0	0.006144622156986103	1.275711318456635	2.546623634839202e-16	false	subcritical
cubic_frustrated	pair	1	24.4730200100419	0	24.4730200100419	0.02021418413009626	8.750360656168091e-15	true	monotone
cubic_frustrated	pair	2	0.05332809216226256	0	0.05332809216226256	0.4330339799634458	3.044959084631939e-15	false	subcritical
cubic_frustrated	pair	3	0.01159935268945737	0	0.01159935268945737	0.928502597691524	4.484705944397082e-15	false	subcritical
cubic_unfrustrated	normal	1	3.563727056095904	0	3.563727056095904	0.05297217228529697	4.666041290327917e-15	true	monotone
cubic_unfrustrated	normal	2	3.046317212032699	0	3.046317212032699	0.05729443457693427	2.896442422427795e-15	true	monotone
cubic_unfrustrated	normal	3	2.958144636080004	0	2.958144636080004	0.05814204429772213	2.604853903345388e-15	true	monotone
cubic_unfrustrated	normal	4	-1.146911455661564	0	1.146911455661564	0.09337595459439388	2.773047726868475e-15	true	oscillatory
cubic_unfrustrated	normal	5	-0.5657772755658793	0	0.5657772755658793	0.1329466045594063	1.145031023541328e-15	false	subcritical
cubic_unfrustrated	normal	6	-0.3666745269275913	0	0.3666745269275913	0.1651427946891821	9.400868983482515e-16	false	subcritical
cubic_unfrustrated	normal	7	-0.1158340477214422	0	0.1158340477214422	0.2938203580752265	1.537484226107885e-19	false	subcritical
cubic_unfrustrated	normal	8	0.01843386647205776	0	0.01843386647205776	0.736532273097226	2.076503341175128e-16	false	subcritical
cubic_unfrustrated	normal	9	-0.01329757655540429	0	0.01329757655540429	0.8671889800575925	7.448896611475537e-16	false	subcritical
cubic_unfrustrated	pair	1	24.4730200100419	0	24.4730200100419	0.02021418413009626	8.750360656168091e-15	true	monotone
cubic_unfrustrated	pair	2	0.05332809216226256	0	0.05332809216226256	0.4330339799634458	3.044959084631939e-15	false	subcritical
cubic_unfrustrated	pair	3	0.01159935268945737	0	0.01159935268945737	0.928502597691524	4.304609806523543e-15	false	subcritical
square	normal	1	1.187909018698632	0	1.187909018698632	0.09175049378542642	8.772972493752441e-16	true	monotone
square	normal	2	1.015439070677566	0	1.015439070677566	0.0992368716781812	8.002990674602622e-16	true	monotone
square	normal	3	0.9860482120266683	0	0.9860482120266683	0.100704974779575	7.10032356192744e-16	false	subcritical
square	normal	4	-0.3823038185538549	0	0.3823038185538549	0.1617318975627347	7.200753378660507e-16	false	subcritical
square	normal	5	-0.188592425188626	0	0.188592425188626	0.2302702737906601	5.425563720531312e-16	false	subcritical
square	normal	6	-0.1222248423091973	0	0.1222248423091973	0.2860357109055789	2.656501485878379e-16	false	subcritical
square	normal	7	-0.0386113492404811	0	0.0386113492404811	0.5089117884843704	6.939251581978542e-18	false	subcritical
square	normal	8	0.006144622157353761	0	0.006144622157353761	1.275711318418469	1.380394726694714e-16	false	subcritical
square	normal	9	-0.004432525518468464	0	0.004432525518468464	1.502015373223522	5.178844770789444e-16	false	subcritical
square	pair	1	4.668807757152312	0	4.668807757152312	0.04628038936668352	2.775557561562891e-17	true	monotone
square	pair	2	0.004545610503539521	0	0.004545610503539521	1.483214252519402	3.669632620881413e-16	false	subcritical
square	pair	3	0	0	0	Inf	9.063162369069397e-16	false	subcritical
