geometry	alpha_norm	beta_norm	mu_cdw_norm	total_norm	background_norm	modulation_norm	modulation_fraction	beta_background_norm	beta_modulation_norm	beta_modulation_fraction	mu_uniform_value	mu_uniform_norm	mu_modulation_norm	charge_even_modulation_rms	charge_even_modulation_max	charge_odd_rms	spin_even_rms	spin_odd_rms	beta_nn_mean	beta_nn_modulation_rms	alpha_max	beta_max	mu_cdw_max
cubic_frustrated	0	0.124905443835942	0.01938588444146331	0.1264008798048155	0.1259002430511816	0.01123882623252248	0.0889141456125712	0.1245925631958295	0.008835332260129329	0.0707361664054784	-0.01279774192269511	0.01809874019482617	0.006946086591596263	0.004911624931626454	0.01245653916216868	1.459881173494526e-09	4.189582399026554e-15	2.995785575586413e-14	0.04474362759268911	0.002693420467564388	0	0.06881558952337019	0.01928844022161053
cubic_unfrustrated	0	0.1249054438360735	0.01938588444146419	0.1264008798049456	0.1259002430512065	0.01123882623370589	0.08891414562184205	0.1245925631958547	0.008835332261632732	0.07073616641744027	-0.01279774192269511	0.01809874019482617	0.006946086591598718	0.004911624931626454	0.01245653916216868	4.379643520466065e-09	4.189599810824514e-15	8.987359050537373e-14	0.04474362759268911	0.002693420467564388	0	0.06881558952337019	0.01928844060846693
square	0	0.02997689632038741	0.006461961480488064	0.03066547340542076	0.03049715327480989	0.003208566862529216	0.1046312515743532	0.02989448634441068	0.002221260724701119	0.07409908954418441	-0.004265913974231703	0.006032913398275381	0.002315362197199572	0.001637208310542151	0.004152179720722893	1.459881173488536e-09	1.39652325668749e-15	2.995786351529059e-14	0.01491454253089637	0.0008978068225214628	0	0.01598977806705296	0.006429480202822308
