branch	seed	iteration	chemical_potential	density	mu_evaluations	wall_hours	field_rel_residual
square__legacy_pairing_mixed_chi200_loose	legacy pairing	1	1.676643557718622	0.937106340403299	11	0.5314751519097223	0.999464989884553
square__legacy_pairing_mixed_chi200_loose	legacy pairing	2	1.656149489502063	0.9371232006219157	5	0.1430841272407108	0.08432452793068189
square__legacy_pairing_mixed_chi200_loose	legacy pairing	3	1.656149489502063	0.9369735502583717	1	0.03966380973656972	0.01378319699905362
square__legacy_pairing_mixed_chi200_loose	legacy pairing	4	1.656149489502063	0.9369964581602476	1	0.03933900276819865	0.003611381942021073
square__legacy_pairing_mixed_chi200_loose	legacy pairing	5	1.656149489502063	0.936995678606476	1	0.03951272586981455	0.0007959299410816176
square__legacy_pairing_mixed_chi200_loose	legacy pairing	6	1.656149489502063	0.9369943136211553	1	0.03954215221934848	0.0002267627962066712
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	1	1.676508700614184	0.9370880540169589	11	0.2570838894446691	0.9966098024381477
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	2	1.656125052824245	0.9372068259163452	5	0.1384182241890166	0.06893884161274245
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	3	1.656125052824245	0.9369250161872852	1	0.03972267859511906	0.009241229196051633
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	4	1.656125052824245	0.9369719408802897	1	0.03964862134721544	0.002296618373014386
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	5	1.656125052824245	0.9369660807784052	1	0.03961552414629194	0.0004747156948107566
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	6	1.656125052824245	0.9369659081670536	1	0.0395705916484197	0.0001348445457429954
square__stripe_m004_chi200_loose	stripe, m=4	1	1.672000745618933	0.9309413087875337	16	0.3781401705741883	0.9990718585308669
square__stripe_m004_chi200_loose	stripe, m=4	2	1.655231514760375	0.937392641120532	6	0.1603002802530925	0.09728803758706495
square__stripe_m004_chi200_loose	stripe, m=4	3	1.656434343826435	0.9372212498625277	2	0.05743649495972528	0.01681668076830888
square__stripe_m004_chi200_loose	stripe, m=4	4	1.656434343826435	0.937421272607834	1	0.04365032169553969	0.005913725017471659
square__stripe_m004_chi200_loose	stripe, m=4	5	1.656434343826435	0.9373425049058302	1	0.04368857721487681	0.003953593068525736
square__stripe_m004_chi200_loose	stripe, m=4	6	1.656434343826435	0.9373769778000292	1	0.04360139356719123	0.004107951978069814
square__stripe_m005_chi200_loose	stripe, m=5	1	1.676854211565464	0.9373160434324098	11	0.2973243488868078	0.9994337553624671
square__stripe_m005_chi200_loose	stripe, m=5	2	1.656458433813428	0.9374387129625993	7	0.2054974542061488	0.1034585094393462
square__stripe_m005_chi200_loose	stripe, m=5	3	1.656458433813428	0.9373577970355873	1	0.04400476859675513	0.02009001726473689
square__stripe_m005_chi200_loose	stripe, m=5	4	1.656458433813428	0.9373714583320587	1	0.04418687389956581	0.006165530002720642
square__stripe_m005_chi200_loose	stripe, m=5	5	1.656458433813428	0.9373747807582914	1	0.04407531830999586	0.003627982970445381
square__stripe_m005_chi200_loose	stripe, m=5	6	1.656458433813428	0.9373759668964434	1	0.04456445746951633	0.003756448313944569
square__stripe_m005_chi200_loose	stripe, m=5	7	1.656458433813428	0.9373800757789352	1	0.04383367253674401	0.004121403293828234
square__stripe_m005_chi200_loose	stripe, m=5	8	1.656458433813428	0.9373843141658781	1	0.0437471780512068	0.004537415717253766
square__stripe_m005_chi200_loose	stripe, m=5	9	1.656458433813428	0.9373899127243874	1	0.03950940026177301	0.004997631755881198
square__stripe_m005_chi200_loose	stripe, m=5	10	1.656458433813428	0.9373970646102153	1	0.04389723638693491	0.005502092938119135
square__stripe_m005_chi200_loose	stripe, m=5	11	1.656458433813428	0.9374056744541078	1	0.04391379164324866	0.006056248818551469
square__stripe_m005_chi200_loose	stripe, m=5	12	1.656458433813428	0.9374165993529752	1	0.04386321385701497	0.006663425306711943
square__stripe_m005_chi200_loose	stripe, m=5	13	1.656458433813428	0.9374298873136898	1	0.04382577419281006	0.007326770481018179
square__stripe_m005_chi200_loose	stripe, m=5	14	1.656458433813428	0.937445725906276	1	0.04399989393022325	0.008050691574496191
square__stripe_m005_chi200_loose	stripe, m=5	15	1.656458433813428	0.9374656502456142	1	0.04393178694778019	0.008835119008334918
square__stripe_m005_chi200_loose	stripe, m=5	16	1.656458433813428	0.937489766390546	1	0.03966150833500756	0.009685090394231382
square__stripe_m005_chi200_loose	stripe, m=5	17	1.656458433813428	0.9375192425885033	1	0.0396866852707333	0.01060055088171473
square__stripe_m005_chi200_loose	stripe, m=5	18	1.656458433813428	0.9375552037248782	1	0.03965461975998349	0.01158163294991167
