branch	seed	first_measured_norm	distance_from_stage2_bare	relative_distance_from_stage2_bare	delta_alpha_norm	delta_beta_norm	delta_mu_cdw_norm	response_gain_along_seed	first_chemical_potential	first_density	first_mu_evaluations	first_iteration_wall_hours	final_chemical_potential	iteration_count
square__legacy_pairing_mixed_chi200_loose	legacy pairing	0.03088493763489597	0.004401922453439706	0.1435465350638146	0.004366915135243183	0.0004137923963466518	0.000368441773427429	1.010198596092894	1.676643557718622	0.937106340403299	11	0.5314751519097223	1.656149489502063	6
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	0.03095131767676012	0.004959888846888944	0.1617417993622815	0.004891038185053311	0.00059523682579984	0.0005691537288426429	3.742249978645731	1.676508700614184	0.9370880540169589	11	0.2570838894446691	1.656125052824245	6
square__stripe_m004_chi200_loose	stripe, m=4	0.03143602410278619	0.004542134142840812	0.1481188332816638	0.004119256762003894	0.001078681549606894	0.001580870777382864	1.08755325785701	1.672000745618933	0.9309413087875337	16	0.3781401705741883	1.656434343826435	6
square__stripe_m005_chi200_loose	stripe, m=5	0.03083289209027128	0.003963069708827276	0.1292355626287746	0.003805685472887623	0.0003350784130769081	0.001053756165137973	1.016756847638686	1.676854211565464	0.9373160434324098	11	0.2973243488868078	1.656458433813428	28
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	0.03094679778165168	0.004825729519268037	0.1573668684473982	0.004697969582119257	0.0005508922548945155	0.0009556489533894614	3.029790571985723	1.676492318767691	0.9369936022665585	11	0.282392428583569	1.656123803543027	25
square__stripe_pairing_m005_chi200_loose	stripe + d-wave, m=5	0.03094380335671788	0.004788276289747139	0.1561455199612445	0.004677320693141155	0.0005166379930987495	0.0008850684406050601	3.067384638782369	1.676511338689997	0.9369947123072974	11	0.2713677680492401	1.656135747798851	25
