geometry	offset	bond_class	count	mean	rms	spatial_std	minimum	maximum
cubic_frustrated	0	same_leg	256	0	0	0	0	0
cubic_frustrated	0	cross_leg	256	0.05893752923142322	0.05896448178644773	0.001782627397820969	0.05807286744041455	0.06881558952337019
cubic_frustrated	1	same_leg	252	0.04474362759268909	0.04482462184969789	0.002693420467577271	0.03489503977138189	0.0479693205954272
cubic_frustrated	1	cross_leg	252	0.004844064629059723	0.005153457157348747	0.001758737769572692	0.000288293669816309	0.00722983390173882
cubic_frustrated	2	same_leg	248	-0.002584627531626578	0.002750057371211703	0.0009394232633449774	-0.003951182421001541	-0.0003074490138989406
cubic_frustrated	2	cross_leg	248	-0.01063885358115606	0.01081646873937541	0.001952124603760832	-0.01332454288082476	-0.005365389934603872
cubic_frustrated	3	same_leg	244	0.005811818841511085	0.006077469440568429	0.001777187821953521	0.00119359546672434	0.008378098550952133
cubic_frustrated	3	cross_leg	244	-0.0002143043973633357	0.0002255118995214599	7.020856141892196e-05	-0.0002947817715187258	2.394580188788222e-05
cubic_frustrated	4	same_leg	240	0.001223831730336338	0.001264576182511081	0.0003184161069987895	0.0001772205271334445	0.00161846413782609
cubic_frustrated	4	cross_leg	240	-0.0006847328036641647	0.0007474198320647337	0.0002996287585494536	-0.001158762004291288	-1.233779179425105e-05
cubic_unfrustrated	0	same_leg	256	0	0	0	0	0
cubic_unfrustrated	0	cross_leg	256	0.05893752923142322	0.05896448178644773	0.001782627397820969	0.05807286744041455	0.06881558952337019
cubic_unfrustrated	1	same_leg	252	0.0447436275926891	0.04482462184970408	0.002693420467680336	0.0348950397617935	0.04796933420115887
cubic_unfrustrated	1	cross_leg	252	0.004844064629059721	0.005153457157348748	0.001758737769572692	0.000288293669816309	0.00722983390173882
cubic_unfrustrated	2	same_leg	248	-0.002584627531626577	0.002750057371236989	0.000939423263419	-0.003951189208466371	-0.0003074487927972209
cubic_unfrustrated	2	cross_leg	248	-0.01063885358115606	0.01081646873937542	0.001952124603760832	-0.01332454288082476	-0.005365389934603872
cubic_unfrustrated	3	same_leg	244	0.005811818841511084	0.00607746944092526	0.00177718782317378	0.001193593369080974	0.008378179079790398
cubic_unfrustrated	3	cross_leg	244	-0.0002143043973633357	0.0002255118995214599	7.020856141892197e-05	-0.0002947817715187258	2.394580188788222e-05
cubic_unfrustrated	4	same_leg	240	0.001223831730336338	0.001264576183943424	0.0003184161126872774	0.0001772175372253829	0.001618578198075936
cubic_unfrustrated	4	cross_leg	240	-0.0006847328036641649	0.0007474198320647337	0.0002996287585494536	-0.001158762004291288	-1.233779179425105e-05
square	0	same_leg	256	0	0	0	0	0
square	0	cross_leg	256	0	0	0	0	0
square	1	same_leg	252	0.01491454253089637	0.01494154061656803	0.0008978068225601122	0.01163167992059783	0.01598977806705296
square	1	cross_leg	252	0	0	0	0	0
square	2	same_leg	248	-0.0008615425105421924	0.0009166857904123298	0.0003131410878063334	-0.00131706306948879	-0.000102482930932407
square	2	cross_leg	248	0	0	0	0	0
square	3	same_leg	244	0.001937272947170361	0.002025823146975087	0.0005923959410579267	0.0003978644563603246	0.002792726359930133
square	3	cross_leg	244	0	0	0	0	0
square	4	same_leg	240	0.0004079439101121125	0.0004215253946478077	0.0001061387042290925	5.907251240846098e-05	0.0005395260660253121
square	4	cross_leg	240	0	0	0	0	0
