geometry	rung	charge_even	charge_even_centered	charge_odd	spin_even	spin_odd	beta_nn	beta_nn_centered
cubic_frustrated	1	-0.0003412027605264305	0.01245653916216868	2.513835984535064e-11	1.682261643355665e-15	-4.626617285900109e-14	0.03489503977617621	-0.009848587816512898
cubic_frustrated	2	-0.001156101977586976	0.01164163994510813	1.115071696002751e-11	-1.767520591694494e-15	7.965584572153239e-14	0.03969554337924509	-0.005048084213444021
cubic_frustrated	3	-0.002619191664459552	0.01017855025823556	1.691253901248829e-10	1.646903100005481e-16	-1.06712273566234e-13	0.04012861913626779	-0.004615008456421314
cubic_frustrated	4	-0.00490262234228489	0.007895119580410219	6.66661756180964e-11	-2.835839202353085e-15	8.386130331827779e-14	0.04140659605962111	-0.003337031533067997
cubic_frustrated	5	-0.007861221555368968	0.004936520367326142	7.062434317917088e-11	2.556982403589814e-15	-4.162902661475343e-14	0.04298966892009683	-0.00175395867259228
cubic_frustrated	6	-0.01110814136720265	0.001689600555492457	1.752991961659345e-10	-4.160300576261378e-15	2.195682871630744e-14	0.04458571158157032	-0.0001579160111187874
cubic_frustrated	7	-0.01420406673604851	-0.001406324813353399	-3.411423877761055e-10	8.967653009062104e-15	-8.192231615300472e-15	0.04604142602930378	0.001297798436614678
cubic_frustrated	8	-0.01676758766283296	-0.003969845740137846	-1.014746758842833e-10	-4.767887473722254e-15	2.873569437955581e-15	0.0471585876929264	0.002414960100237291
cubic_frustrated	9	-0.01851388979125892	-0.005716147868563809	-1.274010896779032e-10	1.710437347313132e-15	-7.37257477290143e-16	0.04780983128252052	0.003066203689831411
cubic_frustrated	10	-0.01928836395047899	-0.006490622027783881	5.019576369141854e-10	1.619364364824349e-15	1.366094737331736e-15	0.04796925144759652	0.003225623854907413
cubic_frustrated	11	-0.01909261486117061	-0.006294872938475506	2.409471072314928e-09	3.086940425500728e-15	6.268423280442192e-15	0.04767861485720584	0.002934987264516728
cubic_frustrated	12	-0.01807323811601465	-0.005275496193319539	2.166577741866127e-09	-1.507474700623845e-15	-1.563853213593092e-14	0.04703551856371743	0.002291890971028318
cubic_frustrated	13	-0.01648501945273536	-0.003687277530040254	1.116552527519188e-09	-5.597952656977156e-15	3.780309398848658e-14	0.04618135779193585	0.001437730199246742
cubic_frustrated	14	-0.01464306714955593	-0.001845325226860817	1.719210427665596e-09	-2.880942012728482e-15	-5.405008038361636e-14	0.04527677984829603	0.0005331522556069265
cubic_frustrated	15	-0.01287163336598328	-7.389144328817307e-05	2.206782522343187e-09	-6.717716660720185e-15	6.447186534641602e-14	0.04447568883536367	-0.0002679387573254408
cubic_frustrated	16	-0.01145636199473786	0.001341379927957253	1.974673502838642e-09	-5.490399801466594e-15	-4.828949740076638e-14	0.04390302511841127	-0.0008406024742778351
