job_id	job_name	category	elapsed_hours	allocated_logical_cpus	billed_node_fraction	node_hours	step_allocated_logical_cpus	total_cpu_hours	average_busy_cores	step_cpu_efficiency	billed_cpu_efficiency	requested_memory_gib	max_rss_gib	memory_request_utilization
57872319	lmf-s2-zero	normal	1.357222222222222	26	0.1015625	0.1378428819444445	8	3.344166666666667	2.463978714695047	0.3079973393368809	0.09476841210365566	48	4.626052856445312	0.09637610117594402
57872321	lmf-s2-normal	normal	1.013333333333333	26	0.1015625	0.1029166666666667	8	2.445833333333333	2.413651315789474	0.3017064144736842	0.09283274291497977	48	4.097312927246094	0.08536068598429362
57872322	lmf-s2-pair0	pair	4.530555555555556	36	0.140625	0.6371093750000001	8	9.451666666666666	2.086204782342121	0.2607755977927652	0.0579501328428367	64	9.0101318359375	0.1407833099365234
57872325	lmf-s2-pair	pair	5.534722222222222	36	0.140625	0.7783203125	8	11.69083333333333	2.112271016311167	0.2640338770388959	0.05867419489753242	64	9.833686828613281	0.1536513566970825
57875632	lmf-s2-normal	normal	1.080277777777778	26	0.1015625	0.1097157118055555	8	2.749444444444444	2.545127282077655	0.3181409102597069	0.09788951084914058	48	5.252681732177734	0.1094308694203695
57875633	lmf-s2-normal	normal	1.263888888888889	26	0.1015625	0.1283637152777778	8	3.070555555555555	2.42945054945055	0.3036813186813187	0.09344040574809806	48	4.4927978515625	0.09359995524088542
57876425	lmf-s2-normal	normal	1.354166666666667	26	0.1015625	0.1375325520833333	8	3.340555555555556	2.466871794871795	0.3083589743589744	0.09487968441814595	48	4.722816467285156	0.09839200973510742
57876888	lmf-s2-normal	normal	1.503611111111111	26	0.1015625	0.1527105034722222	8	3.739166666666667	2.486791058562719	0.3108488823203399	0.09564580994471997	48	4.854198455810547	0.1011291344960531
57877330	lmf-s2-normal	normal	1.368333333333333	26	0.1015625	0.1389713541666667	8	3.316666666666667	2.423873325213155	0.3029841656516443	0.09322589712358287	48	5.01092529296875	0.104394276936849
57877758	lmf-s2-normal	normal	1.985555555555556	26	0.1015625	0.2016579861111111	8	4.819722222222222	2.427392277560157	0.3034240346950196	0.09336124144462142	48	4.819068908691406	0.100397268931071
57877897	lmf-s2-normal	normal	1.336666666666667	26	0.1015625	0.1357552083333333	8	3.279444444444445	2.453449709060682	0.3066812136325852	0.09436345034848775	48	4.372425079345703	0.09109218915303548
57878194	lmf-s2-normal	normal	1.056111111111111	26	0.1015625	0.1072612847222222	8	2.58	2.442924776433456	0.305365597054182	0.09395864524744063	48	5.005222320556641	0.1042754650115967
57883571	lmf-s2-pair	pair	2.874166666666667	36	0.140625	0.4041796875	8	6.098055555555556	2.121677780999323	0.2652097226249154	0.05893549391664787	64	9.210292816162109	0.143910825252533
57883572	lmf-s2-pair	pair	4.974166666666667	36	0.140625	0.6994921875000001	8	10.49111111111111	2.109119338806054	0.2636399173507567	0.05858664830016816	64	9.513359069824219	0.1486462354660034
