left_seed	right_seed	full_distance	normal_distance	alpha_distance	field_cosine	corrected_energy_difference
legacy pairing	d-wave, q=0	0.01263918405700819	3.971386588606046e-06	0.01263918343307899	0.9121339005402295	3.680092746094488e-06
legacy pairing	stripe, m=4	0.0127286974531545	0.001529814024706715	0.01263643177102431	0.9108982912904996	4.935983434961599e-05
legacy pairing	stripe, m=5	0.0006629565711756146	0.000661203641604352	4.817841419216242e-05	0.9997583738295026	8.85565972907898e-06
legacy pairing	stripe + d-wave, m=4	0.01265179881402181	0.0005302520850014287	0.01264068217925106	0.9119679724712149	2.779061223634471e-05
legacy pairing	stripe + d-wave, m=5	0.01265080858588266	0.0005105236765300543	0.01264050329110138	0.9119780877379886	1.735104028455225e-05
d-wave, q=0	stripe, m=4	0.001532917474986828	0.001529945650085226	9.540593747396159e-05	0.998707839135789	5.303992709571048e-05
d-wave, q=0	stripe, m=5	0.01265735247412815	0.0006616208402396205	0.01264004863590638	0.9118094643241474	1.253575247517347e-05
d-wave, q=0	stripe + d-wave, m=4	0.0005314207683483249	0.0005301402396886171	3.686949002657395e-05	0.9998447035803314	2.411051949025023e-05
d-wave, q=0	stripe + d-wave, m=5	0.0005119280006865998	0.0005106508965597765	3.613778811266333e-05	0.9998558781254614	1.367094753845777e-05
stripe, m=4	stripe, m=5	0.01274706772737399	0.001669223775838661	0.01263730302051962	0.9105683825080291	4.050417462053701e-05
stripe, m=4	stripe + d-wave, m=4	0.001453757162748333	0.001451343626784871	8.37350896161253e-05	0.9988379651073009	7.715044658596071e-05
stripe, m=4	stripe + d-wave, m=5	0.001617845970831342	0.001614617066903503	0.0001021631665481101	0.9985607802699303	6.671087463416825e-05
stripe, m=5	stripe + d-wave, m=4	0.01266994120700428	0.0008477573113336919	0.0126415472838583	0.911643627195784	3.664627196542369e-05
stripe, m=5	stripe + d-wave, m=5	0.0126429991566464	0.0001945495708690244	0.01264150221055378	0.9120153046202312	2.620670001363123e-05
stripe + d-wave, m=4	stripe + d-wave, m=5	0.0007376503502100196	0.0007358509337231583	5.149215963348741e-05	0.999700793063912	1.043957195179246e-05
