branch	seed	accepted	status	iterations	total_norm	alpha_norm	beta_norm	mu_cdw_norm	background_norm	nonuniform_norm	distance_from_bare	normal_distance_from_bare	cosine_with_bare	charge_even_modulation_rms	spin_odd_rms	alpha_max	beta_max	mu_cdw_max	chemical_potential	corrected_energy	fixed_point_rel_residual
square__legacy_pairing_mixed_chi200_loose	legacy pairing	true	fixed_point	6	0.0301491895719009	0.006319622817464841	0.02879018912382151	0.006337271455601825	0.02938022916219478	0.006765779054871453	0.006669565307579131	0.002132010515227552	0.9760872476896224	0.001262439931718758	2.799235428128682e-07	0.004713800348789463	0.01482751770167431	0.005458257794436103	1.656149489502063	-84.59057321472898	0.0002267627962066712
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	true	fixed_point	6	0.03015164937591519	0.006319560631441922	0.02879216614600639	0.006340053795861686	0.02938271333783395	0.006765952778049993	0.006669283629309741	0.002131313574701825	0.9760898600908685	0.001262821445606303	3.129130029451737e-07	0.00471390141069624	0.01482886896164869	0.005461011398933027	1.656125052824245	-84.59057689482172	0.0001348445457429954
square__stripe_m004_chi200_loose	stripe, m=4	true	fixed_point	6	0.03015616608715972	0.006317168321971547	0.0287659957282122	0.006481143975620251	0.02934839355947288	0.006932975447428961	0.006838915333359698	0.002619951779850456	0.9748520072374151	0.001260218795218747	0.001073120790129305	0.004775580153663796	0.01495215344931086	0.006106671644676615	1.656434343826435	-84.59052385489463	0.004107951978069814
square__stripe_m005_chi200_loose	stripe, m=5	true	fixed_point	28	0.0301245597518024	0.006320580219027069	0.02876472065941107	0.006334841065157588	0.02934799771002159	0.006795890718109016	0.006704866860762229	0.002237298664772156	0.9758262442543854	0.001257681812205456	0.0004623676216486102	0.00472658094406473	0.01483195284691602	0.0056550523765359	1.656458433813428	-84.59056435906925	0.0003721360805250772
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	true	fixed_point	25	0.03015491598415749	0.006321113075099079	0.0287908620502885	0.006359933168254699	0.02938091554500838	0.006788281059935684	0.006690543329304556	0.002192464260395857	0.9759370659987741	0.001262954967897587	0.0003727827618156522	0.004732613740316964	0.01483194211623378	0.005604585720915122	1.656123803543027	-84.59060100534121	0.001842506521199725
square__stripe_pairing_m005_chi200_loose	stripe + d-wave, m=5	true	fixed_point	25	0.03015366304751855	0.006320932034295775	0.02879017233081894	0.006357294280025642	0.02938004818674641	0.00678646916501834	0.006689685435429862	0.002190367421876041	0.9759429657339983	0.001262741199144248	0.0003584130827824093	0.004733856434849008	0.01482942400471189	0.005681021896629159	1.656135747798851	-84.59059056576926	0.001566295164098141
