geometry	block	rank	eigenvalue_real	basis_index	basis_label	coefficient_real	coefficient_imag	weight	cumulative_weight
cubic_frustrated	normal	1	-1.187909018699175	5	spin_odd_m59	0.9895361399381268	0	0.9791817722436481	0.9791817722436481
cubic_frustrated	normal	1	-1.187909018699175	6	spin_odd_m63	0.1440981212096268	0	0.02076426853614428	0.9999460407797924
cubic_frustrated	normal	1	-1.187909018699175	3	charge_even_m9	0.005736850058632646	0	3.291144859523339e-05	0.9999789522283876
cubic_frustrated	normal	1	-1.187909018699175	2	charge_even_m8	-0.00415324917080358	-0	1.724947867478062e-05	0.9999962017070624
cubic_frustrated	normal	1	-1.187909018699175	1	charge_even_m7	-0.001948905633190354	-0	3.798233167081093e-06	0.9999999999402295
cubic_frustrated	normal	1	-1.187909018699175	4	spin_odd_m58	7.640081958267033e-06	0	5.837085232903742e-11	0.9999999999986003
cubic_frustrated	normal	1	-1.187909018699175	7	cov_charge_even_rank1	1.160747931480152e-06	0	1.34733576043545e-12	0.9999999999999477
cubic_frustrated	normal	1	-1.187909018699175	8	cov_charge_odd_rank1	2.275053157032711e-07	0	5.175866867324506e-14	0.9999999999999994
cubic_frustrated	normal	1	-1.187909018699175	9	cov_spin_even_rank1	-1.832184138454629e-08	-0	3.35689871720473e-16	0.9999999999999998
cubic_frustrated	normal	2	-1.146911455663119	3	charge_even_m9	0.9429295579615478	0	0.8891161512775598	0.8891161512775598
cubic_frustrated	normal	2	-1.146911455663119	1	charge_even_m7	-0.3329266583115604	-0	0.1108401598145025	0.9999563110920624
cubic_frustrated	normal	2	-1.146911455663119	2	charge_even_m8	0.006609050279490735	0	4.367954559683656e-05	0.9999999906376592
cubic_frustrated	normal	2	-1.146911455663119	7	cov_charge_even_rank1	9.675918024971264e-05	0	9.362338962596382e-09	0.9999999999999982
cubic_frustrated	normal	2	-1.146911455663119	8	cov_charge_odd_rank1	4.132777496395062e-08	0	1.707984983470943e-15	0.9999999999999999
cubic_frustrated	normal	2	-1.146911455663119	5	spin_odd_m59	-3.847636530581484e-09	-0	1.480430687146512e-17	0.9999999999999999
cubic_frustrated	normal	2	-1.146911455663119	4	spin_odd_m58	-5.108646942563709e-10	-0	2.609827358376553e-19	0.9999999999999999
cubic_frustrated	normal	2	-1.146911455663119	6	spin_odd_m63	1.993601335040442e-10	0	3.974446283075034e-20	0.9999999999999999
cubic_frustrated	normal	2	-1.146911455663119	9	cov_spin_even_rank1	-1.216079203164707e-12	-0	1.478848628369708e-24	0.9999999999999999
