geometry	basis_index	basis_label	leakage_relative	beta_fraction
cubic_frustrated	1	charge_even_m7	0.8177443493952823	0.7831958158719911
cubic_frustrated	2	charge_even_m8	0.8302779183757755	0.7836899211819036
cubic_frustrated	3	charge_even_m9	0.8326719592443008	0.7859077172795026
cubic_frustrated	4	spin_odd_m58	0.4732873664868908	0.4471106877675522
cubic_frustrated	5	spin_odd_m59	0.4618200398327238	0.4503054524016201
cubic_frustrated	6	spin_odd_m63	0.3925950642242201	0.3708174780013881
cubic_frustrated	7	cov_charge_even_rank1	0.6022204653413014	0.5976913023207567
cubic_frustrated	8	cov_charge_odd_rank1	0.7073656220144692	0.7071573551160532
cubic_frustrated	9	cov_spin_even_rank1	0.2832638787909184	0.2814380185945123
cubic_frustrated	10	pair_onsite_s_q0	0.3858682389290598	0.0006860633101610588
cubic_frustrated	11	pair_rung_s_q0	0.3893557060636446	0.01367982428349063
cubic_frustrated	12	pair_leg_s_q0	0.3896738142034388	0.01288477704025557
cubic_unfrustrated	1	charge_even_m7	0.8177443511365308	0.783195817988245
cubic_unfrustrated	2	charge_even_m8	0.8302779403173693	0.7836899500247767
cubic_unfrustrated	3	charge_even_m9	0.8326719638018206	0.7859077232668863
cubic_unfrustrated	4	spin_odd_m58	0.2675198438526749	0.2067638151038781
cubic_unfrustrated	5	spin_odd_m59	0.2370307024563297	0.2087695031149198
cubic_unfrustrated	6	spin_odd_m63	0.1932242503453526	0.1357015698111662
cubic_unfrustrated	7	cov_charge_even_rank1	0.6022254632846349	0.5976963759426349
cubic_unfrustrated	8	cov_charge_odd_rank1	0.337247899660803	0.3365900917236404
cubic_unfrustrated	9	cov_spin_even_rank1	0.2832641706050673	0.2814383124096543
cubic_unfrustrated	10	pair_onsite_s_q0	0.3858683112873779	0.0007322161622347155
cubic_unfrustrated	11	pair_rung_s_q0	0.389355706402339	0.01367983281753673
cubic_unfrustrated	12	pair_leg_s_q0	0.389673814561089	0.01288478668581854
square	1	charge_even_m7	0.7436262803956514	0.6916280010737929
square	2	charge_even_m8	0.7619181933301291	0.6920853015096
square	3	charge_even_m9	0.7651680254184342	0.6951024829476093
square	4	spin_odd_m58	0.2195409773626258	0.1365919536218818
square	5	spin_odd_m59	0.1789503403402591	0.1382094917785519
square	6	spin_odd_m63	0.142928695851866	0.03428729331835111
square	7	cov_charge_even_rank1	0.5333991993916798	0.5276491898263758
square	8	cov_charge_odd_rank1	0.1373226845740328	0.1355242086349138
square	9	cov_spin_even_rank1	0.2305108586144422	0.2281968580606104
square	10	pair_onsite_s_q0	0.3506229992158398	0.0007196531240679745
square	11	pair_rung_s_q0	0.3501882981894045	0.01304596073251871
square	12	pair_leg_s_q0	0.3493029347178749	0.01225919281995337
