geometry	mode_number	q_over_pi	coefficient	absolute_profile_cosine
cubic_frustrated	1	0.01587301587301587	5.883806492387093e-08	8.536598964282788e-06
cubic_frustrated	2	0.03174603174603174	0.002619745152711339	0.3799978338366799
cubic_frustrated	3	0.04761904761904762	-2.075628199860607e-08	3.011452800840378e-06
cubic_frustrated	4	0.06349206349206349	0.002866941720470302	0.4158540545011403
cubic_frustrated	5	0.07936507936507936	-1.421264996611574e-08	2.06206123770235e-06
cubic_frustrated	6	0.09523809523809523	0.003366696436184859	0.4883442008135219
cubic_frustrated	7	0.1111111111111111	1.522506824513509e-08	2.208949291249612e-06
cubic_frustrated	8	0.126984126984127	0.00499859828263312	0.7250539304002404
cubic_frustrated	9	0.1428571428571428	-4.698536621097548e-09	6.816934395440862e-07
cubic_frustrated	10	0.1587301587301587	0.000324921976806174	0.04713040397249772
cubic_frustrated	11	0.1746031746031746	-1.431949056829307e-08	2.077562348668719e-06
cubic_frustrated	12	0.1904761904761905	0.0003135382594600119	0.04547917926154681
cubic_frustrated	13	0.2063492063492063	-3.792566194213632e-09	5.502495143006057e-07
cubic_frustrated	14	0.2222222222222222	0.0003264129328270871	0.04734666930567576
cubic_frustrated	15	0.2380952380952381	-1.21157969164821e-09	1.757836522022756e-07
cubic_frustrated	16	0.253968253968254	0.0003458689346959191	0.05016879059393421
cubic_frustrated	17	0.2698412698412698	-2.957347855919296e-09	4.290707499562815e-07
cubic_frustrated	18	0.2857142857142857	0.0003674008554170749	0.0532920269224428
cubic_frustrated	19	0.3015873015873016	1.92083469888407e-09	2.786868589535229e-07
cubic_frustrated	20	0.3174603174603174	0.00037840132569809	0.05488766109076802
cubic_frustrated	21	0.3333333333333333	-1.285538997288483e-09	1.865141365180624e-07
cubic_frustrated	22	0.3492063492063492	0.0003845371890912582	0.05577767697483541
cubic_frustrated	23	0.3650793650793651	-1.180623307237219e-09	1.712923039547552e-07
cubic_frustrated	24	0.3809523809523809	0.0003882531462618454	0.05631668195170948
cubic_frustrated	25	0.3968253968253968	1.228212957032904e-09	1.781969116498598e-07
cubic_frustrated	26	0.4126984126984127	0.0003908060040665865	0.0566869776787158
cubic_frustrated	27	0.4285714285714285	-6.367821034091859e-10	9.238837905974109e-08
cubic_frustrated	28	0.4444444444444444	0.0003926887463295553	0.05696007217451454
cubic_frustrated	29	0.4603174603174603	-2.453745820045165e-10	3.560049780978662e-08
cubic_frustrated	30	0.4761904761904762	0.0003940607507810209	0.05715908341002787
cubic_frustrated	31	0.492063492063492	-2.841271299432932e-10	4.122296286606761e-08
cubic_frustrated	32	0.5079365079365079	0.0003949454952720288	0.05728741688160013
cubic_frustrated	33	0.5238095238095238	-5.892707392553593e-10	8.549512952182503e-08
cubic_frustrated	34	0.5396825396825397	0.0003953864114027112	0.05735137240581951
cubic_frustrated	35	0.5555555555555556	-1.994059117079641e-10	2.89310721061058e-08
cubic_frustrated	36	0.5714285714285714	0.0003954520021555569	0.05736088643964654
cubic_frustrated	37	0.5873015873015873	-1.093848006296681e-11	1.587023927679379e-09
cubic_frustrated	38	0.6031746031746031	0.0003952509671370509	0.05733172601864971
