"label","config","config_sha256","geometry","trellis_cell","spatial_ladders","family","U","t0","tau0","tau1","V","L","density","chi","ep_signed","ep_denominator","ep_mode","seed","seed_sha256","reference_sha256","model_fingerprint","numerical_fingerprint","implementation_sha256","ep_source_sha256","full_output_directory","stateless_output_directory"
"trellis__one_ladder__stripe_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\configs\trellis__one_ladder__stripe_eps005_chi200_raw60.segment-001.toml","6369e67ec6b9b3184041aaa9a8c4c594c3af13c348dfa9a8d33c7c4e18104cc2","trellis","one_ladder","1","stripe","8.0","1.0","0.1","0.1","-1.0","64","0.9375","200","-0.2713195876256691","0.2713195876256691","exact","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\seeds\trellis__one_ladder__stripe_eps005_chi200_raw60.h5","e2d030ada8cc173a02ee1e3bee7339935fafd79acecc04aa7de44580850ec2f0","e01a1ea7d6be813110870d26377db0df529d1584816c946af78584e1e1fbddc1","f81270d9c744c527dc67a7e707bee4cf253f3c89775e11a53987aad3a89959df","d3129105a6cee2136e69ec6d68a762dad1cfa04c3b5b6a020d2efee5ba5790a3","1c71395bcfeae7bca8bf7289fc20dd4b3936f69da0be1059cddaa8775f883363","2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\full\results\trellis__one_ladder__stripe_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\results\trellis__one_ladder__stripe_eps005_chi200_raw60"
"trellis__one_ladder__pairing_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\configs\trellis__one_ladder__pairing_eps005_chi200_raw60.segment-001.toml","09e661a63d88d954d1a6a814922c549a1ac51fd6191caee6bd736930c2147527","trellis","one_ladder","1","pairing","8.0","1.0","0.1","0.1","-1.0","64","0.9375","200","-0.2713195876256691","0.2713195876256691","exact","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\seeds\trellis__one_ladder__pairing_eps005_chi200_raw60.h5","f9fab5115ac5aa706b20c9935de67c183a99168be314b42bd2ca755712ac3434","e01a1ea7d6be813110870d26377db0df529d1584816c946af78584e1e1fbddc1","f81270d9c744c527dc67a7e707bee4cf253f3c89775e11a53987aad3a89959df","d3129105a6cee2136e69ec6d68a762dad1cfa04c3b5b6a020d2efee5ba5790a3","1c71395bcfeae7bca8bf7289fc20dd4b3936f69da0be1059cddaa8775f883363","2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\full\results\trellis__one_ladder__pairing_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\results\trellis__one_ladder__pairing_eps005_chi200_raw60"
"trellis__two_ladder__stripe_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\configs\trellis__two_ladder__stripe_eps005_chi200_raw60.segment-001.toml","59277c0fbcfe623e482a3467fa5a5e2890d6cd1b3e1e24cfcf7c5967adacfa08","trellis","two_ladder","2","stripe","8.0","1.0","0.1","0.1","-1.0","64","0.9375","200","-0.2713195876256691","0.2713195876256691","exact","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\seeds\trellis__two_ladder__stripe_eps005_chi200_raw60.h5","e9b5b7e789b212aa7a64228f0987825e3b703b093c545eb2d4e5fab9f3af8056","e01a1ea7d6be813110870d26377db0df529d1584816c946af78584e1e1fbddc1","84063ceb5d545bb579d322c2e5ad885623c2d1e6b8f748005d40476920d681d7","d3129105a6cee2136e69ec6d68a762dad1cfa04c3b5b6a020d2efee5ba5790a3","1c71395bcfeae7bca8bf7289fc20dd4b3936f69da0be1059cddaa8775f883363","2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\full\results\trellis__two_ladder__stripe_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\results\trellis__two_ladder__stripe_eps005_chi200_raw60"
"trellis__two_ladder__pairing_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\configs\trellis__two_ladder__pairing_eps005_chi200_raw60.segment-001.toml","5b6514b3ab89029f8cbf72e385cf0d70f15e56ecc338ee4e076a43d4d756040d","trellis","two_ladder","2","pairing","8.0","1.0","0.1","0.1","-1.0","64","0.9375","200","-0.2713195876256691","0.2713195876256691","exact","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\seeds\trellis__two_ladder__pairing_eps005_chi200_raw60.h5","caddb3056b3acbc4dcef58dd2058d452c59310fbdc588157db66d94a8ca21c90","e01a1ea7d6be813110870d26377db0df529d1584816c946af78584e1e1fbddc1","84063ceb5d545bb579d322c2e5ad885623c2d1e6b8f748005d40476920d681d7","d3129105a6cee2136e69ec6d68a762dad1cfa04c3b5b6a020d2efee5ba5790a3","1c71395bcfeae7bca8bf7289fc20dd4b3936f69da0be1059cddaa8775f883363","2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\full\results\trellis__two_ladder__pairing_eps005_chi200_raw60","C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\seed_previews\20260922_trellis_vm1\control\results\trellis__two_ladder__pairing_eps005_chi200_raw60"
