family,iteration,channel,absolute,applied_rms,contraction,cosine,factor,measured_rms,passes,relative
stripe,1,charge_modulation,0.0013812663424169463,0.0035574928084874963,nan,nan,1.0,0.0041271950549995684,0,0.15379343461126682
stripe,2,charge_modulation,0.0008979407669629045,0.0041271950549995684,-0.6223907142877545,-0.9912581005556645,1.0,0.0037911589750357507,0,0.09656375626773325
stripe,3,charge_modulation,0.00025094028659296795,0.0037911589750357507,0.29192171205964174,0.9900535893329588,1.4122732147440602,0.0036880039244104,0,0.030995942344996145
stripe,4,charge_modulation,0.0001854628405206938,0.0036880039244104,0.7183820426754146,0.997200204888735,3.5509099259868098,0.0036153643431164804,0,0.02295401043403308
stripe,5,charge_modulation,0.00011560837731603834,0.0036153643431164804,0.5958316565593047,0.9911444592193606,2.474216539293936,0.0035727045852783313,0,0.014076169729602236
stripe,6,charge_modulation,7.869815734890245e-05,0.0035727045852783313,0.6565598842353897,0.9838631876661635,2.9117157667317697,0.003546125433290302,0,0.009505590271233745
stripe,7,charge_modulation,5.542094332131389e-05,0.003546125433290302,0.7070029440507436,0.9737190990180323,3.4130035769819753,0.0035294328631041935,0,0.006953598936712399
stripe,8,charge_modulation,4.5266754110526164e-05,0.0035294328631041935,0.7864826877457969,0.9722629098523812,4.6834609776721505,0.003518878725724025,0,0.0056515068095688275
stripe,9,charge_modulation,4.1219709167719665e-05,0.003518878725724025,0.8751978782968834,0.9794969622590104,8.012684290567057,0.0035121504616233835,0,0.005064866975631061
stripe,10,charge_modulation,3.894475945703888e-05,0.0035121504616233835,0.927849165308164,0.9893840359004169,13.859853517580323,0.0035078291769391006,0,0.004758956257667809
stripe,11,charge_modulation,3.7481212477311586e-05,0.0035078291769391006,0.9534804444554973,0.9952079580488683,21.496336074048575,0.003505041653695018,0,0.004565037400008588
stripe,12,charge_modulation,3.7237711684805566e-05,0.003505041653695018,0.971163148345089,0.9977732613227644,34.67784943956241,0.0035032457037161785,0,0.0044468238422394855
stripe,13,charge_modulation,3.674725889742363e-05,0.0035032457037161785,0.9733437713541834,0.9990240996226627,37.51468421460055,0.00350208146003618,0,0.004334737471754487
stripe,14,charge_modulation,3.626574366170747e-05,0.00350208146003618,0.9748621567336695,0.9995849267971424,39.780660154699696,0.0035012994900946322,0,0.00422893166642578
stripe,15,charge_modulation,3.612772052274428e-05,0.0035012994900946322,0.983408176062694,0.9996569256807802,60.27064919315745,0.0035007571617704483,0,0.004161122357568652
stripe,16,charge_modulation,3.5465360423752625e-05,0.0035007571617704483,0.973812276727499,0.9997670809033105,38.18583194859377,0.0035004158008680657,0,0.004053723975496769
stripe,17,charge_modulation,3.488075575319976e-05,0.0035004158008680657,0.9830707538364335,0.9998078102200817,59.069375584608366,0.0035001904955673925,0,0.003986252228484034
stripe,18,charge_modulation,3.411411028662794e-05,0.0035001904955673925,0.9704929505280214,0.9998012409842615,33.89020650640288,0.0035000252337537142,0,0.0038696478356903823
stripe,19,charge_modulation,3.330641202724336e-05,0.0035000252337537142,0.9756130011572789,0.9998502006437358,41.00545567124895,0.0034999319440477826,0,0.0037760226427074415
stripe,20,charge_modulation,3.2826630496989376e-05,0.0034999319440477826,0.9828587289738335,0.999760651374224,58.33873103537545,0.00349986542849567,0,0.0037122842689034908
stripe,21,charge_modulation,3.184337874300846e-05,0.00349986542849567,0.9688362220114883,0.9998215907420813,32.08853561877651,0.0034998028447247426,0,0.0035973056126653268
stripe,22,charge_modulation,3.132326857376369e-05,0.0034998028447247426,0.9849046402006845,0.9997779460374104,66.24552268342374,0.003499741530835233,0,0.003543853273075758
stripe,23,charge_modulation,3.0398561223239813e-05,0.003499741530835233,0.970368457757167,0.9998824692045554,33.74782155464315,0.003499711040538311,0,0.0034393079066886646
stripe,24,charge_modulation,2.9753061942446382e-05,0.003499711040538311,0.9812317450489201,0.9998230407288717,53.28145864421243,0.0034997238506450324,0,0.003375372451367477
stripe,25,charge_modulation,2.9432963703412453e-05,0.0034997238506450324,0.9891782953886268,0.9998049339273065,92.40688374999965,0.0034997131676462426,0,0.003339496590230042
stripe,26,charge_modulation,2.8430840483567588e-05,0.0034997131676462426,0.967557490718039,0.9998637104655487,30.82375630407939,0.0034997161753448744,0,0.0032316024610123126
stripe,27,charge_modulation,2.775774122439588e-05,0.0034997161753448744,0.9819148522916682,0.9997805767649308,55.29399129758289,0.0034996875152951868,0,0.00317385487067366
stripe,28,charge_modulation,2.7030564175430268e-05,0.0034996875152951868,0.9806112287267784,0.9999077719524528,51.57624410068369,0.0034996888123492555,0,0.0031126291304988648
stripe,29,charge_modulation,2.650305977355133e-05,0.0034996888123492555,0.983079232245014,0.9996257865579667,59.0989731955475,0.003499682913118856,0,0.0030611065630976966
stripe,30,charge_modulation,2.572257163907521e-05,0.003499682913118856,0.9724391597746694,0.9998970474251843,36.283364071060575,0.003499702583109778,0,0.0029770346745971264
stripe,31,charge_modulation,2.5279978754238694e-05,0.003499702583109778,0.9902676647325986,0.9996946533941301,102.75026214412473,0.003499709686859572,0,0.002948955644630731
stripe,32,charge_modulation,2.4612196384521737e-05,0.003499709686859572,0.974375012532097,0.999904204933264,39.02440932908034,0.0034996871164619326,0,0.0028736639760260268
stripe,33,charge_modulation,2.4011509224076966e-05,0.0034996871164619326,0.980261596322876,0.9998731582307309,50.662658255336005,0.003499692835155379,0,0.0028173133535729093
stripe,34,charge_modulation,2.391219586445146e-05,0.003499692835155379,0.9979139009390322,0.9998130263464309,479.36362117725827,0.0034996872480568876,0,0.0028119619216257527
stripe,35,charge_modulation,2.308642408538255e-05,0.0034996872480568876,0.9750732346096883,0.9997097468310544,40.11751963568731,0.003499683918211269,0,0.0027426692522350363
stripe,36,charge_modulation,2.25537891528323e-05,0.003499683918211269,0.9756180785823302,0.9998906533888907,41.0139948722536,0.0034996713150246524,0,0.002676092873681418
stripe,37,charge_modulation,2.2094575602820028e-05,0.0034996713150246524,0.9833996564078018,0.9998975986853319,60.23971699416983,0.0034996722597042144,0,0.0026319470942513155
stripe,38,charge_modulation,2.147869146922228e-05,0.0034996722597042144,0.9772425965498265,0.9997973611798472,43.94174415325819,0.0034996515471935035,0,0.002572572115346138
