family,iteration,rung,spin_odd_mf,pair_leg_even_mf
stripe,1,1,0.026904435979369715,2.1340102842413024e-05
stripe,1,2,-0.03451474614870348,2.802412295481481e-05
stripe,1,3,0.03631880400729914,3.9971543416302835e-05
stripe,1,4,-0.03648881335756567,5.1835119204819925e-05
stripe,1,5,0.03495179527420418,6.655283255773792e-05
stripe,1,6,-0.031334208073169556,8.558990486492775e-05
stripe,1,7,0.025142615857508883,0.00011000024430089561
stripe,1,8,-0.016540361354775344,0.00013591743828442106
stripe,1,9,0.006486146276414621,0.00015416141404744834
stripe,1,10,0.004028148073781444,0.00015610160854716444
stripe,1,11,-0.014277524697568862,0.0001407829937827707
stripe,1,12,0.023343713614308054,0.00011586567194076326
stripe,1,13,-0.03021568672725456,9.1466542683646e-05
stripe,1,14,0.03456175853891576,7.364620524146946e-05
stripe,1,15,-0.03690214535327374,6.321339616149359e-05
stripe,1,16,0.03797020360336384,5.847404805588968e-05
stripe,1,17,-0.03820742347049057,5.7817827049727754e-05
stripe,1,18,0.03771346378658676,6.0830036222065304e-05
stripe,1,19,-0.03627941047322167,6.846913468553246e-05
stripe,1,20,0.03334223936279464,8.261162451529295e-05
stripe,1,21,-0.028161028083818023,0.00010448841988593136
stripe,1,22,0.020459568218281717,0.00013156873000224578
stripe,1,23,-0.01087495637630663,0.00015556977294495548
stripe,1,24,0.0004607489200043405,0.0001658470542648489
stripe,1,25,0.009982405294052555,0.0001571175919273775
stripe,1,26,-0.019677943716586134,0.00013390311940451692
stripe,1,27,0.027580512053036146,0.00010668757941459484
stripe,1,28,-0.03298889653493293,8.417876432367264e-05
stripe,1,29,0.036112417640279885,6.939276260079309e-05
stripe,1,30,-0.03769281230362388,6.126200550333054e-05
stripe,1,31,0.03834833210409962,5.777329883828375e-05
stripe,1,32,-0.038359841096204064,5.768983558448605e-05
stripe,1,33,0.03773191230519479,6.098817622299399e-05
stripe,1,34,-0.03619644143781933,6.883534832056093e-05
stripe,1,35,0.03314723055909945,8.320604779697423e-05
stripe,1,36,-0.027837514892678338,0.00010524129295138291
stripe,1,37,0.020026036278703113,0.00013218125940721661
stripe,1,38,-0.010384474155120352,0.00015557447759010994
stripe,1,39,-3.879323687525299e-05,0.00016492811813942153
stripe,1,40,0.010459514444189348,0.00015541986231407183
stripe,1,41,-0.02008883512239069,0.00013195956886329083
stripe,1,42,0.027881560667787963,0.00010502005836102869
stripe,1,43,-0.03317578348642927,8.297418887162847e-05
stripe,1,44,0.03622556486065536,6.851385460678389e-05
stripe,1,45,-0.037787173157994985,6.038552754083437e-05
stripe,1,46,0.03848506282501635,5.647255683357843e-05
stripe,1,47,-0.03862427752041872,5.5398928942660235e-05
stripe,1,48,0.03826510773795103,5.681993950957155e-05
stripe,1,49,-0.03725172996843619,6.141787234283669e-05
stripe,1,50,0.035143781904713046,7.090383234685005e-05
stripe,1,51,-0.031207807122670118,8.724195496471451e-05
stripe,1,52,0.024812381355259157,0.00011042045943241948
stripe,1,53,-0.016101214384649717,0.0001355854599225192
stripe,1,54,0.006011282846134483,0.00015316773578205793
stripe,1,55,0.0044929220678987455,0.00015459028753227736
stripe,1,56,-0.01468888868891916,0.00013908858794293505
stripe,1,57,0.02365115851658442,0.00011428587328706629
stripe,1,58,-0.030378843910018695,8.984140992407972e-05
stripe,1,59,0.03456286723950126,7.103570881211842e-05
stripe,1,60,-0.036698928916130025,5.760960093259596e-05
stripe,1,61,0.03738822926166033,4.680020637861831e-05
stripe,1,62,-0.03678418550871802,3.7240945800537365e-05
stripe,1,63,0.03477176017442219,2.6609893391155263e-05
stripe,1,64,-0.02705325434610621,2.0418453143461624e-05
stripe,2,1,0.021866772656922526,6.699678308027381e-06
stripe,2,2,-0.030189790489867818,9.518538936886444e-06
stripe,2,3,0.03270020197931694,1.5292618463321634e-05
stripe,2,4,-0.03330726409807111,2.2071390077692084e-05
stripe,2,5,0.03203336479128581,3.035803693472041e-05
stripe,2,6,-0.028713721941865597,3.99482631931688e-05
stripe,2,7,0.023106539807753165,5.0348373280394116e-05
stripe,2,8,-0.015346973802091702,5.9788078613385107e-05
stripe,2,9,0.0061058069174233925,6.572105334677351e-05
stripe,2,10,0.003709749776822212,6.628256689990724e-05
stripe,2,11,-0.013198457826679139,6.138043613203005e-05
stripe,2,12,0.021458697473088387,5.27964817921657e-05
stripe,2,13,-0.027769412702743478,4.328528789467163e-05
stripe,2,14,0.031937754882155375,3.5196496281713675e-05
stripe,2,15,-0.03432437120446898,2.966905852764639e-05
stripe,2,16,0.03546709157853363,2.6823338587751522e-05
stripe,2,17,-0.035728365330816705,2.643697388365788e-05
stripe,2,18,0.03519768821724836,2.8453860059920696e-05
stripe,2,19,-0.03369464868837218,3.3063836692768256e-05
stripe,2,20,0.030776229202526734,4.047231623803549e-05
stripe,2,21,-0.025916363357354845,5.0261926216933986e-05
stripe,2,22,0.01891147247914789,6.0708621326955586e-05
stripe,2,23,-0.010158554677413322,6.897403464491112e-05
stripe,2,24,0.00047530346358545415,7.230792587511464e-05
stripe,2,25,0.00924840391954305,6.951393435212242e-05
stripe,2,26,-0.018125461677025355,6.16131626330086e-05
stripe,2,27,0.02532253473233339,5.126250812346044e-05
stripe,2,28,-0.03039502526987522,4.135709650516702e-05
stripe,2,29,0.03350262679724445,3.371606216245455e-05
stripe,2,30,-0.03517231565129631,2.881935686083392e-05
stripe,2,31,0.03589129153376889,2.645418994557681e-05
stripe,2,32,-0.03590652204383972,2.635321886061319e-05
stripe,2,33,0.03522312930237852,2.8501636959354195e-05
stripe,2,34,-0.03360538973483147,3.314687246648023e-05
stripe,2,35,0.03057530133464407,4.05093332212945e-05
stripe,2,36,-0.025600826996535677,5.0158146375884534e-05
stripe,2,37,0.01849922988319922,6.0346872766688965e-05
