Calculating pair binding energy for ladder
L = 16 rungs (32 sites)
U = 8.0
t0 = 1.0
density = 0.9375
N_particles = 30
t = 1.0 (fixed)
Calculating E(N) at density=0.9375...
After sweep 26 energy=-14.87819784330939  maxlinkdim=600 maxerr=1.42E-06 time=37.600
After sweep 27 energy=-14.878700971284323  maxlinkdim=600 maxerr=9.93E-07 time=42.810
After sweep 28 energy=-14.878885326468668  maxlinkdim=600 maxerr=8.34E-07 time=31.844
After sweep 29 energy=-14.879040756919297  maxlinkdim=600 maxerr=7.51E-07 time=38.068
After sweep 30 energy=-14.879173710177858  maxlinkdim=600 maxerr=7.38E-07 time=36.246
After sweep 31 energy=-14.879294277963778  maxlinkdim=600 maxerr=7.27E-07 time=40.904
After sweep 32 energy=-14.879406492199974  maxlinkdim=600 maxerr=7.19E-07 time=30.264
After sweep 33 energy=-14.879517686101392  maxlinkdim=600 maxerr=8.63E-07 time=30.288
After sweep 34 energy=-14.879625312953342  maxlinkdim=600 maxerr=8.14E-07 time=31.770
After sweep 35 energy=-14.879730019109612  maxlinkdim=600 maxerr=8.02E-07 time=32.580
After sweep 36 energy=-14.87983572818597  maxlinkdim=600 maxerr=7.94E-07 time=33.308
After sweep 37 energy=-14.879939623711651  maxlinkdim=600 maxerr=7.89E-07 time=30.562
After sweep 38 energy=-14.880044436426237  maxlinkdim=600 maxerr=7.86E-07 time=33.317
After sweep 39 energy=-14.88015181531689  maxlinkdim=600 maxerr=7.88E-07 time=30.699
After sweep 40 energy=-14.880263512851542  maxlinkdim=600 maxerr=7.89E-07 time=36.894
E(N+1) = -14.880263512851542
Calculating E(N+2)...
After sweep 1 energy=-2.405007264888046  maxlinkdim=16 maxerr=9.44E-11 time=0.157
After sweep 2 energy=-5.501010414512415  maxlinkdim=121 maxerr=9.95E-11 time=0.916
After sweep 3 energy=-7.458582995259144  maxlinkdim=442 maxerr=9.99E-11 time=3.208
After sweep 4 energy=-8.85716413722254  maxlinkdim=600 maxerr=2.14E-09 time=19.859
After sweep 5 energy=-9.714893461394398  maxlinkdim=600 maxerr=1.23E-08 time=37.902
After sweep 6 energy=-10.635304369613822  maxlinkdim=600 maxerr=4.52E-08 time=39.633
After sweep 7 energy=-11.044652874366289  maxlinkdim=600 maxerr=2.45E-08 time=31.425
After sweep 8 energy=-11.522512293499423  maxlinkdim=600 maxerr=2.68E-08 time=30.083
After sweep 9 energy=-11.959453998391943  maxlinkdim=600 maxerr=2.78E-08 time=27.129
After sweep 10 energy=-12.103249556597875  maxlinkdim=600 maxerr=1.59E-08 time=22.493
After sweep 11 energy=-12.268093196553941  maxlinkdim=600 maxerr=1.63E-08 time=22.014
After sweep 12 energy=-12.596017843226186  maxlinkdim=600 maxerr=2.31E-08 time=24.462
After sweep 13 energy=-12.77810526919987  maxlinkdim=600 maxerr=2.25E-08 time=22.777
After sweep 14 energy=-12.827089232831408  maxlinkdim=600 maxerr=8.25E-09 time=21.764
After sweep 15 energy=-12.858542660399442  maxlinkdim=600 maxerr=5.50E-09 time=24.050
After sweep 16 energy=-12.905218601745197  maxlinkdim=600 maxerr=8.68E-09 time=23.513
After sweep 17 energy=-13.023506356713321  maxlinkdim=600 maxerr=1.91E-08 time=23.083
After sweep 18 energy=-13.180239877154985  maxlinkdim=600 maxerr=2.24E-08 time=22.059
After sweep 19 energy=-13.236913555650684  maxlinkdim=600 maxerr=2.03E-08 time=23.019
After sweep 20 energy=-13.24766035731892  maxlinkdim=600 maxerr=9.82E-09 time=22.807
After sweep 21 energy=-13.249580335403392  maxlinkdim=600 maxerr=4.26E-09 time=23.652
After sweep 22 energy=-13.24995235519567  maxlinkdim=600 maxerr=2.02E-09 time=26.421
After sweep 23 energy=-13.250030486859393  maxlinkdim=600 maxerr=1.45E-09 time=27.822
After sweep 24 energy=-13.250049896410912  maxlinkdim=600 maxerr=6.28E-09 time=39.329
After sweep 25 energy=-13.250053888303796  maxlinkdim=600 maxerr=4.13E-09 time=30.928
After sweep 26 energy=-13.250054218907731  maxlinkdim=600 maxerr=3.01E-09 time=34.389
After sweep 27 energy=-13.250054234015298  maxlinkdim=600 maxerr=2.66E-09 time=41.027
After sweep 28 energy=-13.250054235359363  maxlinkdim=600 maxerr=2.63E-09 time=29.443
After sweep 29 energy=-13.250054236173586  maxlinkdim=600 maxerr=2.64E-09 time=27.636
After sweep 30 energy=-13.250054236449193  maxlinkdim=600 maxerr=2.64E-09 time=27.239
After sweep 31 energy=-13.250054236445743  maxlinkdim=600 maxerr=2.64E-09 time=25.787
After sweep 32 energy=-13.25005423647848  maxlinkdim=600 maxerr=2.64E-09 time=32.236
After sweep 33 energy=-13.250054236589786  maxlinkdim=600 maxerr=2.64E-09 time=32.890
After sweep 34 energy=-13.250054236580358  maxlinkdim=600 maxerr=2.64E-09 time=31.823
After sweep 35 energy=-13.250054236569333  maxlinkdim=600 maxerr=2.64E-09 time=33.633
After sweep 36 energy=-13.25005423649992  maxlinkdim=600 maxerr=2.64E-09 time=31.166
After sweep 37 energy=-13.25005423686259  maxlinkdim=600 maxerr=2.64E-09 time=41.500
After sweep 38 energy=-13.250054237050627  maxlinkdim=600 maxerr=2.64E-09 time=35.297
After sweep 39 energy=-13.250054237047687  maxlinkdim=600 maxerr=2.64E-09 time=32.770
After sweep 40 energy=-13.250054237122189  maxlinkdim=600 maxerr=2.64E-09 time=29.950
E(N+2) = -13.250054237122189
RESULT: E_p = -0.16909184544587674
