t0,V,family,job_id,iteration,energy_per_site,spin_rms,pair_rms,central_spin_rms,charge_std,density,global_relative_residual
1.0,-0.4,stripe,58383141,1,-1.0351282286675532,0.32163697625016285,0.00042164330247370133,0.3349951512317208,0.07419342959824747,0.9374978356294634,0.2010371522235623
1.0,-0.4,stripe,58383141,2,-1.0432486974268709,0.3374670125807995,7.299553403210341e-05,0.34967260153160296,0.080551780056305,0.9375000010548541,0.046417067011271816
1.0,-0.4,stripe,58383141,3,-1.0448598084847338,0.3406798237140858,1.4035835495713865e-05,0.3525164322909176,0.08215469241126677,0.9375000008656755,0.010561146554436303
1.0,-0.4,stripe,58383141,4,-1.0451722737081584,0.341349350249133,2.7551166155693484e-06,0.35309266056129457,0.08252771549802111,0.93750000004441,0.002400060740663608
1.0,-0.4,stripe,58383141,5,-1.045234442593346,0.34149422325978135,5.502389472467993e-07,0.35321535907848317,0.08261309950219281,0.9375000000049918,0.0005479305825084799
1.0,-0.4,stripe,58383141,6,-1.0452474923081796,0.341526428570832,1.1038417311156232e-07,0.3532423984470041,0.0826326611258214,0.9375000000021925,0.0001266249344186376
1.0,-0.4,stripe,58383141,7,-1.0452503434933555,0.34153371466216975,2.218925785547292e-08,0.35324845641292896,0.08263715106951229,0.9375000000022702,3.395796595546356e-05
1.0,-0.4,stripe,58383141,8,-1.045250978085164,0.3415354080470026,4.4621889825823006e-09,0.35324983027149615,0.08263820642708337,0.9375000000014122,1.9335089819600525e-05
1.0,-0.4,stripe,58383141,9,-1.0452511231344166,0.34153582394782284,8.974344965515973e-10,0.35325014113901715,0.08263846562753936,0.9375000000015803,1.82851141283469e-05
1.0,-0.4,stripe,58383141,10,-1.0452511536049838,0.34153596375114764,1.8063347675383088e-10,0.35325021909534826,0.08263856173122204,0.9375000000021094,1.820565719515681e-05
