geometry,t0,V,family,iteration,energy_per_site,physical_spin_rms,physical_leg_pair_rms,source_job_id,source_iteration
Square,1.4,-0.4,stripe,1,-1.166870551258377,0.15459968351618,0.0013715608148955239,58093799,1
Square,1.4,-0.4,stripe,2,-1.1672431952527067,0.10565596317575032,0.003615861281888406,58093799,2
Square,1.4,-0.4,stripe,3,-1.1672390723925161,0.07151907144534816,0.020116511500085685,58093799,3
Square,1.4,-0.4,stripe,4,-1.1673247065928924,0.044755611961859815,0.03184174580684976,58093799,4
Square,1.4,-0.4,stripe,5,-1.1673847290326784,0.02761878427109942,0.034509129381113945,58093799,5
Square,1.4,-0.4,stripe,6,-1.1674003129737383,0.01697233441516758,0.035048879864761226,58093799,6
Square,1.4,-0.4,stripe,7,-1.1674036248576456,0.010425028265507343,0.03517313085251313,58093799,7
Square,1.4,-0.4,stripe,8,-1.167404460679441,0.006403937650519375,0.03520745944459228,58093799,8
Square,1.4,-0.4,stripe,9,-1.167404689371445,0.003934796533894485,0.03521827012030047,58093799,9
Square,1.4,-0.4,stripe,10,-1.1674047572017565,0.0024182026948721645,0.035222401815275306,58093799,10
Square,1.4,-0.4,stripe,11,-1.1674048144942972,0.0014863845822742738,0.035223965094320894,58093799,11
Square,1.4,-0.4,stripe,12,-1.1674047957792135,0.0009137722538922256,0.03522478750601797,58093799,12
Square,1.4,-0.4,stripe,13,-1.1674048068609582,0.0005618575919994569,0.03522480930789389,58093799,13
Square,1.4,-0.4,stripe,14,-1.1674048001194897,0.00034546109539417664,0.0352248769992093,58093799,14
Square,1.4,-0.4,stripe,15,-1.1674048009900009,0.000212413080192671,0.035224901459074684,58093799,15
Square,1.4,-0.4,stripe,16,-1.167404800477289,0.00013061947723785262,0.0352249206469316,58093799,16
Square,1.4,-0.4,stripe,17,-1.1674048007526907,8.034541283839199e-05,0.03522492281827369,58093799,17
Square,1.4,-0.4,stripe,18,-1.167404800671502,4.944072680837699e-05,0.03522492049200409,58093799,18
