lineage,role,state_path,status,accepted,recorded_full_sha256,compact_sha256,corrected_per_site,max_abs_alpha,max_abs_beta,max_abs_hartree,bulk_pair_d_mean,bulk_pair_d_rms,bulk_pair_rung_mean,bulk_pair_leg_mean,bulk_density_mean,bulk_density_peak_to_peak,bulk_density_std,bulk_spin_odd_rms,bulk_max_abs_site_Sz
pairing,chi200_parent,output\phase1_gpu\20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130\results\square__pairing_dwave_m000_chi200_loose\square__pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_pairing_m000\20260902T230658_727249_75954fd2eaab\state.h5,fixed_point,True,195e6b6f7ace261a7a444320ec8151bb05bc79576bb17116c5ab90f81cae9e54,09136f2860547305573031383fd85ce51e49e6719c4d8cb2a35f4a25def4e4d2,-0.6608638819907947,0.0047139014106962395,0.014828868961648686,0.005461011398933027,0.004532808775813331,0.004532828582564935,0.0,0.004532808775813331,0.9310016813931108,0.0023912266343741884,0.0005806765076495104,1.3468412979909305e-06,4.214645501376957e-06
legacy,chi200_parent,output\phase1_gpu\20260903_phase1_square_t014_v000_legacy_frozen_dmrg_chi200\results\square__legacy_terminal_fields_frozen_dmrg_chi200\square__legacy_frozen_energy__legacy_terminal_fields_single_frozen_dmrg__from_legacy_terminal_fields__exact_legacy_terminal_fields\20260903T090543_55150_75954fd2eaab\state.h5,frozen_field_evaluation,False,137a8dd2251a76a4900907b3969e337a30e8342afeac9dbba4196cb17e8079ef,318eb2a97fb3bf7e250ba59e1e3ebab09de45e07867fa605e02a235a03d5774a,-0.6611289949053714,2.8990859351533903e-06,0.02131038987701023,0.034322498370872534,-1.079466252967738e-06,1.1106792791787279e-06,0.0,-1.079466252967738e-06,0.9370624299377159,0.1445694095505392,0.0511212189370379,0.18848172995063373,0.2486934439394794
