quantity,pairing_total,legacy_total,legacy_minus_pairing_total,pairing_per_site,legacy_per_site,legacy_minus_pairing_per_site
bare_ladder_energy,-84.96739939726478,-84.52217788510482,0.44522151215996075,-0.6638078077911311,-0.6603295147273814,0.0034782930637496934
canonical_variational_energy,-84.59559738711339,-84.62750722439904,-0.031909837285653,-0.6609031045868233,-0.6611524001906175,-0.00024929560379416404
chemical_potential_term,198.90068237285885,196.6361181252341,-2.2645642476247474,1.5539115810379598,1.5362196728533914,-0.01769190818456834
density_field_energy,-0.5087953506839393,-1.5717306330121934,-1.062935282328254,-0.003974963677218276,-0.012279145570407761,-0.008304181893189485
density_transverse_energy,0.018554014706462375,-0.5128980761229567,-0.531452090829419,0.0001449532398942373,-0.004007016219710599,-0.004151969459604836
direct_variational_energy,-84.59559738711339,-84.62750722439904,-0.031909837285653,-0.6609031045868233,-0.6611524001906175,-0.00024929560379416404
double_counting_correction,0.17410136994546993,0.6512638200604894,0.4771624501150195,0.0013601669526989838,0.005087998594222574,0.00372783164152359
effective_eigenvalue,-283.6703810954893,-281.9148891659317,1.7554919295575928,-2.21617485230851,-2.2024600716088414,0.013714780699668694
effective_eigenvalue_error,1.3244516594568267e-11,-1.9895196601282805e-12,-1.5234036254696548e-11,1.0347278589506459e-13,-1.554312234475219e-14,-1.1901590823981678e-13
effective_expectation,-283.67038109550253,-281.9148891659297,1.7554919295728268,-2.2161748523086136,-2.202460071608826,0.01371478069978771
exchange_field_energy,0.7778693455187179,0.8151374736574967,0.03726812813877878,0.0060771042618649835,0.006368261512949193,0.0002911572510842092
exchange_transverse_energy,0.38893467275935895,0.40756873682874833,0.01863406406938939,0.0030385521309324918,0.0031841307564745964,0.0001455786255421046
grand_potential,-283.49627975997225,-281.2636253496331,2.232654410339137,-2.2148146856247832,-2.1973720730440087,0.017442612580774508
hamiltonian_identity_error,3.44151800391046e-08,3.763915401577833e-09,-3.0651264637526765e-08,2.6886859405550467e-10,2.940558907482682e-11,-2.3946300498067785e-10
pair_field_energy,-0.07137335462885426,-2.2682830423614947e-15,0.071373354628852,-0.0005576043330379239,-1.7720961268449177e-17,0.0005576043330379062
pair_transverse_energy,-0.03568667731442713,-1.1341415211807473e-15,0.035686677314426,-0.00027880216651896195,-8.860480634224589e-18,0.0002788021665189531
reconstructed_bare_ladder_energy,-84.9673993628496,-84.52217788134091,0.4452214815086961,-0.6638078075222625,-0.6603295146979759,0.0034782928242866884
reconstructed_variational_energy,-84.5955973526982,-84.62750722063512,-0.031909867936917635,-0.6609031043179547,-0.6611524001612119,-0.000249295843257169
target_density_corrected_variational_energy,-84.59635697611095,-84.62750721764725,-0.031150241536295198,-0.6609090388758668,-0.6611524001378691,-0.00024336126200230623
target_density_correction,-0.0007595889975729146,6.751796858838189e-09,0.0007595957493697734,-5.9342890435383956e-06,5.274841295967335e-11,5.934341791951355e-06
variational_consistency_error,3.44151800391046e-08,3.763915401577833e-09,-3.0651264637526765e-08,2.6886859405550467e-10,2.940558907482682e-11,-2.3946300498067785e-10
density_charge_component,0.018554015225389048,0.028180005277372612,0.009625990051983564,0.00014495324394835194,0.00022015629122947353,7.52030472811216e-05
density_spin_component,-5.189266706693534e-10,-0.5410780814003292,-0.5410780808814025,-4.054114614604323e-12,-0.004227172510940072,-0.004227172506885957
