lineage,iteration,mode,density,mu,canonical_per_site,corrected_per_site,raw_rel,raw_abs,extrapolated_rel,dmrg_sweeps,last_sweep_change,last_sweep_discarded_weight,dmrg_max_discarded_weight,maxlinkdim,cumulative_hours,pair_d_bulk_rms,spin_odd_field_bulk_rms
pairing,1,initial,0.9374980156871394,1.6574083564976079,-0.6609178937855714,-0.6609146049688546,0.006318674847649148,0.00013660499888839064,0.006318674847649148,6,7.599965101690032e-10,1.1821079289079035e-06,1.19989780929811e-06,400,1.4388186927636464,0.004433924903589162,1.737448189902346e-07
pairing,2,unmixed_probe,0.9374987618108691,1.6574993565321774,-0.6609118144452388,-0.6609097621475509,0.0010860733459310888,2.7308927055672005e-05,0.0010860733459310888,6,3.320792529848404e-10,1.1897458394950725e-06,1.2073295069986404e-06,400,1.7754865066210428,0.004419292818593442,1.6842279863548976e-07
pairing,3,unmixed_probe,0.937506886133502,1.6574993565321774,-0.6608977687423513,-0.6609091825041993,0.00027974046435122094,9.015216149928056e-06,0.00027974046435122094,16,1.844000507844612e-10,1.1919435174775154e-06,6.351031177561645e-05,400,2.044098563591639,0.004416791263354917,1.643723783625001e-07
pairing,4,unmixed_probe,0.9375022351589775,1.6574993565321774,-0.6609054102370571,-0.6609091150116237,9.089561249654791e-05,3.29257509402818e-06,9.089561249654791e-05,16,4.040714429720538e-09,1.1923519543690144e-06,6.352923360923423e-05,400,2.313071821331978,0.004416438191814996,1.6196299575168143e-07
pairing,5,unmixed_probe,0.9375040782604508,1.6574993565321774,-0.6609022676624156,-0.6609090273764885,3.062145148831088e-05,1.1489161298719117e-06,3.062145148831088e-05,16,5.292122295941226e-11,1.19238373238253e-06,6.352708273075209e-05,400,2.5820566991302702,0.004416358249664621,1.608172203709794e-07
pairing,6,unmixed_probe,0.9375033880314064,1.6574993565321774,-0.660903431295075,-0.6609090469549509,1.085561730137047e-05,4.2444618415619917e-07,1.085561730137047e-05,16,3.781622126552975e-09,1.1924093157575768e-06,6.352833710010834e-05,400,2.850835418568717,0.004416355161551718,1.5920784733779685e-07
pairing,7,unmixed_probe,0.9375036170185961,1.6574993565321774,-0.6609030423221915,-0.660909037528187,4.157574123985935e-06,1.7785703372227846e-07,4.157574123985935e-06,16,2.8279600883251987e-10,1.192406762134305e-06,6.352784338126262e-05,400,3.119847401380539,0.004416347987285663,1.5991639168260993e-07
pairing,8,unmixed_probe,0.9375035775105677,1.6574993565321774,-0.6609031093131849,-0.6609090390346488,2.043143885555811e-06,1.3923152929889993e-07,2.043143885555811e-06,16,4.869207259616815e-10,1.192407708997621e-06,6.35277731415202e-05,400,3.389217174715466,0.004416358045893876,1.5979903998522608e-07
pairing,9,unmixed_probe,0.9375035614311719,1.6574993565321774,-0.6609031368921815,-0.6609090399620574,1.96770276823816e-06,1.1879204977072871e-07,1.96770276823816e-06,16,3.367972567502875e-10,1.192407356303406e-06,6.352822071941472e-05,400,3.6578778211275735,0.004416348385254763,1.5967884150549112e-07
pairing,10,unmixed_probe,0.937503581713029,1.6574993565321774,-0.6609031021784241,-0.6609090388654654,1.6615070567855012e-06,1.0307214576028151e-07,1.6615070567855012e-06,16,2.108663466060534e-09,1.1924081342954858e-06,6.352783734252362e-05,400,3.9263668955696955,0.004416352787988533,1.6180874734068681e-07
pairing,11,unmixed_probe,0.9375035246074714,1.6574993565321774,-0.6609031988015407,-0.660909040836157,1.4697513661810241e-06,1.0189131891989375e-07,1.4697513661810241e-06,16,5.411493475548923e-11,1.1924097109934475e-06,6.352827380542631e-05,400,4.19468989332517,0.004416342150571257,1.6271958667709455e-07
pairing,12,unmixed_probe,0.9375035910712121,1.6574993565321774,-0.6609030859757736,-0.6609090381739973,1.9326782884080075e-06,1.3789421783377484e-07,1.9326782884080075e-06,16,6.157279131002724e-10,1.1924077098183259e-06,6.352793123916796e-05,400,4.4640801983409455,0.0044163516120806386,1.6472511485986873e-07
pairing,13,unmixed_probe,0.9375035409510988,1.6574993565321774,-0.6609031711578761,-0.6609090402820437,1.802874032867383e-06,1.2821848307002434e-07,1.802874032867383e-06,16,1.2443592822819483e-09,1.1924081406370616e-06,6.352833620286484e-05,400,4.732824019127422,0.004416347546717012,1.6787355449735634e-07
pairing,14,unmixed_probe,0.9375035849745269,1.6574993565321774,-0.6609030964645775,-0.6609090385575486,1.9604484675339205e-06,1.2749997115469452e-07,1.9604484675339205e-06,16,4.311573320592288e-09,1.1924079476562173e-06,6.35278694875579e-05,400,5.001418076886071,0.004416352248099772,1.7001898228639163e-07
pairing,15,unmixed_probe,0.937503544623131,1.6574993565321774,-0.6609031648293707,-0.6609090400399299,1.9405971887955745e-06,1.4504327292257785e-07,1.9405971887955745e-06,16,2.1799451133119874e-10,1.1924076477029348e-06,6.352821904887197e-05,400,5.269585171871715,0.004416347710416756,1.7413412687960681e-07
pairing,16,unmixed_probe,0.9375035813388919,1.6574993565321774,-0.6609031025984178,-0.6609090386653262,2.0449282226092642e-06,1.526505428906151e-07,2.0449282226092642e-06,16,1.1381757758499589e-09,1.1924074262229863e-06,6.352771260553552e-05,400,5.5384199085500505,0.004416352508318135,1.784403432701481e-07
pairing,17,unmixed_probe,0.937503528546117,1.6574993565321774,-0.6609031920751245,-0.660909040638043,2.242061019998647e-06,1.661558370938919e-07,2.242061019998647e-06,16,3.802824721788056e-11,1.1924087571071417e-06,6.352790854715625e-05,400,5.806562746034728,0.004416342115006068,1.8146777671637976e-07
pairing,18,unmixed_probe,0.9375035847124926,1.6574993565321774,-0.6609030966264505,-0.6609090382851001,2.646351885174771e-06,1.5982817216128424e-07,2.646351885174771e-06,16,2.5049189389392268e-09,1.1924079360088267e-06,6.352834923492756e-05,400,6.075288821326362,0.004416351434069359,1.8591209213136583e-07
pairing,19,unmixed_probe,0.9375035462733549,1.6574993565321774,-0.6609031622133844,-0.6609090401591879,2.6486997688525524e-06,1.7426432854508386e-07,2.6486997688525524e-06,16,4.326352609496098e-10,1.1924080830855999e-06,6.352806657343675e-05,400,6.343665073249075,0.004416347731219285,1.9296056553337086e-07
