lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi400_endpoint,1,-0.00018759541801320674,-7.841339537861987e-11,1.1764257935661265e-09,1.071379020589508e-07,-5.609127763249946e-05,1.1430070869213808e-10,0.0,0.0011314956419706786,-1.2417935879886419e-09,0.0011314956419706786,0.0011314956419706786,0.9972510193113513,-7.849872531578983e-07
pairing,chi400_endpoint,2,-0.0006250516560869213,-2.5997993033551048e-09,4.21735541422056e-09,-1.5695552826021104e-07,-7.846344566367743e-05,-4.3226128447861664e-10,0.0,0.0016316694965727288,2.9896028104817694e-09,0.0016316694965727288,0.0016316694965727288,0.9908406348609757,-1.149995348323496e-06
pairing,chi400_endpoint,3,-0.0013518426810173287,-4.998486107226502e-09,1.005484847878095e-08,1.7270164010950873e-07,-0.00012843178436561877,-5.394753740232158e-09,0.0,0.0025936462135968713,1.5277032184863454e-09,0.0025936462135968713,0.0025936462135968713,0.9801904040964042,-1.2653653233829498e-06
pairing,chi400_endpoint,4,-0.002346903445499155,-8.782708705266928e-09,1.562010362677821e-08,-1.6966736857203062e-07,-0.00018311396152368394,9.15814382337378e-11,0.0,0.003478227223087462,1.4716095137184276e-09,0.003478227223087462,0.003478227223087462,0.9656090094410187,-1.2431335600776583e-06
pairing,chi400_endpoint,5,-0.0034262801606496345,-8.745628405498751e-09,1.7054810507854262e-08,1.513691867060466e-07,-0.00021332628312516514,-8.313051669836622e-11,0.0,0.004159550309151344,1.8022397206335014e-09,0.004159550309151344,0.004159550309151344,0.9497920679765055,-1.1090648575490247e-06
pairing,chi400_endpoint,6,-0.004362004710136575,-3.4098989855693707e-09,1.2524077363509564e-08,-1.2453038306342416e-07,-0.00022903655576241955,3.940881827140842e-10,0.0,0.004519450960908709,3.6695708886900352e-09,0.004519450960908709,0.004519450960908709,0.9360801727517882,-9.124199882304396e-07
pairing,chi400_endpoint,7,-0.005008039272348868,4.1576442332338925e-10,6.114201967204885e-09,9.737571599619313e-08,-0.000234690135441025,1.0088575258125534e-09,0.0,0.0046193691267476895,1.4151154857297565e-09,0.0046193691267476895,0.0046193691267476895,0.9266133288675937,-7.134608234343753e-07
pairing,chi400_endpoint,8,-0.005336971232304706,6.113155415904403e-09,2.4559182534855672e-09,-7.589893371304571e-08,-0.0002320492441754776,-9.801515658808659e-10,0.0,0.0045609153316341884,1.811173354956258e-09,0.0045609153316341884,0.0045609153316341884,0.9217932345637215,-5.561028762757214e-07
pairing,chi400_endpoint,9,-0.005401799145859023,1.0977708405929959e-08,-5.700494635791503e-10,6.895677367156107e-08,-0.0002252381779082599,-4.13654211693659e-09,0.0,0.004429957224242406,2.0977270157474665e-09,0.004429957224242406,0.004429957224242406,0.9208432610284742,-5.052384572656887e-07
pairing,chi400_endpoint,10,-0.00528835770691283,4.7615236172318665e-09,-4.862420817765625e-09,-7.20011187258212e-08,-0.00021811482898601166,-8.598306408354379e-09,0.0,0.004292788590187634,3.3827799242325263e-10,0.004292788590187634,0.004292788590187634,0.9225056061340122,-5.27544028086635e-07
pairing,chi400_endpoint,11,-0.005085449998265117,5.8828924834851415e-09,-9.01740161468774e-09,7.583098443771606e-08,-0.00021289348138579095,-8.32919741179303e-09,0.0,0.00419139187439096,3.566837428930006e-09,0.00419139187439096,0.00419139187439096,0.9254789696551364,-5.556050196448004e-07
pairing,chi400_endpoint,12,-0.004867399340051556,1.6838181113310036e-08,-9.510563836901548e-09,-8.472067621100379e-08,-0.000210448406873368,-3.6078059271907412e-09,0.0,0.004143162048303197,1.2893123644674293e-08,0.004143162048303197,0.004143162048303197,0.928674234523141,-6.207387826945299e-07
pairing,chi400_endpoint,13,-0.0046854911781776445,1.7283256310059864e-08,-6.507821973802605e-09,8.489209386646455e-08,-0.00021068248414490989,-3.5902450148717112e-09,0.0,0.004146559259359715,1.5413551232665995e-08,0.004146559259359715,0.004146559259359715,0.9313398754508089,-6.219947404073611e-07
pairing,chi400_endpoint,14,-0.004566079212871081,1.2942159826473398e-08,-2.292449219820289e-09,-7.59471079595387e-08,-0.00021290420044225126,4.679271967187974e-10,0.0,0.004188376592461653,1.2747248001945821e-08,0.004188376592461653,0.004188376592461653,0.9330897112948711,-5.564558435144917e-07
